,species
0,223
1,152
2,223
3,152
4,105
5,105
6,105
7,223
8,105
9,223
10,223
11,152
12,105
13,223
14,105
15,223
16,304
17,304
18,282
19,304
20,342
21,373
22,223
23,304
24,304
25,210
26,0
27,304
28,373
29,342
30,210
31,342
32,75
33,298
34,189
35,189
36,373
37,96
38,189
39,373
40,298
41,298
42,373
43,298
44,298
45,298
46,189
47,373
48,371
49,146
50,371
51,371
52,41
53,371
54,62
55,146
56,161
57,371
58,146
59,371
60,146
61,161
62,371
63,371
64,182
65,182
66,242
67,182
68,373
69,182
70,182
71,61
72,182
73,182
74,182
75,182
76,61
77,370
78,182
79,182
80,115
81,360
82,14
83,234
84,360
85,29
86,360
87,360
88,97
89,97
90,97
91,97
92,115
93,183
94,360
95,234
96,242
97,143
98,242
99,373
100,143
101,372
102,143
103,242
104,35
105,17
106,373
107,373
108,251
109,225
110,360
111,17
112,202
113,114
114,114
115,94
116,202
117,190
118,202
119,114
120,24
121,114
122,202
123,202
124,114
125,114
126,55
127,94
128,199
129,280
130,55
131,203
132,211
133,211
134,211
135,203
136,55
137,211
138,203
139,211
140,130
141,203
142,38
143,203
144,87
145,292
146,361
147,87
148,361
149,199
150,361
151,87
152,199
153,361
154,3
155,112
156,328
157,199
158,361
159,199
160,91
161,318
162,204
163,204
164,149
165,122
166,122
167,52
168,11
169,37
170,91
171,52
172,122
173,91
174,204
175,122
176,186
177,116
178,186
179,241
180,106
181,106
182,229
183,241
184,241
185,186
186,106
187,106
188,186
189,116
190,122
191,122
192,241
193,138
194,138
195,138
196,180
197,138
198,138
199,139
200,138
201,373
202,138
203,138
204,75
205,135
206,138
207,139
208,161
209,308
210,161
211,200
212,298
213,259
214,298
215,259
216,298
217,298
218,59
219,244
220,259
221,304
222,244
223,1
224,161
225,161
226,183
227,161
228,183
229,182
230,238
231,102
232,238
233,238
234,238
235,161
236,238
237,161
238,238
239,161
240,182
241,33
242,148
243,33
244,148
245,148
246,117
247,148
248,8
249,308
250,33
251,97
252,148
253,97
254,148
255,117
256,251
257,251
258,242
259,88
260,242
261,88
262,182
263,251
264,46
265,370
266,233
267,242
268,242
269,48
270,88
271,233
272,185
273,185
274,233
275,233
276,233
277,233
278,185
279,233
280,233
281,185
282,233
283,233
284,233
285,233
286,233
287,233
288,225
289,94
290,225
291,94
292,94
293,94
294,236
295,236
296,143
297,236
298,236
299,225
300,214
301,225
302,225
303,236
304,280
305,280
306,228
307,228
308,228
309,228
310,280
311,280
312,228
313,280
314,280
315,280
316,292
317,228
318,5
319,280
320,292
321,204
322,204
323,278
324,228
325,190
326,278
327,278
328,278
329,278
330,292
331,204
332,278
333,204
334,278
335,199
336,292
337,239
338,292
339,292
340,241
341,292
342,128
343,45
344,292
345,292
346,223
347,292
348,349
349,292
350,128
351,292
352,241
353,10
354,241
355,241
356,241
357,92
358,241
359,92
360,92
361,240
362,241
363,241
364,241
365,241
366,154
367,241
368,106
369,241
370,241
371,154
372,248
373,241
374,248
375,241
376,154
377,241
378,241
379,248
380,241
381,241
382,154
383,248
384,301
385,238
386,304
387,191
388,298
389,238
390,298
391,298
392,238
393,298
394,304
395,238
396,283
397,64
398,103
399,238
400,186
401,191
402,186
403,238
404,298
405,298
406,298
407,304
408,283
409,283
410,186
411,64
412,283
413,298
414,238
415,301
416,304
417,259
418,259
419,304
420,247
421,304
422,313
423,304
424,304
425,304
426,282
427,282
428,313
429,304
430,304
431,313
432,304
433,304
434,304
435,304
436,304
437,247
438,313
439,313
440,304
441,129
442,304
443,259
444,298
445,282
446,282
447,259
448,175
449,258
450,294
451,258
452,205
453,175
454,294
455,258
456,6
457,258
458,205
459,175
460,294
461,258
462,175
463,294
464,258
465,258
466,205
467,258
468,205
469,294
470,205
471,175
472,258
473,294
474,258
475,175
476,205
477,175
478,308
479,304
480,205
481,270
482,79
483,205
484,205
485,270
486,270
487,270
488,313
489,233
490,79
491,308
492,313
493,308
494,205
495,205
496,205
497,308
498,270
499,246
500,205
501,205
502,270
503,270
504,294
505,270
506,205
507,270
508,270
509,233
510,308
511,270
512,294
513,13
514,294
515,170
516,170
517,159
518,272
519,220
520,294
521,132
522,294
523,94
524,220
525,94
526,294
527,159
528,132
529,170
530,256
531,294
532,94
533,156
534,170
535,294
536,256
537,294
538,132
539,111
540,159
541,294
542,220
543,270
544,58
545,94
546,156
547,280
548,280
549,256
550,94
551,89
552,193
553,333
554,256
555,94
556,89
557,156
558,333
559,333
560,89
561,341
562,156
563,280
564,256
565,256
566,256
567,58
568,193
569,341
570,256
571,349
572,256
573,333
574,156
575,156
576,333
577,349
578,273
579,284
580,204
581,349
582,204
583,204
584,349
585,100
586,66
587,333
588,333
589,333
590,311
591,349
592,333
593,273
594,204
595,311
596,333
597,333
598,333
599,349
600,15
601,273
602,100
603,204
604,100
605,100
606,349
607,333
608,292
609,292
610,292
611,292
612,292
613,292
614,311
615,292
616,292
617,292
618,311
619,292
620,311
621,292
622,292
623,292
624,241
625,128
626,241
627,231
628,231
629,284
630,231
631,128
632,284
633,231
634,128
635,84
636,231
637,231
638,84
639,241
640,218
641,215
642,221
643,154
644,215
645,221
646,221
647,215
648,218
649,215
650,215
651,215
652,215
653,218
654,218
655,154
656,283
657,298
658,298
659,283
660,298
661,298
662,298
663,43
664,283
665,350
666,82
667,298
668,350
669,298
670,350
671,298
672,188
673,307
674,30
675,60
676,2
677,307
678,165
679,307
680,304
681,298
682,188
683,307
684,30
685,188
686,188
687,301
688,304
689,188
690,282
691,307
692,282
693,298
694,307
695,282
696,301
697,307
698,188
699,298
700,188
701,298
702,304
703,321
704,301
705,270
706,178
707,4
708,178
709,294
710,301
711,312
712,312
713,313
714,312
715,301
716,4
717,301
718,350
719,301
720,312
721,294
722,301
723,40
724,93
725,308
726,178
727,301
728,270
729,350
730,350
731,81
732,312
733,301
734,165
735,81
736,312
737,178
738,93
739,238
740,301
741,259
742,312
743,350
744,301
745,350
746,301
747,261
748,301
749,350
750,350
751,308
752,313
753,270
754,270
755,238
756,27
757,78
758,270
759,313
760,261
761,251
762,270
763,251
764,12
765,270
766,251
767,290
768,261
769,270
770,270
771,313
772,230
773,78
774,270
775,270
776,270
777,230
778,259
779,313
780,270
781,313
782,251
783,270
784,313
785,251
786,160
787,42
788,238
789,270
790,230
791,313
792,270
793,73
794,313
795,270
796,160
797,251
798,313
799,270
800,251
801,251
802,294
803,270
804,74
805,170
806,74
807,270
808,348
809,294
810,294
811,270
812,252
813,294
814,170
815,294
816,170
817,348
818,352
819,272
820,294
821,294
822,251
823,224
824,209
825,251
826,272
827,270
828,352
829,270
830,209
831,74
832,272
833,352
834,170
835,352
836,193
837,270
838,209
839,294
840,224
841,270
842,252
843,270
844,294
845,294
846,294
847,252
848,270
849,270
850,246
851,270
852,111
853,270
854,193
855,246
856,246
857,341
858,348
859,243
860,207
861,207
862,193
863,209
