,species
0,373
1,1
2,96
3,373
4,160
5,373
6,38
7,160
8,373
9,40
10,160
11,160
12,373
13,96
14,160
15,373
16,140
17,400
18,369
19,400
20,140
21,140
22,0
23,89
24,140
25,369
26,369
27,369
28,89
29,140
30,140
31,140
32,291
33,291
34,75
35,75
36,291
37,118
38,291
39,75
40,291
41,75
42,291
43,75
44,24
45,291
46,118
47,291
48,291
49,321
50,100
51,100
52,252
53,321
54,321
55,321
56,170
57,19
58,75
59,338
60,2
61,321
62,170
63,321
64,100
65,243
66,94
67,252
68,94
69,243
70,94
71,243
72,243
73,243
74,100
75,243
76,100
77,243
78,100
79,94
80,392
81,252
82,392
83,338
84,338
85,338
86,338
87,338
88,252
89,338
90,392
91,271
92,338
93,338
94,338
95,338
96,320
97,396
98,390
99,390
100,390
101,181
102,22
103,390
104,390
105,390
106,390
107,390
108,390
109,390
110,181
111,396
112,392
113,392
114,392
115,392
116,392
117,392
118,392
119,99
120,99
121,300
122,392
123,382
124,300
125,392
126,392
127,8
128,201
129,373
130,373
131,64
132,122
133,35
134,201
135,122
136,201
137,373
138,35
139,122
140,92
141,92
142,373
143,201
144,20
145,290
146,194
147,158
148,290
149,392
150,201
151,33
152,194
153,194
154,392
155,392
156,290
157,392
158,194
159,201
160,131
161,131
162,131
163,131
164,131
165,131
166,131
167,131
168,123
169,373
170,131
171,131
172,131
173,373
174,373
175,131
176,373
177,97
178,61
179,267
180,97
181,3
182,210
183,97
184,97
185,97
186,97
187,373
188,97
189,97
190,97
191,61
192,302
193,172
194,205
195,302
196,205
197,205
198,205
199,302
200,172
201,302
202,302
203,302
204,302
205,172
206,172
207,172
208,382
209,238
210,44
211,382
212,238
213,90
214,238
215,382
216,238
217,382
218,170
219,382
220,382
221,382
222,382
223,90
224,243
225,229
226,243
227,229
228,170
229,170
230,229
231,13
232,170
233,170
234,229
235,229
236,229
237,229
238,229
239,170
240,252
241,252
242,103
243,103
244,252
245,252
246,252
247,132
248,285
249,252
250,252
251,252
252,252
253,103
254,161
255,103
256,336
257,310
258,336
259,336
260,336
261,336
262,310
263,310
264,336
265,336
266,336
267,310
268,152
269,336
270,310
271,310
272,320
273,331
274,392
275,320
276,320
277,136
278,392
279,392
280,235
281,331
282,23
283,331
284,392
285,331
286,392
287,136
288,216
289,179
290,146
291,179
292,179
293,115
294,179
295,179
296,392
297,179
298,216
299,146
300,216
301,201
302,392
303,59
304,331
305,331
306,259
307,108
308,331
309,331
310,290
311,33
312,33
313,108
314,331
315,331
316,259
317,392
318,259
319,108
320,190
321,194
322,159
323,133
324,194
325,193
326,133
327,133
328,133
329,193
330,159
331,193
332,133
333,133
334,159
335,290
336,257
337,96
338,261
339,261
340,123
341,261
342,267
343,123
344,96
345,257
346,96
347,123
348,96
349,373
350,96
351,261
352,267
353,302
354,302
355,5
356,267
357,267
358,267
359,267
360,156
361,267
362,267
363,267
364,261
365,156
366,267
367,156
368,267
369,335
370,267
371,295
372,205
373,267
374,31
375,267
376,335
377,180
378,168
379,205
380,335
381,180
382,205
383,205
384,189
385,175
386,57
387,205
388,387
389,57
390,375
391,46
392,189
393,252
394,69
395,130
396,57
397,387
398,205
399,130
400,375
401,348
402,175
403,205
404,175
405,205
406,375
407,387
408,148
409,46
410,9
411,189
412,148
413,175
414,46
415,375
416,252
417,285
418,335
419,252
420,229
421,252
422,382
423,252
424,116
425,348
426,252
427,252
428,161
429,252
430,252
431,116
432,252
433,161
434,335
435,348
436,252
437,335
438,46
439,335
440,252
441,175
442,382
443,252
444,285
445,252
446,252
447,229
448,335
449,285
450,303
451,243
452,243
453,207
454,346
455,303
456,243
457,285
458,285
459,285
460,243
461,14
462,285
463,152
464,243
465,4
466,285
467,335
468,303
469,243
470,299
471,387
472,243
473,335
474,285
475,285
476,335
477,299
478,285
479,335
480,218
481,392
482,392
483,218
484,392
485,310
486,218
487,310
488,230
489,219
490,392
491,281
492,219
493,392
494,219
495,152
496,310
497,218
498,219
499,392
500,310
501,219
502,281
503,128
504,392
505,128
506,219
507,231
508,152
509,218
510,218
511,128
512,303
513,281
514,138
515,341
516,138
517,281
518,281
519,331
520,281
521,331
522,281
523,331
524,341
525,331
526,281
527,138
528,138
529,341
530,36
