,species
0,226
1,332
2,332
3,332
4,24
5,332
6,290
7,332
8,79
9,290
10,332
11,79
12,79
13,332
14,332
15,290
16,100
17,157
18,157
19,290
20,290
21,290
22,290
23,290
24,290
25,332
26,375
27,157
28,157
29,157
30,157
31,290
32,290
33,290
34,290
35,332
36,332
37,332
38,290
39,39
40,290
41,290
42,37
43,290
44,65
45,244
46,244
47,290
48,264
49,153
50,278
51,278
52,56
53,153
54,56
55,264
56,121
57,129
58,264
59,35
60,67
61,153
62,153
63,121
64,74
65,74
66,371
67,371
68,74
69,74
70,74
71,371
72,40
73,205
74,371
75,371
76,173
77,74
78,371
79,74
80,88
81,88
82,174
83,174
84,350
85,174
86,174
87,174
88,174
89,144
90,88
91,144
92,112
93,174
94,18
95,88
96,132
97,173
98,132
99,11
100,415
101,132
102,207
103,11
104,173
105,415
106,207
107,132
108,415
109,173
110,1
111,207
112,198
113,409
114,144
115,415
116,409
117,198
118,198
119,144
120,32
121,415
122,144
123,198
124,409
125,376
126,198
127,407
128,68
129,137
130,296
131,137
132,102
133,296
134,137
135,68
136,68
137,62
138,102
139,296
140,68
141,85
142,68
143,68
144,288
145,376
146,351
147,351
148,351
149,29
150,29
151,351
152,351
153,351
154,351
155,351
156,351
157,288
158,351
159,351
160,332
161,332
162,332
163,332
164,332
165,253
166,253
167,332
168,332
169,332
170,332
171,253
172,253
173,332
174,253
175,332
176,183
177,64
178,183
179,183
180,183
181,20
182,64
183,73
184,54
185,64
186,54
187,332
188,183
189,73
190,183
191,332
192,213
193,244
194,213
195,244
196,42
197,213
198,356
199,213
200,356
201,356
202,356
203,213
204,356
205,213
206,213
207,213
208,13
209,153
210,218
211,322
212,322
213,322
214,22
215,278
216,322
217,278
218,278
219,322
220,13
221,322
222,278
223,13
224,301
225,106
226,106
227,278
228,106
229,106
230,36
231,278
232,53
233,106
234,106
235,53
236,106
237,136
238,301
239,106
240,223
241,151
242,301
243,268
244,38
245,268
246,48
247,163
248,289
249,7
250,38
251,268
252,268
253,48
254,38
255,163
256,112
257,173
258,173
259,276
260,173
261,173
262,112
263,112
264,173
265,173
266,112
267,173
268,173
269,112
270,276
271,112
272,337
273,80
274,18
275,132
276,131
277,80
278,288
279,241
280,18
281,80
282,241
283,18
284,241
285,350
286,131
287,241
288,146
289,248
290,146
291,55
292,238
293,377
294,288
295,146
296,377
297,288
298,146
299,409
300,288
301,248
302,146
303,146
304,248
305,186
306,351
307,248
308,198
309,342
310,3
311,186
312,186
313,238
314,186
315,351
316,351
317,198
318,186
319,248
320,288
321,252
322,252
323,252
324,252
325,252
326,252
327,252
328,252
329,248
330,288
331,252
332,288
333,252
334,252
335,252
336,235
337,66
338,231
339,235
340,235
341,235
342,252
343,66
344,231
345,248
346,252
347,231
348,66
349,231
350,252
351,231
352,242
353,242
354,242
355,242
356,242
357,322
358,242
359,322
360,242
361,242
362,242
363,242
364,242
365,242
366,242
367,242
368,229
369,229
370,176
371,229
372,229
373,229
374,150
375,229
376,176
377,229
378,229
379,229
380,229
381,229
382,229
383,229
384,184
385,225
386,154
387,41
388,184
389,225
390,177
391,225
392,267
393,301
394,314
395,184
396,301
397,225
398,301
399,225
400,225
401,177
402,184
403,301
404,225
405,301
406,314
407,301
408,242
409,197
410,314
411,41
412,314
413,314
414,184
415,17
416,151
417,151
418,86
419,302
420,302
421,302
422,151
423,218
424,302
425,302
426,302
427,151
428,302
429,193
430,302
431,260
432,151
433,151
434,23
435,218
436,23
437,151
438,151
439,10
440,193
441,193
442,151
443,193
444,312
445,151
446,151
447,193
448,289
449,197
450,195
451,268
452,268
453,302
454,34
455,38
456,289
457,197
458,179
459,289
460,302
461,268
462,195
463,289
464,225
465,302
466,289
467,302
468,197
469,289
470,38
471,289
472,268
473,159
474,195
475,289
476,289
477,159
478,289
479,354
480,302
481,323
482,289
483,381
484,381
485,381
486,381
487,289
488,90
489,196
490,247
491,90
492,381
493,323
494,289
495,381
496,115
497,323
498,381
499,381
500,323
501,71
502,323
503,381
504,289
505,381
506,381
507,323
508,323
509,381
510,381
511,289
512,187
513,337
514,337
515,241
516,337
517,337
518,113
519,337
520,355
521,381
522,77
523,187
524,337
525,83
526,187
527,288
528,288
529,337
530,288
531,77
532,113
533,288
534,83
535,291
536,299
537,329
538,187
539,77
540,288
541,337
542,329
543,291
544,12
545,230
546,355
547,355
548,248
549,248
550,158
551,238
552,248
553,238
554,187
555,355
556,248
557,355
558,238
559,355
