,species
0,225
1,104
2,225
3,225
4,225
5,104
6,104
7,225
8,225
9,221
10,225
11,104
12,104
13,104
14,206
15,225
16,170
17,170
18,221
19,170
20,170
21,148
22,81
23,81
24,170
25,170
26,170
27,170
28,81
29,81
30,148
31,366
32,366
33,257
34,192
35,366
36,366
37,366
38,366
39,37
40,363
41,366
42,366
43,366
44,366
45,366
46,192
47,366
48,273
49,294
50,306
51,294
52,306
53,294
54,363
55,306
56,294
57,294
58,294
59,294
60,363
61,294
62,306
63,306
64,58
65,365
66,306
67,58
68,306
69,365
70,306
71,306
72,365
73,365
74,306
75,306
76,306
77,306
78,306
79,306
80,365
81,365
82,365
83,365
84,149
85,149
86,3
87,365
88,149
89,24
90,8
91,365
92,149
93,365
94,314
95,149
96,320
97,320
98,320
99,320
100,320
101,320
102,43
103,43
104,314
105,320
106,325
107,77
108,320
109,77
110,320
111,59
112,30
113,214
114,320
115,320
116,325
117,214
118,325
119,362
120,30
121,325
122,30
123,30
124,214
125,325
126,325
127,214
128,214
129,278
130,151
131,278
132,151
133,151
134,151
135,214
136,151
137,55
138,151
139,151
140,214
141,214
142,214
143,151
144,287
145,263
146,287
147,287
148,263
149,263
150,121
151,287
152,263
153,287
154,68
155,263
156,287
157,263
158,263
159,287
160,107
161,142
162,142
163,361
164,336
165,142
166,107
167,12
168,142
169,107
170,107
171,107
172,107
173,107
174,107
175,107
176,124
177,124
178,7
179,335
180,124
181,124
182,206
183,335
184,206
185,124
186,124
187,85
188,85
189,104
190,221
191,335
192,282
193,257
194,257
195,282
196,225
197,257
198,258
199,257
200,257
201,258
202,258
203,258
204,257
205,192
206,282
207,71
208,192
209,140
210,140
211,283
212,257
213,223
214,257
215,206
216,283
217,283
218,283
219,257
220,223
221,206
222,223
223,257
224,140
225,366
226,140
227,140
228,140
229,258
230,140
231,140
232,258
233,158
234,258
235,140
236,140
237,23
238,140
239,140
240,89
241,89
242,116
243,14
244,273
245,294
246,116
247,228
248,89
249,294
250,294
251,116
252,33
253,116
254,228
255,33
256,254
257,254
258,254
259,254
260,190
261,254
262,294
263,190
264,162
265,254
266,162
267,294
268,190
269,294
270,254
271,190
272,285
273,214
274,197
275,174
276,262
277,207
278,207
279,197
280,214
281,174
282,161
283,207
284,207
285,161
286,174
287,197
288,82
289,291
290,82
291,263
292,263
293,285
294,82
295,263
296,263
297,285
298,285
299,224
300,263
301,320
302,197
303,214
304,82
305,320
306,82
307,214
308,214
309,214
310,214
311,92
312,106
313,214
314,100
315,291
316,82
317,100
318,320
319,82
320,287
321,287
322,291
323,287
324,287
325,287
326,80
327,80
328,62
329,62
330,274
331,287
332,287
333,80
334,62
335,62
336,75
337,274
338,75
339,173
340,274
341,171
342,274
343,173
344,173
345,274
346,274
347,274
348,274
349,274
350,75
351,75
352,264
353,54
354,282
355,51
356,264
357,282
358,282
359,51
360,274
361,152
362,152
363,51
364,152
365,274
366,282
367,152
368,111
369,111
370,111
371,111
372,111
373,226
374,111
375,257
376,91
377,111
378,257
379,257
380,257
381,111
382,111
383,283
384,41
385,257
386,292
387,258
388,283
389,292
390,258
391,283
392,25
393,93
394,258
395,237
396,258
397,93
398,258
399,71
400,257
401,290
402,258
403,257
404,163
405,237
406,237
407,258
408,292
409,186
410,237
411,257
412,186
413,258
414,237
415,258
416,176
417,176
418,258
419,246
420,292
421,223
422,258
423,209
424,53
425,176
426,223
427,88
428,258
429,258
430,258
431,209
432,176
433,258
434,176
435,176
436,163
437,158
438,186
439,258
440,223
441,223
442,163
443,158
444,88
445,163
446,223
447,258
448,313
449,190
450,262
451,154
452,261
453,258
454,262
455,120
456,313
457,154
458,190
459,76
460,76
461,160
462,168
463,120
464,154
465,190
466,294
467,120
468,262
469,168
470,262
471,6
472,313
473,120
474,313
475,168
476,313
477,154
478,120
479,160
480,190
481,190
482,190
483,190
484,246
485,246
486,176
487,190
488,190
489,190
490,319
491,72
492,190
493,190
494,65
495,190
496,190
497,294
498,190
499,254
500,294
501,190
502,190
503,246
504,190
505,246
506,190
507,190
508,190
509,190
510,190
511,190
512,254
513,97
514,78
515,198
516,97
517,97
518,254
519,254
520,78
521,254
522,263
523,263
524,97
525,254
526,97
527,78
528,254
529,263
530,254
531,254
532,254
533,254
534,78
535,162
536,97
537,254
538,97
539,254
540,254
541,78
542,254
543,254
544,285
545,214
546,29
547,291
548,214
549,243
550,61
551,214
552,197
553,280
554,214
555,61
556,159
557,61
558,197
559,159
560,197
561,197
562,285
563,197
564,197
565,263
566,285
567,280
568,285
569,197
570,61
571,291
572,18
573,159
574,214
575,197
576,224
577,285
578,224
579,291
580,285
581,171
582,285
583,285
584,195
585,195
586,285
587,291
588,291
589,285
590,224
591,195
592,291
593,291
594,291
595,195
596,291
597,291
598,171
599,195
600,285
601,60
602,287
603,82
604,52
605,291
606,195
607,224
608,306
609,306
610,287
611,171
612,306
613,259
614,42
615,259
616,306
617,306
618,42
619,287
620,306
621,306
622,259
623,171
624,251
625,28
626,28
627,282
628,251
629,251
630,282
631,28
632,282
633,173
634,274
635,282
636,1
637,282
638,173
639,171
640,269
641,282
642,147
643,226
644,138
645,138
646,206
647,206
648,10
649,226
650,331
651,269
652,269
653,264
654,147
655,138
656,288
657,341
658,341
659,108
660,288
661,108
662,108
663,288
664,341
665,269
666,108
667,288
668,108
669,341
670,27
671,269
672,257
673,257
674,206
675,50
676,258
677,113
678,257
679,353
680,257
681,258
682,257
683,258
684,66
685,206
686,257
687,258
688,178
689,258
690,258
691,258
692,258
693,122
694,258
695,258
696,178
697,66
698,257
699,194
700,258
701,206
702,258
703,194
704,194
705,292
706,102
707,194
708,292
709,246
710,136
711,102
712,194
713,194
714,292
715,102
716,246
717,102
718,102
719,194
720,246
721,246
722,102
723,292
724,102
725,258
726,290
727,246
728,246
729,194
730,128
731,292
732,102
733,102
734,246
735,292
736,290
737,256
738,102
739,246
740,102
741,258
742,246
743,102
744,102
745,290
746,102
747,258
748,128
749,246
750,290
751,290
752,31
753,265
754,246
755,276
756,246
757,172
758,294
759,246
760,265
761,246
762,276
763,246
764,246
765,246
766,246
767,246
768,313
769,246
770,276
771,246
772,246
773,196
774,246
775,294
776,196
777,246
778,246
779,294
780,294
781,246
782,265
783,196
784,164
785,246
786,246
787,64
788,172
789,102
790,158
791,246
792,246
793,246
794,20
795,246
796,246
797,265
798,246
799,196
800,294
801,196
802,160
803,292
804,248
805,262
806,276
807,160
808,160
809,262
810,262
811,190
812,248
813,190
814,160
815,248
816,160
817,292
818,160
819,164
820,294
821,246
822,164
823,190
824,160
825,262
826,292
827,292
828,262
829,248
830,262
831,248
832,190
833,261
834,294
835,292
836,196
837,248
838,244
839,190
840,262
841,294
842,248
843,160
844,305
845,160
846,196
847,190
848,319
849,319
850,243
851,241
852,214
853,241
854,319
855,243
856,241
857,224
858,218
859,224
860,241
861,243
862,241
863,319
864,243
865,262
866,241
867,319
868,167
869,262
870,302
871,241
872,184
873,319
874,218
875,272
876,34
877,218
878,241
879,319
880,241
881,224
882,241
883,26
884,218
885,319
886,167
887,218
888,262
889,184
890,241
891,241
892,218
893,218
894,214
895,218
896,243
897,198
898,96
899,198
900,254
901,243
902,254
903,299
904,254
905,198
906,198
907,254
908,299
909,262
910,198
911,243
912,262
913,198
914,198
915,254
916,254
917,198
918,47
919,302
920,285
921,198
922,285
923,198
924,243
925,302
926,262
927,198
928,262
929,262
930,243
931,198
932,262
933,254
934,243
935,262
936,254
937,302
938,243
939,285
940,254
941,262
942,198
943,243
944,224
945,302
946,275
947,275
948,286
949,286
950,259
951,306
952,259
953,259
954,254
955,224
956,275
957,259
958,286
959,275
960,259
961,275
962,224
963,52
964,224
965,224
966,286
967,224
968,254
969,52
970,193
971,52
972,259
973,259
974,259
975,52
976,343
977,179
978,343
979,343
980,247
981,343
982,343
983,275
984,343
985,224
986,343
987,224
988,343
989,343
990,343
991,326
992,264
993,247
994,63
995,171
996,247
997,247
998,264
999,171
1000,63
1001,247
1002,247
1003,306
1004,247
1005,264
1006,264
1007,306
1008,288
1009,240
1010,240
1011,240
1012,288
1013,282
1014,288
1015,350
1016,331
1017,331
1018,350
1019,269
1020,269
1021,282
1022,282
1023,331
1024,129
1025,258
1026,331
1027,258
1028,331
1029,331
1030,331
1031,331
1032,331
1033,331
1034,331
1035,331
1036,331
1037,331
1038,331
1039,331
1040,165
1041,249
1042,318
1043,318
1044,191
1045,165
1046,318
1047,79
1048,318
1049,191
1050,79
1051,199
1052,249
1053,191
1054,249
1055,191
1056,318
1057,49
1058,318
1059,191
1060,318
1061,165
1062,165
1063,165
1064,318
1065,318
1066,79
1067,318
1068,249
1069,318
1070,90
1071,249
1072,323
1073,165
1074,353
1075,194
1076,323
1077,294
1078,277
1079,165
1080,353
1081,206
1082,353
1083,294
1084,165
1085,211
1086,257
1087,323
1088,165
1089,277
1090,294
1091,165
1092,304
1093,353
1094,306
1095,211
1096,318
1097,304
1098,353
1099,246
1100,306
1101,353
1102,306
1103,353
1104,359
1105,353
1106,318
1107,353
1108,306
1109,211
1110,318
1111,258
1112,306
1113,165
1114,353
1115,306
1116,306
1117,165
1118,353
1119,56
1120,318
1121,218
1122,318
1123,156
1124,294
1125,313
1126,313
1127,294
1128,208
1129,153
1130,130
1131,294
1132,130
1133,313
1134,318
1135,153
1136,294
1137,318
1138,294
1139,318
1140,246
1141,130
1142,305
1143,208
1144,102
1145,318
1146,130
1147,294
1148,218
1149,208
1150,102
1151,130
1152,130
1153,318
1154,105
1155,313
1156,130
1157,294
1158,130
1159,102
1160,305
1161,277
1162,130
1163,313
1164,208
1165,313
1166,153
1167,294
1168,160
1169,153
1170,218
1171,105
1172,294
1173,208
1174,294
1175,235
1176,153
1177,208
1178,313
1179,294
1180,313
1181,298
1182,313
1183,102
1184,276
1185,272
1186,276
1187,276
1188,261
1189,289
1190,313
1191,276
1192,339
1193,248
1194,127
1195,32
1196,289
1197,302
1198,220
1199,305
1200,265
1201,272
1202,339
1203,212
1204,302
1205,57
1206,4
1207,2
1208,276
1209,210
1210,339
1211,305
1212,289
1213,276
1214,212
1215,294
1216,127
1217,5
1218,276
1219,38
1220,220
1221,289
1222,212
1223,289
1224,276
1225,312
1226,276
1227,289
1228,289
1229,276
1230,272
1231,305
1232,212
1233,276
1234,276
1235,276
1236,339
1237,220
1238,212
1239,276
1240,313
1241,289
1242,272
1243,313
1244,276
1245,276
1246,289
1247,272
1248,150
1249,334
1250,302
1251,318
1252,150
1253,312
1254,220
1255,95
1256,324
1257,276
1258,150
1259,334
1260,334
1261,362
1262,362
1263,302
1264,362
1265,150
1266,302
1267,334
1268,302
1269,220
1270,150
1271,362
1272,180
1273,95
1274,150
1275,362
1276,302
1277,220
1278,210
1279,180
1280,312
1281,280
1282,150
1283,280
1284,175
1285,302
1286,150
1287,16
1288,318
1289,220
1290,362
1291,220
1292,150
1293,175
1294,334
1295,334
1296,324
1297,198
1298,362
1299,94
1300,362
1301,362
1302,175
1303,302
1304,362
1305,243
1306,150
1307,123
1308,280
1309,220
1310,362
1311,318
1312,319
1313,262
1314,319
1315,235
1316,319
1317,235
1318,319
1319,247
1320,299
1321,281
1322,285
1323,235
1324,247
1325,224
1326,15
1327,235
1328,241
1329,247
1330,224
1331,299
1332,224
1333,319
1334,247
1335,281
1336,299
1337,319
1338,175
1339,343
1340,285
1341,224
1342,224
1343,299
1344,134
1345,319
1346,319
1347,235
1348,319
1349,280
1350,247
1351,281
1352,224
1353,281
1354,299
1355,319
1356,157
1357,224
1358,286
1359,318
1360,280
1361,259
1362,117
1363,259
1364,280
1365,179
1366,247
1367,286
1368,280
1369,247
1370,247
1371,247
1372,230
1373,247
1374,259
1375,280
1376,254
1377,179
1378,179
