,species
0,272
1,82
2,40
3,272
4,40
5,40
6,272
7,82
8,272
9,111
10,40
11,82
12,82
13,40
14,82
15,40
16,244
17,190
18,190
19,244
20,277
21,190
22,190
23,240
24,2
25,277
26,330
27,11
28,272
29,190
30,296
31,277
32,240
33,240
34,240
35,343
36,240
37,240
38,240
39,16
40,240
41,240
42,140
43,240
44,240
45,240
46,240
47,140
48,311
49,192
50,192
51,311
52,311
53,192
54,192
55,311
56,192
57,90
58,192
59,192
60,311
61,192
62,192
63,311
64,333
65,333
66,333
67,333
68,311
69,311
70,333
71,333
72,44
73,333
74,333
75,311
76,333
77,333
78,333
79,117
80,162
81,359
82,288
83,288
84,288
85,359
86,333
87,288
88,20
89,288
90,288
91,359
92,288
93,288
94,288
95,311
96,65
97,65
98,188
99,248
100,162
101,188
102,65
103,65
104,357
105,188
106,288
107,357
108,248
109,357
110,357
111,357
112,188
113,23
114,188
115,5
116,188
117,109
118,118
119,31
120,188
121,357
122,31
123,23
124,118
125,188
126,357
127,31
128,333
129,105
130,333
131,333
132,172
133,333
134,333
135,333
136,333
137,333
138,333
139,105
140,333
141,333
142,105
143,105
144,234
145,201
146,59
147,234
148,234
149,234
150,234
151,234
152,49
153,234
154,234
155,106
156,49
157,106
158,106
159,201
160,66
161,108
162,111
163,231
164,58
165,58
166,116
167,39
168,231
169,231
170,35
171,82
172,39
173,39
174,116
175,35
176,223
177,223
178,272
179,223
180,223
181,223
182,223
183,223
184,223
185,272
186,89
187,89
188,272
189,272
190,134
191,134
192,107
193,263
194,263
195,263
196,107
197,107
198,107
199,68
200,107
201,68
202,107
203,226
204,226
205,152
206,152
207,263
208,137
209,332
210,226
211,151
212,332
213,226
214,137
215,226
216,159
217,226
218,137
219,311
220,137
221,226
222,151
223,137
224,311
225,311
226,311
227,311
228,9
229,311
230,311
231,311
232,193
233,214
234,140
235,311
236,304
237,311
238,140
239,311
240,204
241,204
242,302
243,302
244,302
245,204
246,204
247,185
248,302
249,302
250,80
251,204
252,302
253,302
254,80
255,3
256,278
257,278
258,333
259,162
260,15
261,333
262,13
263,278
264,278
265,12
266,333
267,13
268,333
269,278
270,278
271,278
272,278
273,278
274,278
275,278
276,278
277,278
278,278
279,278
280,0
281,278
282,278
283,278
284,237
285,1
286,278
287,153
288,237
289,237
290,237
291,237
292,237
293,237
294,237
295,239
296,324
297,237
298,237
299,237
300,237
301,237
302,237
303,237
304,220
305,237
306,106
307,220
308,70
309,106
310,106
311,106
312,106
313,201
314,220
315,220
316,106
317,307
318,220
319,220
320,53
321,237
322,237
323,237
324,237
325,237
326,237
327,209
328,229
329,237
330,42
331,10
332,53
333,237
334,237
335,237
336,209
337,149
338,209
339,149
340,149
341,30
342,18
343,62
344,149
345,209
346,149
347,209
348,149
349,149
350,149
351,149
352,292
353,95
354,272
355,292
356,132
357,89
358,95
359,292
360,189
361,132
362,132
363,132
364,189
365,152
366,292
367,292
368,332
369,292
370,292
371,332
372,332
373,332
374,292
375,292
376,332
377,254
378,254
379,332
380,292
381,332
382,332
383,292
384,292
385,263
386,174
387,263
388,189
389,189
390,193
391,101
392,263
393,263
394,189
395,193
396,263
397,304
398,263
399,263
400,304
401,101
402,304
403,263
404,263
405,189
406,263
407,263
408,263
409,263
410,263
411,304
412,263
413,193
414,311
415,137
416,159
417,88
418,263
419,302
420,302
421,174
422,304
423,174
424,137
425,88
426,302
427,159
428,355
429,159
430,174
431,205
432,174
433,112
434,174
435,263
436,263
437,73
438,189
439,159
440,302
441,189
442,159
443,112
444,174
445,218
446,302
447,302
448,337
449,337
450,214
451,214
452,165
453,214
454,302
455,214
456,247
457,247
458,214
459,214
460,138
461,278
462,247
463,189
464,337
465,214
466,214
467,204
468,268
469,214
470,241
471,138
472,247
473,337
474,302
475,268
476,247
477,67
478,337
479,214
480,180
481,288
482,180
483,162
484,162
485,162
486,288
487,162
488,162
489,162
490,288
491,180
492,185
493,302
494,180
495,162
496,288
497,162
498,162
499,180
500,180
501,162
502,162
503,162
504,162
505,162
506,278
507,180
508,278
509,180
510,288
511,162
512,153
513,171
514,33
515,153
516,206
517,153
518,153
519,206
520,153
521,288
522,171
523,274
524,153
525,153
526,196
527,206
528,194
529,153
530,33
531,194
532,196
533,171
534,288
535,171
536,153
537,206
538,288
539,153
540,153
541,196
542,153
543,196
544,163
545,332
546,84
547,163
