,species
0,351
1,206
2,351
3,206
4,351
5,203
6,82
7,206
8,351
9,351
10,351
11,82
12,206
13,86
14,206
15,206
16,206
17,206
18,78
19,105
20,78
21,206
22,175
23,342
24,199
25,206
26,175
27,206
28,206
29,206
30,206
31,78
32,366
33,275
34,366
35,342
36,366
37,100
38,22
39,366
40,26
41,26
42,26
43,144
44,22
45,118
46,100
47,366
48,136
49,381
50,381
51,136
52,136
53,136
54,55
55,381
56,381
57,381
58,381
59,381
60,136
61,381
62,381
63,381
64,358
65,204
66,204
67,4
68,381
69,381
70,358
71,370
72,204
73,204
74,358
75,204
76,381
77,370
78,204
79,204
80,111
81,111
82,113
83,289
84,111
85,81
86,289
87,195
88,195
89,111
90,358
91,113
92,195
93,195
94,289
95,195
96,329
97,190
98,329
99,361
100,329
101,232
102,329
103,329
104,190
105,329
106,3
107,329
108,329
109,190
110,329
111,190
112,340
113,369
114,329
115,71
116,340
117,340
118,358
119,340
120,46
121,340
122,340
123,46
124,329
125,340
126,329
127,340
128,73
129,159
130,159
131,148
132,159
133,252
134,65
135,159
136,159
137,65
138,159
139,65
140,369
141,148
142,148
143,73
144,375
145,333
146,333
147,333
148,333
149,333
150,351
151,375
152,333
153,333
154,375
155,293
156,333
157,351
158,333
159,333
160,203
161,203
162,43
163,203
164,203
165,8
166,203
167,203
168,203
169,375
170,203
171,375
172,203
173,203
174,203
175,43
176,51
177,7
178,293
179,334
180,189
181,293
182,293
183,203
184,334
185,334
186,266
187,51
188,266
189,293
190,334
191,266
192,189
193,181
194,277
195,189
196,277
197,200
198,189
199,189
200,189
201,189
202,277
203,200
204,277
205,189
206,189
207,189
208,277
209,93
210,98
211,277
212,283
213,199
214,98
215,199
216,277
217,199
218,93
219,93
220,277
221,93
222,199
223,277
224,185
225,204
226,142
227,204
228,28
229,204
230,185
231,204
232,142
233,185
234,204
235,204
236,185
237,204
238,185
239,204
240,366
241,151
242,151
243,142
244,151
245,366
246,366
247,151
248,366
249,366
250,30
251,30
252,30
253,55
254,366
255,366
256,101
257,358
258,358
259,269
260,269
261,11
262,358
263,11
264,269
265,306
266,358
267,35
268,381
269,269
270,288
271,18
272,358
273,358
274,236
275,288
276,236
277,54
278,129
279,129
280,358
281,358
282,358
283,358
284,101
285,358
286,19
287,358
288,38
289,106
290,149
291,149
292,223
293,241
294,106
295,241
296,288
297,149
298,149
299,149
300,149
301,71
302,149
303,103
304,125
305,252
306,125
307,327
308,125
309,168
310,168
311,169
312,168
313,125
314,252
315,252
316,168
317,168
318,252
319,168
320,214
321,214
322,9
323,214
324,214
325,65
326,6
327,214
328,214
329,65
330,6
331,65
332,159
333,255
334,214
335,150
336,246
337,293
338,246
339,293
340,375
341,375
342,293
343,246
344,293
345,246
346,293
347,293
348,115
349,293
350,246
351,293
352,278
353,62
354,278
355,278
356,123
357,278
358,123
359,123
360,325
361,278
362,247
363,278
364,278
365,278
366,278
367,123
368,293
369,332
370,293
371,331
372,293
373,293
374,293
375,278
376,293
377,311
378,16
379,332
380,311
381,311
382,293
383,293
384,208
385,181
386,208
387,200
388,311
389,200
390,163
391,200
392,208
393,189
394,189
395,189
396,208
397,207
398,181
399,208
400,189
401,189
402,189
403,200
404,189
405,181
406,189
407,189
408,189
409,200
410,189
411,189
412,200
413,181
414,207
415,181
416,126
417,197
418,278
419,200
420,278
421,277
422,200
423,261
424,197
425,199
426,200
427,277
428,200
429,278
430,1
431,278
432,278
433,173
434,173
435,200
436,84
437,278
438,200
439,173
440,197
441,278
442,278
443,200
444,278
445,126
446,126
447,278
448,197
449,197
450,197
451,56
452,197
453,57
454,197
455,197
456,197
457,197
458,197
459,197
460,278
461,218
462,57
463,197
464,218
465,197
466,56
467,197
468,197
469,197
470,218
471,197
472,197
473,197
474,56
475,197
476,57
477,56
478,57
479,197
480,278
481,195
482,227
483,227
484,358
485,288
486,288
487,358
488,124
489,124
490,358
491,124
492,124
493,124
494,124
495,117
496,358
497,124
498,182
499,227
500,124
501,288
502,358
503,358
504,278
505,227
506,306
507,227
508,124
509,227
510,227
511,288
512,288
513,288
514,288
515,288
516,288
517,240
518,37
519,288
520,288
521,306
522,288
523,306
524,288
525,288
526,269
527,288
528,288
529,25
530,306
531,288
532,306
533,288
534,334
535,306
536,288
537,288
538,288
539,288
540,240
541,288
542,240
543,288
544,140
545,288
546,288
547,140
548,94
549,39
550,137
551,288
552,39
553,140
554,288
555,327
556,298
557,288
558,288
559,137
560,137
561,137
562,154
563,327
564,327
565,288
566,288
567,169
568,327
569,140
570,288
571,202
572,288
573,298
574,298
575,288
576,273
577,334
578,103
579,44
580,223
581,223
582,241
583,161
584,33
585,149
586,334
587,223
588,223
589,103
590,68
591,33
592,33
593,161
594,273
595,223
596,223
597,334
598,288
599,334
600,239
601,223
602,334
603,223
604,241
605,33
606,241
607,161
608,288
609,64
610,288
611,68
612,288
613,169
614,169
615,288
616,255
617,161
618,255
619,255
620,169
621,288
622,288
623,169
624,115
625,249
626,334
627,69
628,69
629,69
630,334
631,249
632,60
633,334
634,47
635,249
636,249
637,115
638,249
639,69
640,325
641,247
642,282
643,247
644,331
645,331
646,247
647,325
648,325
649,249
650,331
651,259
652,331
653,325
654,331
655,247
656,266
657,249
658,311
659,349
660,127
661,266
662,266
663,266
664,24
665,266
666,266
667,325
668,127
669,266
670,266
671,127
672,189
673,184
674,261
675,311
676,170
677,311
678,311
679,311
680,261
681,311
682,278
683,311
684,87
685,311
686,311
687,311
688,311
689,311
690,311
691,311
692,311
693,278
694,311
695,170
696,87
697,311
698,311
699,311
700,87
701,311
702,311
703,278
704,75
705,283
706,295
707,59
708,325
709,311
710,295
711,244
712,207
713,283
714,325
715,295
716,325
717,295
718,75
719,295
720,177
721,283
722,295
723,199
724,244
725,295
726,283
727,244
728,262
729,295
730,325
731,295
732,311
733,295
734,295
735,325
736,295
737,283
738,207
739,295
740,325
741,244
742,283
743,244
744,283
745,325
746,283
747,295
748,295
749,244
750,17
751,283
752,312
753,177
754,278
755,200
756,218
757,79
758,299
759,299
760,299
761,200
762,325
763,218
764,312
765,229
766,200
767,325
768,312
769,299
770,299
771,299
772,312
773,177
774,200
775,299
776,177
777,218
778,312
779,200
780,200
781,177
782,312
783,218
784,326
785,200
786,299
787,325
788,177
789,177
790,312
791,299
792,312
793,295
794,218
795,72
796,31
797,218
798,299
799,218
800,20
801,141
802,328
803,328
804,157
805,314
806,285
807,358
808,353
809,367
810,141
811,328
812,314
813,262
814,285
815,358
816,141
817,72
818,153
819,141
820,141
821,353
822,358
823,262
824,153
825,153
826,285
827,314
828,262
829,141
830,262
831,187
832,295
833,153
834,326
835,141
836,358
837,153
838,314
839,367
840,314
841,141
842,367
843,141
844,153
845,153
846,76
847,314
848,288
849,13
850,288
851,288
852,288
853,288
854,288
855,288
856,288
857,353
858,288
859,288
860,298
861,288
862,182
863,182
864,288
865,182
866,288
867,288
868,178
869,288
870,288
871,288
872,288
873,182
874,182
875,288
876,178
877,288
878,288
879,353
880,288
881,178
882,182
883,288
884,288
885,288
886,182
887,298
888,221
889,288
890,353
891,288
892,221
893,178
894,288
895,288
896,288
897,334
898,202
899,239
900,288
901,239
902,288
903,334
904,306
905,202
906,135
907,334
908,271
909,288
910,288
911,288
912,288
913,288
914,334
915,334
916,202
917,288
918,288
919,202
920,288
921,137
922,288
923,288
924,202
925,288
926,15
927,271
928,241
929,288
930,269
931,306
932,14
933,202
934,334
935,334
936,271
937,334
938,271
939,271
940,271
941,334
942,241
943,271
944,288
945,228
946,288
947,288
948,228
949,202
950,288
951,334
952,288
953,202
954,202
955,228
956,288
957,288
958,280
959,260
960,202
961,288
962,288
963,202
964,202
965,202
966,288
967,202
968,288
969,241
970,288
971,94
972,260
973,288
974,288
975,280
976,287
977,260
978,287
979,260
980,287
981,260
982,260
983,287
984,27
985,260
986,287
987,260
988,287
989,260
990,260
991,260
992,282
993,282
994,282
995,234
996,282
997,249
998,282
999,249
1000,282
1001,282
1002,282
1003,282
1004,282
1005,219
1006,219
1007,282
1008,176
1009,259
1010,259
1011,164
1012,215
1013,164
1014,164
1015,266
1016,259
1017,215
1018,259
1019,215
1020,259
1021,259
1022,164
1023,120
1024,349
1025,311
1026,311
1027,311
1028,311
1029,311
1030,311
1031,325
1032,355
1033,311
1034,266
1035,311
1036,325
1037,311
1038,215
1039,311
1040,349
1041,266
1042,293
1043,349
1044,244
1045,325
1046,270
1047,244
1048,215
1049,311
1050,325
1051,293
1052,270
1053,349
1054,325
1055,325
1056,325
1057,283
1058,325
1059,77
1060,349
1061,325
1062,349
1063,349
1064,325
1065,266
1066,325
1067,349
1068,349
1069,215
1070,49
1071,215
1072,261
1073,349
1074,349
1075,58
1076,261
1077,349
1078,349
1079,364
1080,261
1081,349
1082,261
1083,254
1084,261
1085,295
1086,283
1087,32
1088,349
1089,349
1090,368
1091,364
1092,364
1093,349
1094,283
1095,261
1096,364
1097,349
1098,349
1099,349
1100,261
1101,295
1102,349
1103,349
1104,231
1105,207
1106,349
1107,295
1108,248
1109,368
1110,364
1111,207
1112,32
1113,96
1114,364
1115,349
1116,349
1117,32
1118,299
1119,349
1120,248
1121,322
1122,314
1123,295
1124,295
1125,231
1126,314
1127,314
1128,248
1129,322
1130,248
1131,314
1132,262
1133,248
1134,295
1135,231
1136,295
1137,262
1138,295
1139,314
1140,248
1141,295
1142,248
1143,237
1144,314
1145,295
1146,295
1147,295
1148,248
1149,322
1150,248
1151,295
1152,314
1153,322
1154,322
1155,295
1156,314
1157,358
1158,314
1159,237
1160,248
1161,248
1162,262
1163,322
1164,262
1165,262
1166,231
1167,295
1168,314
1169,295
1170,322
1171,295
1172,295
1173,295
1174,314
1175,295
1176,248
1177,262
1178,248
1179,328
1180,322
1181,295
1182,314
1183,358
1184,279
1185,318
1186,322
1187,242
1188,187
1189,187
1190,322
1191,295
1192,314
1193,318
1194,322
1195,155
1196,187
1197,155
1198,330
1199,279
1200,133
1201,358
1202,358
1203,322
1204,353
1205,314
1206,330
1207,48
1208,178
1209,322
1210,328
1211,187
1212,242
1213,328
1214,328
1215,238
1216,328
1217,328
1218,279
1219,322
1220,187
1221,322
1222,328
1223,322
1224,305
1225,328
1226,121
1227,121
1228,178
1229,328
1230,322
1231,133
1232,322
1233,155
1234,200
1235,314
1236,328
1237,187
1238,328
1239,328
1240,187
1241,328
1242,279
1243,318
1244,328
1245,187
1246,187
1247,200
1248,316
1249,253
1250,332
1251,334
1252,220
1253,314
1254,311
1255,191
1256,334
1257,253
1258,171
1259,171
1260,220
1261,334
1262,171
1263,226
1264,253
1265,226
1266,262
1267,102
1268,158
1269,171
1270,334
1271,334
1272,262
1273,158
1274,253
1275,171
1276,191
1277,253
1278,262
1279,102
1280,114
1281,334
1282,171
1283,220
1284,253
1285,220
1286,220
1287,332
1288,171
1289,119
1290,334
1291,220
1292,271
1293,211
1294,211
1295,334
1296,122
1297,262
1298,316
1299,211
1300,334
1301,332
1302,334
1303,122
1304,253
1305,226
1306,158
1307,158
1308,158
1309,332
1310,220
1311,171
1312,352
1313,260
1314,107
1315,334
1316,298
1317,352
1318,162
1319,298
1320,352
1321,298
1322,260
1323,298
1324,343
1325,298
1326,298
1327,298
1328,298
1329,298
1330,352
1331,298
1332,298
1333,182
1334,298
1335,298
1336,352
1337,298
1338,298
1339,334
1340,288
1341,260
1342,352
1343,352
1344,260
1345,352
1346,298
1347,334
1348,298
1349,298
1350,311
1351,298
1352,298
1353,298
1354,298
1355,298
1356,298
1357,298
1358,107
1359,298
1360,334
1361,272
1362,272
1363,334
1364,284
1365,280
1366,284
1367,284
1368,272
1369,217
1370,272
1371,323
1372,272
1373,334
1374,272
1375,272
1376,217
1377,334
1378,334
1379,217
1380,272
1381,272
1382,334
1383,334
1384,272
1385,272
1386,42
1387,217
1388,217
1389,334
1390,334
1391,272
1392,245
1393,245
1394,280
1395,272
1396,245
1397,280
1398,245
1399,245
1400,245
1401,280
1402,245
1403,272
1404,272
1405,272
1406,245
1407,245
1408,383
1409,245
1410,383
1411,383
1412,234
1413,234
1414,234
1415,383
1416,383
1417,234
1418,234
1419,234
1420,383
1421,383
1422,234
1423,234
1424,311
1425,132
1426,325
1427,311
1428,311
1429,311
1430,325
1431,132
1432,311
1433,41
1434,265
1435,383
1436,383
1437,325
1438,311
1439,311
1440,355
1441,349
1442,259
1443,349
1444,349
1445,259
1446,265
1447,370
1448,349
1449,349
1450,349
1451,349
1452,349
1453,349
1454,349
1455,344
1456,355
1457,355
1458,355
1459,355
1460,355
1461,355
1462,110
1463,355
1464,355
1465,207
1466,63
1467,110
1468,355
1469,110
1470,63
1471,66
1472,355
1473,355
1474,355
1475,355
1476,355
1477,10
1478,110
1479,311
1480,355
1481,244
1482,311
1483,355
1484,355
1485,355
1486,80
1487,355
1488,311
1489,313
1490,311
1491,326
1492,34
1493,311
1494,311
1495,347
1496,311
1497,295
1498,295
1499,152
1500,311
1501,295
1502,311
1503,152
1504,349
1505,349
1506,295
1507,138
1508,349
1509,349
1510,311
1511,311
1512,112
1513,349
1514,349
1515,311
1516,295
1517,311
1518,311
1519,316
1520,349
1521,138
1522,311
1523,311
1524,347
1525,349
1526,174
1527,349
1528,311
1529,311
1530,152
1531,311
1532,160
1533,349
1534,311
1535,311
1536,358
1537,248
1538,378
1539,295
1540,36
