,species
0,177
1,16
2,155
3,177
4,177
5,177
6,56
7,56
8,18
9,198
10,177
11,177
12,177
13,177
14,177
15,177
16,182
17,182
18,169
19,89
20,33
21,33
22,56
23,56
24,169
25,56
26,169
27,56
28,169
29,169
30,56
31,182
32,198
33,182
34,332
35,170
36,291
37,88
38,198
39,88
40,170
41,155
42,88
43,198
44,332
45,198
46,321
47,182
48,161
49,161
50,161
51,161
52,161
53,161
54,161
55,161
56,161
57,161
58,161
59,161
60,198
61,182
62,198
63,27
64,161
65,161
66,133
67,161
68,142
69,142
70,142
71,122
72,142
73,142
74,142
75,98
76,142
77,161
78,142
79,133
80,195
81,39
82,29
83,68
84,68
85,195
86,195
87,195
88,195
89,79
90,195
91,39
92,39
93,79
94,79
95,195
96,184
97,184
98,334
99,8
100,334
101,334
102,334
103,184
104,334
105,184
106,334
107,334
108,235
109,184
110,334
111,184
112,184
113,66
114,240
115,240
116,66
117,240
118,66
119,66
120,240
121,66
122,66
123,66
124,66
125,66
126,334
127,66
128,226
129,334
130,334
131,334
132,334
133,63
134,63
135,288
136,334
137,116
138,63
139,226
140,309
141,334
142,334
143,116
144,104
145,320
146,104
147,104
148,262
149,104
150,273
151,262
152,17
153,320
154,78
155,104
156,104
157,320
158,78
159,104
160,75
161,300
162,91
163,91
164,75
165,324
166,102
167,177
168,75
169,102
170,102
171,91
172,91
173,102
174,177
175,58
176,262
177,262
178,155
179,132
180,155
181,262
182,155
183,262
184,155
185,262
186,262
187,262
188,262
189,247
190,262
191,24
192,198
193,137
194,321
195,137
196,137
197,321
198,321
199,321
200,155
201,177
202,177
203,321
204,198
205,198
206,198
207,262
208,161
209,161
210,198
211,321
212,161
213,161
214,198
215,161
216,161
217,161
218,161
219,161
220,161
221,321
222,198
223,198
224,161
225,161
226,276
227,161
228,161
229,216
230,161
231,161
232,161
233,198
234,161
235,216
236,321
237,161
238,161
239,276
240,276
241,158
242,276
243,276
244,194
245,276
246,230
247,276
248,194
249,276
250,276
251,158
252,276
253,194
254,276
255,276
256,25
257,334
258,334
259,142
260,142
261,334
262,142
263,334
264,334
265,334
266,140
267,334
268,334
269,334
270,140
271,142
272,225
273,45
274,142
275,45
276,59
277,334
278,334
279,10
280,334
281,142
282,195
283,334
284,334
285,207
286,207
287,334
288,116
289,243
290,244
291,53
292,53
293,244
294,274
295,244
296,244
297,116
298,53
299,116
300,244
301,244
302,244
303,274
304,175
305,269
306,104
307,175
308,104
309,249
310,114
311,175
312,175
313,104
314,2
315,226
316,54
317,104
318,104
319,114
320,334
321,192
322,231
323,231
324,21
325,76
326,231
327,231
328,192
329,54
330,76
331,231
332,192
333,192
334,231
335,21
336,262
337,324
338,185
339,262
340,185
341,262
342,262
343,324
344,155
345,104
346,58
347,262
348,262
349,262
350,134
351,58
352,247
353,136
354,132
355,136
356,136
357,125
358,136
359,132
360,125
361,125
362,247
363,132
364,247
365,136
366,136
367,19
368,97
369,178
370,97
371,97
372,178
373,97
374,67
375,52
376,65
377,97
378,178
379,178
380,262
381,52
382,67
383,262
384,216
385,321
386,216
387,130
388,262
389,262
390,321
391,216
392,216
393,321
394,216
395,158
396,216
397,216
398,216
399,216
400,321
401,262
402,178
403,216
404,216
405,321
406,161
407,216
408,321
409,216
410,130
411,216
412,216
413,216
414,321
415,321
416,321
417,321
418,321
419,321
420,321
421,30
422,321
423,321
424,321
425,307
426,321
427,321
428,321
429,321
430,321
431,307
432,307
433,30
434,216
435,321
436,321
437,321
438,216
439,321
440,30
441,321
442,321
443,321
444,321
445,216
446,321
447,276
448,321
449,171
450,171
451,170
452,110
453,142
454,110
455,250
456,171
457,110
458,171
459,171
460,171
461,230
462,321
463,230
464,321
465,171
466,110
467,198
468,171
469,321
470,321
471,321
472,321
473,230
474,321
475,321
476,170
477,171
478,321
479,299
480,90
481,243
482,90
483,188
484,243
485,230
486,154
487,288
488,276
489,90
490,22
491,90
492,307
493,243
494,188
495,188
496,90
497,303
498,166
499,166
500,230
501,20
502,303
503,230
504,230
505,90
506,154
507,288
508,90
509,243
510,243
511,140
512,297
513,41
514,227
515,297
516,208
517,227
518,297
519,246
520,14
521,297
522,227
523,139
524,41
525,227
526,227
527,227
528,41
529,288
530,227
531,207
532,208
533,227
534,227
535,227
536,227
537,297
538,41
539,208
540,288
541,208
542,297
543,297
544,240
545,328
546,292
547,240
548,328
549,225
550,328
551,175
552,240
553,263
554,328
555,164
556,176
557,240
558,328
559,225
560,263
561,292
562,176
563,328
564,328
565,275
566,297
567,263
568,84
569,275
570,3
571,227
572,84
573,328
574,84
575,164
576,150
577,264
578,275
579,275
580,101
581,275
582,192
583,275
584,176
585,275
586,253
587,275
588,176
589,176
590,192
591,192
592,243
593,264
594,275
595,192
596,275
597,275
598,275
599,176
600,176
601,54
602,101
603,243
604,101
605,176
606,192
607,243
608,114
609,134
610,48
611,134
612,134
613,134
614,134
615,134
616,48
617,134
618,253
619,114
620,115
621,48
622,48
623,134
624,100
625,204
626,247
627,155
628,100
629,100
630,100
631,70
632,100
633,70
634,100
635,155
636,155
637,247
638,100
639,100
640,50
641,165
642,132
643,31
644,147
645,147
646,178
647,262
648,147
649,165
650,147
651,165
652,147
653,147
654,262
655,262
656,130
657,254
658,321
659,130
660,168
661,130
662,42
663,97
664,168
665,130
666,130
667,130
668,168
669,214
670,130
671,321
672,130
673,323
674,321
675,181
676,178
677,181
678,178
679,181
680,178
681,196
682,178
683,130
684,216
685,181
686,130
687,196
688,181
689,178
690,321
691,196
692,130
693,318
694,181
695,130
696,216
697,323
698,161
699,196
700,181
701,181
702,161
703,161
704,297
705,221
706,299
707,221
708,187
709,216
710,221
711,193
712,187
713,187
714,221
715,299
716,297
717,297
718,303
719,128
720,198
721,187
722,299
723,307
724,113
725,299
726,299
727,216
728,299
729,299
730,113
731,299
732,113
733,299
734,113
735,299
736,221
737,113
738,85
739,221
740,221
741,297
742,43
743,321
744,299
745,113
746,221
747,36
748,297
749,187
750,216
751,92
752,221
753,303
754,221
755,307
756,307
757,307
758,94
759,303
760,303
761,303
762,190
763,303
764,160
765,303
766,307
767,299
768,303
769,303
770,303
771,221
772,190
773,221
774,303
775,303
776,221
777,94
778,303
779,303
780,303
781,307
782,94
783,303
784,307
785,13
786,303
787,307
788,303
789,303
790,94
791,128
792,303
793,221
794,303
795,303
796,26
797,299
798,190
799,94
800,60
801,230
802,60
803,230
804,263
805,304
806,230
807,60
808,230
809,304
810,297
811,94
812,297
813,73
814,297
815,311
816,311
817,304
818,297
819,230
820,230
821,263
822,297
823,38
824,297
825,230
826,38
827,230
828,311
829,297
830,230
831,311
832,230
833,230
834,304
835,243
836,15
837,230
838,230
839,292
840,60
841,230
842,230
843,263
844,263
845,230
846,297
847,230
848,253
849,328
850,253
851,227
852,74
853,253
854,74
855,292
856,263
857,253
858,253
859,246
860,328
861,154
862,246
863,292
864,264
865,253
866,246
867,328
868,292
869,253
870,292
871,253
872,292
873,263
874,154
875,292
876,292
877,264
878,74
879,253
880,292
881,263
882,154
883,253
884,74
885,74
886,229
887,292
888,292
889,292
890,154
891,292
892,292
893,74
894,229
895,292
896,317
897,227
898,251
899,227
900,227
901,225
902,227
903,246
904,253
905,227
906,246
907,264
908,225
909,225
910,264
911,225
912,34
913,264
914,264
915,23
916,264
917,253
918,143
919,227
920,227
921,34
922,227
923,264
924,227
925,143
926,227
927,227
928,253
929,227
930,317
931,227
932,143
933,264
934,227
935,227
936,204
937,227
938,264
939,227
940,227
941,227
942,227
943,204
944,253
945,253
946,253
947,172
948,71
949,275
950,253
951,275
952,253
953,253
954,275
955,204
956,71
957,253
958,253
959,253
960,251
961,275
962,275
963,275
964,275
965,253
966,275
967,253
968,253
969,204
970,253
971,275
972,251
973,253
974,253
975,71
976,115
977,239
978,239
979,239
980,115
981,328
982,115
983,115
984,115
985,328
986,331
987,115
988,115
989,328
990,115
991,115
992,134
993,134
994,134
995,134
996,204
997,134
998,134
999,134
1000,134
1001,204
1002,204
1003,134
1004,251
1005,134
1006,134
1007,134
1008,138
1009,323
1010,138
1011,146
1012,138
1013,146
1014,211
1015,37
1016,138
1017,138
1018,138
1019,211
1020,138
1021,138
1022,138
1023,211
1024,277
1025,252
1026,168
1027,252
1028,277
1029,277
1030,277
1031,323
1032,323
1033,277
1034,252
1035,252
1036,323
1037,277
1038,323
1039,277
1040,297
1041,180
1042,304
1043,180
1044,304
1045,297
1046,228
1047,180
1048,297
1049,228
1050,304
1051,304
1052,304
1053,304
1054,304
1055,297
1056,304
1057,130
1058,254
1059,254
1060,297
1061,297
1062,254
1063,294
1064,180
1065,180
1066,304
1067,318
1068,254
1069,299
1070,304
1071,304
1072,216
1073,311
1074,94
1075,331
1076,303
1077,307
1078,81
1079,254
1080,294
1081,303
1082,254
1083,254
1084,254
1085,254
1086,234
1087,254
1088,303
1089,311
1090,298
1091,254
1092,254
1093,294
1094,254
1095,254
1096,277
1097,311
1098,190
1099,254
1100,303
1101,303
1102,254
1103,160
1104,282
1105,254
1106,254
1107,49
1108,181
1109,254
1110,234
1111,234
1112,311
1113,81
1114,28
1115,49
1116,250
1117,277
1118,234
1119,254
1120,160
1121,193
1122,329
1123,294
1124,112
1125,190
1126,229
1127,331
1128,190
1129,329
1130,193
1131,229
1132,193
1133,277
1134,229
1135,229
1136,94
1137,311
1138,94
1139,229
1140,217
1141,311
1142,294
1143,190
1144,277
1145,329
1146,229
1147,190
1148,160
1149,190
1150,160
1151,229
1152,229
1153,229
1154,229
1155,193
1156,331
1157,229
1158,331
1159,112
1160,229
1161,277
1162,190
1163,229
1164,193
1165,230
1166,112
1167,294
1168,160
1169,297
1170,229
1171,229
1172,112
1173,217
1174,229
1175,193
1176,311
1177,311
1178,297
1179,94
1180,193
1181,190
1182,229
1183,160
1184,221
1185,303
1186,263
1187,263
1188,253
1189,243
1190,221
1191,297
1192,193
1193,301
1194,205
1195,243
1196,303
1197,221
1198,253
1199,61
1200,303
1201,205
1202,243
1203,329
1204,193
1205,329
1206,243
1207,297
1208,221
1209,303
1210,303
1211,243
1212,61
1213,301
1214,221
1215,193
1216,329
1217,193
1218,230
1219,303
1220,243
1221,301
1222,253
1223,221
1224,297
1225,108
1226,329
1227,297
1228,297
1229,221
1230,243
1231,221
1232,298
1233,303
1234,193
1235,199
1236,124
1237,243
1238,221
1239,7
1240,221
1241,264
1242,303
1243,303
1244,193
1245,303
1246,329
1247,264
1248,317
1249,82
1250,199
1251,299
1252,199
1253,199
1254,253
1255,199
1256,199
1257,317
1258,199
1259,317
1260,264
1261,317
1262,317
1263,199
1264,264
1265,317
1266,317
1267,253
1268,264
1269,264
1270,299
1271,199
1272,317
1273,238
1274,264
1275,264
1276,263
1277,82
1278,199
1279,317
1280,299
1281,199
1282,329
1283,264
1284,199
1285,264
1286,264
1287,199
1288,317
1289,199
1290,199
1291,199
1292,199
1293,263
1294,317
1295,264
1296,317
1297,275
1298,264
1299,317
1300,317
1301,317
1302,82
1303,225
1304,82
1305,264
1306,301
1307,317
1308,299
1309,199
1310,199
1311,263
1312,253
1313,237
1314,253
1315,253
1316,237
1317,253
1318,329
1319,253
1320,253
1321,237
1322,237
1323,237
1324,329
1325,264
1326,251
1327,237
1328,237
1329,329
1330,253
1331,251
1332,253
1333,253
1334,307
1335,251
1336,253
1337,253
1338,237
1339,253
1340,251
1341,251
1342,251
1343,253
1344,253
1345,251
1346,237
1347,253
1348,253
1349,251
1350,253
1351,253
1352,253
1353,253
1354,253
1355,278
1356,253
1357,331
1358,237
1359,237
1360,308
1361,308
1362,331
1363,331
1364,331
1365,331
1366,331
1367,35
1368,308
1369,308
1370,308
1371,331
1372,308
1373,308
1374,308
1375,308
1376,200
1377,331
1378,308
1379,308
1380,308
1381,308
1382,331
1383,331
1384,331
1385,308
1386,331
1387,331
1388,308
1389,308
1390,308
1391,331
1392,253
1393,253
1394,239
1395,253
1396,253
1397,253
1398,253
1399,253
1400,204
1401,253
1402,253
1403,253
1404,253
1405,253
1406,253
1407,253
1408,247
1409,247
1410,247
1411,247
1412,247
1413,255
1414,247
1415,255
1416,4
1417,247
1418,255
1419,239
1420,247
1421,247
1422,255
1423,247
1424,323
1425,69
1426,252
1427,69
1428,69
1429,323
1430,323
1431,69
1432,247
1433,146
1434,247
1435,319
1436,247
1437,247
1438,247
1439,323
1440,153
1441,232
1442,232
1443,153
1444,232
1445,319
1446,232
1447,319
1448,232
1449,321
1450,232
1451,232
1452,232
1453,153
1454,80
1455,153
1456,311
1457,252
1458,311
1459,252
1460,252
1461,252
1462,252
1463,311
1464,252
1465,318
1466,252
1467,117
1468,62
1469,252
1470,252
1471,252
1472,117
1473,117
1474,282
1475,294
1476,252
1477,294
1478,311
1479,311
1480,282
1481,117
1482,252
1483,117
1484,252
1485,252
1486,117
1487,252
1488,318
1489,141
1490,141
1491,141
1492,141
1493,318
1494,120
1495,318
1496,120
1497,141
1498,331
1499,145
1500,318
1501,120
1502,141
1503,318
1504,141
1505,318
1506,311
1507,318
1508,141
1509,318
1510,318
1511,141
1512,151
1513,318
1514,318
1515,160
1516,120
1517,120
1518,141
1519,141
1520,331
1521,228
1522,307
1523,120
1524,120
1525,145
1526,141
1527,318
1528,141
1529,318
1530,318
1531,120
1532,318
1533,145
1534,141
1535,141
1536,265
1537,331
1538,263
1539,205
1540,331
1541,256
1542,205
1543,205
1544,256
1545,95
1546,331
1547,298
1548,234
1549,298
1550,331
1551,265
1552,298
1553,298
1554,287
1555,205
1556,263
1557,263
1558,206
1559,331
1560,331
1561,205
1562,331
1563,331
1564,298
1565,282
1566,298
1567,265
1568,1
1569,331
1570,263
1571,205
1572,331
1573,298
1574,205
1575,298
1576,234
1577,331
1578,329
1579,256
1580,234
1581,298
1582,331
1583,331
1584,265
1585,297
1586,219
1587,263
1588,331
1589,297
1590,205
1591,297
1592,205
1593,219
1594,282
1595,95
1596,260
1597,263
1598,265
1599,265
1600,297
1601,263
1602,202
1603,282
1604,331
1605,329
1606,242
1607,193
1608,297
1609,156
1610,263
1611,297
1612,242
1613,329
1614,243
1615,242
1616,282
1617,282
1618,202
1619,263
1620,282
1621,242
1622,331
1623,282
1624,329
1625,297
1626,297
1627,156
1628,202
1629,242
1630,129
1631,221
1632,263
1633,156
1634,202
1635,236
1636,331
1637,77
1638,242
1639,329
1640,129
1641,297
1642,243
1643,205
1644,329
1645,55
1646,282
1647,243
1648,242
1649,129
1650,297
1651,329
1652,282
1653,242
1654,95
1655,205
1656,242
1657,173
1658,331
1659,297
1660,331
1661,331
1662,329
1663,329
1664,297
1665,202
1666,202
1667,242
1668,156
1669,331
1670,282
1671,282
1672,77
1673,264
1674,129
1675,282
1676,282
1677,329
1678,156
1679,243
1680,329
1681,236
1682,329
1683,329
1684,275
1685,264
1686,282
1687,173
1688,282
1689,331
1690,253
1691,329
1692,317
1693,329
1694,264
1695,331
1696,236
1697,238
1698,329
1699,264
1700,331
1701,331
1702,264
1703,264
1704,329
1705,242
1706,264
1707,236
1708,263
1709,264
1710,263
1711,329
1712,40
1713,329
1714,264
1715,329
1716,329
1717,282
1718,331
1719,331
1720,221
1721,329
1722,331
1723,253
1724,329
1725,221
1726,264
1727,173
1728,329
1729,263
1730,329
1731,275
1732,173
1733,236
1734,236
1735,331
1736,236
1737,331
1738,297
1739,264
1740,329
1741,238
1742,329
1743,264
1744,331
1745,331
1746,331
1747,292
1748,331
1749,331
1750,105
1751,297
1752,292
1753,292
1754,331
1755,297
1756,331
1757,253
1758,292
1759,278
1760,331
1761,292
1762,331
1763,331
1764,233
1765,331
1766,331
1767,253
1768,297
1769,292
1770,331
1771,105
1772,297
1773,292
1774,200
1775,253
1776,233
1777,331
1778,292
1779,264
1780,292
1781,297
1782,331
1783,331
1784,278
1785,331
1786,331
1787,331
1788,331
1789,331
1790,331
1791,5
1792,200
1793,200
1794,200
1795,331
1796,200
1797,200
1798,200
1799,331
1800,331
1801,307
1802,331
1803,331
1804,292
1805,307
1806,200
1807,329
1808,200
1809,307
1810,331
1811,331
1812,329
1813,331
1814,200
1815,200
1816,331
1817,307
1818,331
1819,200
1820,200
1821,200
1822,307
1823,331
1824,308
1825,233
1826,253
1827,233
1828,233
1829,253
1830,233
1831,233
1832,233
1833,233
1834,331
1835,308
1836,233
1837,233
1838,233
1839,233
1840,255
1841,253
1842,255
1843,255
1844,255
1845,255
1846,272
1847,255
1848,255
1849,255
1850,272
1851,255
1852,253
1853,255
1854,255
1855,253
1856,319
1857,319
1858,323
1859,319
1860,323
1861,57
1862,321
1863,323
1864,319
1865,57
1866,323
1867,319
1868,319
1869,57
1870,323
1871,319
1872,321
1873,321
1874,321
1875,51
1876,321
1877,179
1878,179
1879,321
1880,64
1881,64
1882,321
1883,321
1884,321
1885,179
1886,321
1887,321
1888,281
1889,331
1890,311
1891,141
1892,311
1893,321
1894,295
1895,256
1896,321
1897,321
1898,281
1899,281
1900,256
1901,311
1902,281
1903,256
1904,321
1905,141
1906,256
1907,141
1908,256
1909,318
1910,281
1911,141
1912,281
1913,311
1914,331
1915,281
1916,256
1917,141
1918,141
1919,281
1920,294
1921,294
1922,282
1923,256
1924,294
1925,282
1926,321
1927,294
1928,331
1929,282
1930,282
1931,321
1932,294
1933,256
1934,294
1935,321
1936,282
1937,282
1938,331
1939,167
1940,331
1941,93
1942,331
1943,294
1944,256
1945,256
1946,321
1947,256
1948,331
1949,256
1950,331
1951,256
1952,331
1953,282
1954,256
1955,294
1956,294
1957,256
1958,282
1959,321
1960,331
1961,331
1962,282
1963,44
1964,282
1965,223
1966,282
1967,44
1968,223
1969,318
1970,318
1971,331
1972,223
1973,223
1974,293
1975,318
1976,318
1977,297
1978,297
1979,223
1980,331
1981,318
1982,318
1983,223
1984,223
1985,318
1986,293
1987,318
1988,223
1989,318
1990,318
1991,287
1992,297
1993,297
1994,318
1995,223
1996,297
1997,318
1998,223
1999,293
2000,223
2001,282
2002,87
2003,223
2004,318
2005,223
2006,282
2007,331
2008,318
2009,318
2010,318
2011,331
2012,264
2013,223
2014,297
2015,242
2016,297
2017,318
2018,318
2019,32
2020,318
2021,318
2022,318
2023,318
2024,318
2025,223
2026,318
2027,282
2028,318
2029,223
2030,297
2031,228
2032,322
2033,331
2034,331
2035,6
2036,205
2037,287
2038,331
2039,331
2040,329
2041,331
2042,331
2043,331
2044,331
2045,212
2046,297
2047,331
2048,329
2049,331
2050,331
2051,297
2052,331
2053,331
2054,331
2055,331
2056,135
2057,331
2058,331
2059,318
2060,256
2061,212
2062,329
2063,322
2064,287
2065,271
2066,331
2067,282
2068,331
2069,258
2070,331
2071,331
2072,331
2073,331
2074,331
2075,331
2076,197
2077,331
2078,248
2079,11
2080,331
2081,107
2082,197
2083,331
2084,317
2085,107
2086,331
2087,331
2088,212
2089,331
2090,248
2091,322
2092,271
2093,329
2094,331
2095,329
2096,220
2097,331
2098,258
2099,248
2100,220
2101,220
2102,242
2103,234
2104,242
2105,264
2106,248
2107,220
2108,287
2109,248
2110,248
2111,220
2112,282
2113,220
2114,220
2115,220
2116,220
2117,202
2118,220
2119,331
2120,297
2121,282
2122,287
2123,248
2124,248
2125,329
2126,248
2127,248
2128,220
2129,248
2130,287
2131,220
2132,220
2133,248
2134,287
2135,329
2136,248
2137,248
2138,242
2139,220
2140,282
2141,220
2142,248
2143,248
2144,202
2145,220
2146,248
2147,220
2148,282
2149,220
2150,47
2151,238
2152,220
2153,220
2154,329
2155,248
2156,220
2157,234
2158,297
2159,118
2160,212
2161,331
2162,163
2163,163
2164,163
2165,220
2166,329
2167,331
2168,329
2169,331
2170,238
2171,293
2172,331
2173,220
2174,238
2175,212
2176,329
2177,329
2178,331
2179,174
2180,238
2181,331
2182,331
2183,329
2184,163
2185,174
2186,331
2187,331
2188,329
2189,278
2190,163
2191,220
2192,238
2193,331
2194,163
2195,331
2196,331
2197,174
2198,174
2199,319
2200,331
2201,331
2202,238
2203,238
2204,174
2205,331
2206,238
2207,329
2208,127
2209,319
2210,319
2211,319
2212,329
2213,127
2214,278
2215,329
2216,257
2217,127
2218,278
2219,278
2220,224
2221,278
2222,163
2223,163
2224,319
2225,144
2226,278
2227,163
2228,163
2229,278
2230,278
2231,329
2232,278
2233,278
2234,127
2235,278
2236,319
2237,329
2238,319
2239,331
2240,297
2241,272
2242,183
2243,99
2244,297
2245,297
2246,272
2247,183
2248,272
2249,99
2250,272
2251,297
2252,272
2253,99
2254,183
2255,183
2256,272
2257,272
2258,272
2259,272
2260,272
2261,313
2262,313
2263,313
2264,272
2265,272
2266,272
2267,121
2268,272
2269,313
2270,0
2271,313
2272,306
2273,321
2274,306
2275,306
2276,319
2277,306
2278,319
2279,319
2280,306
2281,319
2282,319
2283,313
2284,319
2285,306
2286,306
2287,319
2288,321
2289,321
2290,331
2291,314
2292,321
2293,321
2294,321
2295,314
2296,319
2297,305
2298,305
2299,321
2300,321
2301,321
2302,321
2303,321
2304,294
2305,321
2306,294
2307,241
2308,321
2309,321
2310,294
2311,321
2312,294
2313,321
2314,321
2315,321
2316,321
2317,321
2318,294
2319,294
2320,282
2321,321
2322,241
2323,222
2324,222
2325,294
2326,241
2327,241
2328,282
2329,294
2330,294
2331,321
2332,282
2333,294
2334,294
2335,294
2336,294
2337,294
2338,294
2339,294
2340,294
2341,318
2342,279
2343,83
2344,279
2345,326
2346,294
2347,294
2348,213
2349,152
2350,295
2351,294
2352,294
2353,295
2354,321
2355,256
2356,294
2357,293
2358,282
2359,294
2360,321
2361,294
2362,294
2363,294
2364,294
2365,279
2366,294
2367,282
2368,294
2369,213
2370,83
2371,282
2372,241
2373,279
2374,294
2375,106
2376,83
2377,294
2378,279
2379,279
2380,294
2381,324
2382,294
2383,295
2384,295
2385,279
2386,295
2387,279
2388,327
2389,186
2390,279
2391,321
2392,331
2393,284
2394,268
2395,318
2396,295
2397,256
2398,186
2399,295
2400,149
2401,295
2402,186
2403,268
2404,295
2405,279
2406,279
2407,331
2408,282
2409,279
2410,186
2411,186
2412,295
2413,287
2414,256
2415,268
