,species
0,215
1,349
2,349
3,346
4,349
5,349
6,349
7,346
8,253
9,346
10,346
11,349
12,346
13,131
14,346
15,349
16,313
17,253
18,2
19,313
20,313
21,313
22,296
23,313
24,313
25,313
26,313
27,313
28,313
29,2
30,313
31,253
32,344
33,226
34,344
35,67
36,313
37,344
38,344
39,344
40,344
41,344
42,344
43,344
44,313
45,344
46,344
47,344
48,233
49,233
50,233
51,233
52,233
53,233
54,233
55,233
56,233
57,196
58,233
59,233
60,233
61,196
62,233
63,233
64,163
65,300
66,272
67,300
68,300
69,300
70,300
71,300
72,313
73,52
74,300
75,300
76,300
77,272
78,300
79,3
80,239
81,237
82,239
83,239
84,328
85,74
86,74
87,239
88,239
89,328
90,328
91,239
92,239
93,328
94,313
95,328
96,239
97,281
98,281
99,281
100,281
101,281
102,148
103,54
104,148
105,281
106,281
107,239
108,239
109,281
110,281
111,281
112,69
113,69
114,106
115,69
116,281
117,139
118,237
119,69
120,69
121,106
122,97
123,97
124,97
125,106
126,106
127,139
128,102
129,207
130,207
131,102
132,330
133,285
134,102
135,285
136,102
137,207
138,285
139,171
140,207
141,207
142,207
143,102
144,89
145,335
146,89
147,89
148,89
149,89
150,89
151,89
152,85
153,44
154,85
155,89
156,89
157,179
158,207
159,85
160,85
161,156
162,156
163,207
164,95
165,41
166,156
167,49
168,156
169,156
170,156
171,95
172,41
173,207
174,207
175,207
176,211
177,34
178,131
179,211
180,211
181,92
182,211
183,131
184,211
185,192
186,92
187,211
188,211
189,211
190,192
191,131
192,226
193,211
194,226
195,226
196,61
197,192
198,19
199,226
200,76
201,61
202,226
203,226
204,226
205,254
206,226
207,15
208,121
209,121
210,20
211,121
212,121
213,115
214,20
215,121
216,20
217,121
218,121
219,121
220,121
221,121
222,121
223,121
224,196
225,196
226,313
227,196
228,313
229,196
230,313
231,196
232,313
233,196
234,196
235,40
236,313
237,196
238,196
239,196
240,196
241,196
242,142
243,196
244,196
245,196
246,63
247,196
248,51
249,196
250,142
251,196
252,90
253,111
254,196
255,33
256,190
257,323
258,313
259,163
260,103
261,163
262,163
263,163
264,103
265,163
266,313
267,265
268,163
269,51
270,163
271,4
272,165
273,158
274,165
275,165
276,165
277,165
278,303
279,6
280,239
281,165
282,158
283,165
284,213
285,103
286,239
287,165
288,303
289,281
290,165
291,171
292,303
293,303
294,171
295,303
296,165
297,303
298,99
299,303
300,303
301,303
302,303
303,281
304,179
305,179
306,179
307,179
308,77
309,179
310,179
311,171
312,171
313,171
314,77
315,179
316,179
317,179
318,179
319,179
320,171
321,140
322,140
323,171
324,171
325,171
326,171
327,171
328,171
329,140
330,171
331,44
332,171
333,171
334,16
335,192
336,192
337,188
338,188
339,192
340,258
341,251
342,258
343,192
344,192
345,188
346,124
347,188
348,184
349,124
350,71
351,71
352,48
353,124
354,184
355,48
356,167
357,192
358,48
359,184
360,192
361,192
362,192
363,184
364,216
365,167
366,192
367,48
368,349
369,349
370,192
371,192
372,192
373,254
374,349
375,188
376,81
377,349
378,153
379,153
380,153
381,349
382,188
383,153
384,191
385,233
386,254
387,177
388,191
389,82
390,349
391,82
392,82
393,254
394,349
395,191
396,349
397,88
398,254
399,82
400,254
401,195
402,46
403,254
404,82
405,254
406,191
407,46
408,349
409,211
410,82
411,349
412,313
413,211
414,191
415,195
416,82
417,115
418,115
419,128
420,121
421,115
422,121
423,115
424,115
425,223
426,223
427,313
428,115
429,128
430,269
431,115
432,115
433,31
434,223
435,313
436,115
437,115
438,115
439,115
440,121
441,115
442,115
443,115
444,233
445,115
446,115
447,128
448,91
449,164
450,164
451,268
452,164
453,348
454,265
455,191
456,38
457,91
458,164
459,265
460,348
461,141
462,141
463,141
464,305
465,265
466,268
467,164
468,268
469,149
470,141
471,323
472,164
473,191
474,141
475,91
476,268
477,164
478,164
479,91
480,323
481,323
482,348
483,323
484,348
485,290
486,323
487,323
488,323
489,158
490,42
491,323
492,323
493,323
494,290
495,323
496,290
497,185
498,290
499,323
500,323
501,185
502,290
503,290
504,323
505,290
506,185
507,323
508,323
509,196
510,323
511,290
512,270
513,182
514,116
515,182
516,270
517,182
518,235
519,235
520,323
521,235
522,47
523,270
524,190
525,47
526,235
527,47
528,116
529,47
530,116
531,47
532,190
533,235
534,73
535,270
536,73
537,290
538,73
539,116
540,235
541,116
542,235
543,270
544,303
545,303
546,118
547,270
548,7
549,303
550,8
551,303
552,303
553,303
554,303
555,118
556,118
557,270
558,303
559,303
560,118
561,303
562,174
563,118
564,118
565,303
566,118
567,8
568,118
569,303
570,118
571,303
572,303
573,303
574,303
575,303
576,325
577,303
578,303
579,303
580,303
581,200
582,303
583,303
584,303
585,303
586,199
587,303
588,303
589,303
590,303
591,303
592,104
593,0
594,303
595,303
596,171
597,303
598,303
599,303
600,303
601,303
602,303
603,303
604,303
605,303
606,303
607,303
608,184
609,171
610,184
611,184
612,258
613,184
614,184
615,184
616,184
617,184
618,184
619,258
620,184
621,184
622,184
623,184
624,28
625,303
626,251
627,188
628,251
629,251
630,188
631,251
632,251
633,251
634,251
635,303
636,188
637,251
638,251
639,167
640,251
641,251
642,251
643,167
644,167
645,251
646,251
647,251
648,167
649,167
650,167
651,167
652,251
653,251
654,251
655,251
656,124
657,124
658,124
659,128
660,128
661,124
662,124
663,177
664,124
665,124
666,48
667,124
668,124
669,173
670,177
671,124
672,329
673,307
674,329
675,263
676,263
677,243
678,50
679,254
680,329
681,263
682,329
683,233
684,263
685,254
686,329
687,329
688,329
689,124
690,329
691,329
692,307
693,254
694,329
695,307
696,50
697,254
698,329
699,5
700,329
701,254
702,124
703,243
704,329
705,269
706,269
707,254
708,305
709,290
710,254
711,223
712,268
713,305
714,269
715,305
716,305
717,305
718,269
719,268
720,269
721,269
722,268
723,290
724,329
725,254
726,305
727,56
728,56
729,269
730,268
731,294
732,254
733,305
734,294
735,56
736,305
737,30
738,269
739,305
740,268
741,56
742,254
743,254
744,290
745,305
746,305
747,181
748,265
749,269
750,268
751,254
752,91
753,181
754,115
755,149
756,181
757,223
758,191
759,317
760,115
761,149
762,143
763,149
764,149
765,267
766,55
767,149
768,308
769,191
770,316
771,143
772,149
773,181
774,149
775,191
776,223
777,290
778,223
779,149
780,68
781,181
782,143
783,223
784,290
785,149
786,68
787,149
788,149
789,149
790,181
791,223
792,223
793,149
794,223
795,191
796,223
797,149
798,149
799,316
800,348
801,98
802,348
803,223
804,242
805,109
806,348
807,348
808,223
809,79
810,223
811,307
812,98
813,279
814,223
815,242
816,242
817,242
818,242
819,162
820,79
821,10
822,242
823,162
824,98
825,79
826,242
827,276
828,135
829,135
830,348
831,348
832,276
833,242
834,348
835,93
836,316
837,98
838,348
839,43
840,316
841,242
842,348
843,98
844,242
845,181
846,242
847,223
848,37
849,212
850,151
851,325
852,280
853,325
854,280
855,270
856,14
857,270
858,325
859,348
860,29
861,294
862,37
863,197
864,280
865,151
866,325
867,325
868,280
869,303
870,273
871,348
872,294
873,303
874,303
875,303
876,280
877,325
878,280
879,325
880,280
881,303
882,270
883,304
884,280
885,151
886,325
887,37
888,294
889,304
890,57
891,308
892,280
893,212
894,308
895,280
896,151
897,270
898,151
899,151
900,200
901,303
902,270
903,270
904,200
905,270
906,273
907,200
908,200
909,200
910,221
911,280
912,273
913,303
914,270
915,303
916,151
917,280
918,270
919,200
920,273
921,273
922,303
923,200
924,151
925,325
926,270
927,151
928,270
929,221
930,303
931,151
932,221
933,317
934,270
935,273
936,303
937,208
938,280
939,273
940,208
941,270
942,200
943,280
944,325
945,133
946,133
947,325
948,1
949,208
950,208
951,127
952,325
953,183
954,325
955,133
956,127
957,303
958,133
959,325
960,325
961,325
962,270
963,304
964,325
965,325
966,183
967,325
968,304
969,325
970,208
971,183
972,133
973,325
974,325
975,133
976,258
977,277
978,202
979,202
980,202
981,202
982,277
983,202
984,202
985,202
986,202
987,325
988,304
989,202
990,325
991,202
992,184
993,184
994,184
995,277
996,216
997,303
998,75
999,75
1000,184
1001,303
1002,216
1003,303
1004,75
1005,277
1006,9
1007,184
1008,173
1009,124
1010,124
1011,173
1012,173
1013,301
1014,124
1015,124
1016,275
1017,275
1018,275
1019,161
1020,275
1021,275
1022,32
1023,173
1024,275
1025,332
1026,275
1027,332
1028,298
1029,254
1030,275
1031,298
1032,332
1033,332
1034,332
1035,275
1036,332
1037,275
1038,233
1039,332
1040,329
1041,138
1042,254
1043,210
1044,254
1045,263
1046,263
1047,254
1048,254
1049,138
1050,254
1051,263
1052,138
1053,159
1054,138
1055,263
1056,138
1057,254
1058,263
1059,138
1060,263
1061,138
1062,138
1063,243
1064,254
1065,254
1066,138
1067,254
1068,263
1069,210
1070,333
1071,138
1072,329
1073,325
1074,263
1075,223
1076,263
1077,259
1078,252
1079,263
1080,290
1081,259
1082,172
1083,254
1084,13
1085,294
1086,290
1087,113
1088,254
1089,329
1090,252
1091,259
1092,263
1093,290
1094,252
1095,27
1096,325
1097,27
1098,263
1099,329
1100,259
1101,290
1102,259
1103,172
1104,263
1105,113
1106,252
1107,27
1108,172
1109,115
1110,113
1111,113
1112,259
1113,252
1114,113
1115,329
1116,18
1117,325
1118,290
1119,259
1120,307
1121,254
1122,308
1123,181
1124,308
1125,307
1126,181
1127,279
1128,212
1129,181
1130,316
1131,307
1132,307
1133,316
1134,325
1135,294
1136,181
1137,294
1138,308
1139,181
1140,325
1141,304
1142,307
1143,316
1144,181
1145,316
1146,181
1147,181
1148,308
1149,308
1150,325
1151,290
1152,308
1153,181
1154,181
1155,294
1156,181
1157,181
1158,316
1159,294
1160,316
1161,325
1162,308
1163,316
1164,325
1165,325
1166,308
1167,181
1168,308
1169,294
1170,107
1171,181
1172,316
1173,181
1174,308
1175,294
1176,181
1177,325
1178,307
1179,308
1180,325
1181,181
1182,162
1183,181
1184,316
1185,308
1186,308
1187,294
1188,323
1189,17
1190,348
1191,322
1192,318
1193,304
1194,337
1195,316
1196,304
1197,304
1198,323
