,species
0,65
1,2
2,179
3,179
4,179
5,179
6,179
7,179
8,162
9,179
10,179
11,162
12,162
13,179
14,162
15,179
16,221
17,221
18,348
19,348
20,348
21,221
22,348
23,348
24,221
25,221
26,162
27,221
28,221
29,221
30,221
31,348
32,356
33,141
34,141
35,356
36,90
37,356
38,141
39,139
40,356
41,356
42,356
43,356
44,356
45,356
46,356
47,141
48,139
49,139
50,356
51,356
52,139
53,139
54,139
55,139
56,139
57,356
58,87
59,87
60,356
61,90
62,139
63,139
64,146
65,326
66,317
67,61
68,317
69,326
70,326
71,326
72,326
73,326
74,146
75,146
76,326
77,61
78,61
79,146
80,257
81,257
82,44
83,35
84,346
85,228
86,356
87,346
88,257
89,35
90,346
91,84
92,93
93,346
94,84
95,79
96,93
97,144
98,93
99,93
100,93
101,93
102,144
103,307
104,93
105,307
106,144
107,93
108,307
109,130
110,93
111,93
112,273
113,88
114,302
115,88
116,88
117,11
118,302
119,282
120,0
121,302
122,88
123,88
124,302
125,93
126,88
127,273
128,55
129,363
130,160
131,55
132,202
133,273
134,29
135,363
136,273
137,273
138,273
139,202
140,363
141,55
142,363
143,273
144,143
145,160
146,143
147,45
148,177
149,160
150,160
151,297
152,160
153,143
154,177
155,160
156,160
157,297
158,143
159,297
160,99
161,132
162,132
163,348
164,99
165,132
166,99
167,132
168,132
169,115
170,99
171,16
172,99
173,16
174,132
175,115
176,162
177,162
178,214
179,162
180,179
181,162
182,162
183,179
184,214
185,125
186,162
187,162
188,162
189,214
190,125
191,162
192,116
193,221
194,227
195,227
196,210
197,210
198,227
199,227
200,227
201,210
202,227
203,227
204,116
205,196
206,210
207,227
208,139
209,227
210,295
211,10
212,155
213,17
214,295
215,295
216,295
217,155
218,239
219,155
220,215
221,295
222,227
223,215
224,356
225,215
226,215
227,66
228,139
229,312
230,152
231,356
232,215
233,139
234,215
235,139
236,356
237,139
238,215
239,312
240,203
241,161
242,161
243,181
244,120
245,57
246,161
247,181
248,161
249,161
250,161
251,161
252,120
253,75
254,161
255,181
256,236
257,236
258,356
259,236
260,236
261,236
262,120
263,356
264,356
265,236
266,356
267,356
268,120
269,356
270,356
271,236
272,302
273,121
274,360
275,121
276,121
277,93
278,121
279,302
280,302
281,302
282,222
283,302
284,121
285,79
286,88
287,121
288,263
289,263
290,307
291,263
292,176
293,307
294,263
295,27
296,263
297,27
298,27
299,176
300,263
301,263
302,263
303,263
304,297
305,297
306,160
307,297
308,273
309,297
310,160
311,30
312,297
313,55
314,297
315,297
316,297
317,160
318,160
319,160
320,242
321,214
322,170
323,214
324,177
325,242
326,214
327,242
328,242
329,177
330,242
331,29
332,150
333,242
334,163
335,297
336,219
337,256
338,219
339,256
340,256
341,99
342,219
343,297
344,219
345,219
346,43
347,256
348,256
349,219
350,99
351,256
352,239
353,297
354,297
355,297
356,297
357,297
358,297
359,239
360,297
361,297
362,239
363,72
364,297
365,297
366,72
367,72
368,239
369,239
370,239
371,240
372,240
373,239
374,240
375,240
376,240
377,240
378,239
379,240
380,239
381,240
382,239
383,239
384,183
385,183
386,215
387,183
388,155
389,235
390,215
391,215
392,155
393,155
394,235
395,123
396,183
397,183
398,53
399,53
400,183
401,53
402,131
403,155
404,131
405,235
406,155
407,123
408,155
409,155
410,194
411,53
412,215
413,215
414,53
415,235
416,26
417,215
418,215
419,326
420,215
421,215
422,215
423,215
424,215
425,294
426,194
427,295
428,326
429,25
430,326
431,326
432,215
433,215
434,215
435,215
436,215
437,173
438,326
439,288
440,326
441,215
442,326
443,326
444,215
445,215
446,215
447,25
448,122
449,290
450,215
451,290
452,122
453,290
454,290
455,215
456,290
457,223
458,312
459,312
460,215
461,294
462,312
463,312
464,312
465,290
466,290
467,215
468,215
469,290
470,290
471,215
472,312
473,122
474,290
475,122
476,122
477,301
478,290
479,290
480,212
481,294
482,360
483,215
484,360
485,222
486,215
487,294
488,226
489,312
490,226
491,215
492,226
493,294
494,360
495,215
496,222
497,215
498,215
499,365
500,226
501,226
502,365
503,294
504,360
505,360
506,365
507,294
508,360
509,226
510,360
511,226
512,302
513,302
514,156
515,156
516,156
517,226
518,302
519,250
520,257
521,257
522,175
523,302
524,257
525,302
526,250
527,98
528,302
529,156
530,257
531,156
532,302
533,226
534,302
535,302
536,250
537,156
538,360
539,62
540,302
541,250
542,226
543,302
544,297
545,102
546,297
547,302
548,302
549,232
550,188
551,302
552,297
553,297
554,102
555,232
556,232
557,102
558,302
559,262
560,232
561,158
562,112
563,112
564,102
565,112
566,262
567,307
568,232
569,158
570,365
571,302
572,365
573,262
574,262
575,302
576,250
577,242
578,170
579,250
580,185
581,170
582,307
583,307
584,250
585,242
586,250
587,307
588,170
589,170
590,307
591,52
592,52
593,250
594,250
595,250
596,307
597,250
598,185
599,242
600,150
601,307
602,250
603,307
604,307
605,185
