,species
0,6
1,303
2,303
3,303
4,76
5,92
6,338
7,57
8,92
9,303
10,55
11,92
12,338
13,92
14,108
15,303
16,97
17,97
18,300
19,303
20,227
21,227
22,97
23,300
24,303
25,300
26,227
27,227
28,227
29,227
30,97
31,97
32,56
33,357
34,357
35,242
36,56
37,242
38,357
39,300
40,242
41,56
42,300
43,357
44,56
45,242
46,242
47,242
48,119
49,141
50,157
51,157
52,157
53,157
54,157
55,141
56,119
57,242
58,157
59,242
60,119
61,157
62,157
63,43
64,230
65,341
66,341
67,371
68,133
69,133
70,341
71,362
72,371
73,133
74,133
75,371
76,341
77,341
78,133
79,341
80,192
81,192
82,192
83,192
84,371
85,371
86,121
87,371
88,121
89,192
90,60
91,60
92,371
93,192
94,192
95,121
96,361
97,88
98,106
99,122
100,122
101,106
102,12
103,122
104,36
105,36
106,36
107,122
108,122
109,161
110,122
111,122
112,279
113,88
114,72
115,279
116,363
117,279
118,279
119,361
120,88
121,88
122,72
123,361
124,361
125,88
126,88
127,28
128,31
129,64
130,256
131,182
132,182
133,265
134,182
135,64
136,182
137,182
138,363
139,265
140,256
141,256
142,363
143,256
144,338
145,200
146,328
147,139
148,338
149,139
150,328
151,200
152,328
153,256
154,13
155,59
156,366
157,182
158,139
159,338
160,328
161,296
162,296
163,328
164,296
165,296
166,296
167,319
168,296
169,328
170,296
171,296
172,319
173,296
174,296
175,328
176,169
177,169
178,169
179,169
180,296
181,169
182,169
183,296
184,169
185,296
186,169
187,169
188,169
189,169
190,296
191,169
192,357
193,303
194,239
195,303
196,204
197,303
198,180
199,239
200,180
201,357
202,204
203,357
204,357
205,180
206,303
207,173
208,155
209,168
210,155
211,99
212,99
213,155
214,155
215,155
216,155
217,155
218,52
219,155
220,155
221,99
222,155
223,155
224,237
225,114
226,107
227,107
228,195
229,309
230,114
231,289
232,309
233,237
234,309
235,242
236,114
237,107
238,237
239,114
240,117
241,117
242,74
243,281
244,117
245,230
246,117
247,230
248,117
249,281
250,117
251,230
252,230
253,309
254,117
255,281
256,73
257,158
258,51
259,73
260,158
261,73
262,281
263,105
264,230
265,73
266,51
267,73
268,73
269,230
270,230
271,51
272,271
273,27
274,271
275,271
276,271
277,271
278,271
279,271
280,271
281,271
282,271
283,271
284,271
285,271
286,310
287,271
288,148
289,159
290,148
291,148
292,229
293,159
294,215
295,19
296,159
297,159
298,148
299,148
300,229
301,148
302,229
303,159
304,100
305,179
306,179
307,179
308,182
309,298
310,179
311,100
312,182
313,88
314,179
315,179
316,179
317,179
318,44
319,29
320,257
321,265
322,265
323,265
324,200
325,265
326,265
327,265
328,256
329,265
330,265
331,265
332,265
333,265
334,8
335,265
336,338
337,257
338,338
339,338
340,311
341,338
342,311
343,311
344,311
345,257
346,3
347,257
348,311
349,338
350,311
351,9
352,155
353,152
354,130
355,299
356,130
357,299
358,293
359,130
360,130
361,152
362,152
363,299
364,130
365,130
366,239
367,155
368,155
369,155
370,224
371,289
372,214
373,201
374,39
375,201
376,39
377,39
378,201
379,152
380,201
381,201
382,201
383,289
384,322
385,156
386,268
387,156
388,180
389,156
390,268
391,173
392,268
393,281
394,173
395,173
396,281
397,173
398,173
399,204
400,173
401,172
402,180
403,66
404,173
405,173
406,195
407,173
408,173
409,180
410,156
411,180
412,173
413,156
414,204
415,172
416,281
417,263
418,281
419,155
420,50
421,263
422,234
423,126
424,234
425,234
426,234
427,168
428,234
429,289
430,234
431,263
432,126
433,234
434,155
435,281
436,281
437,263
438,234
439,263
440,168
441,204
442,234
443,234
444,234
445,50
446,263
447,263
448,263
449,164
450,236
451,287
452,263
453,236
454,263
455,327
456,327
457,263
458,287
459,41
460,290
461,109
462,164
463,236
464,287
465,263
466,290
467,236
468,290
469,263
470,164
471,109
472,327
473,236
474,109
475,327
476,236
477,40
478,164
479,164
480,202
481,290
482,310
483,237
484,271
485,290
486,202
487,237
488,290
489,300
490,237
491,310
492,290
493,290
494,290
495,237
496,290
497,310
498,202
499,128
500,91
501,290
502,290
503,237
504,73
505,128
506,310
507,290
508,237
509,310
510,131
511,310
512,226
513,254
514,257
515,221
516,187
517,221
518,254
519,187
520,221
521,254
522,221
523,221
524,95
525,166
526,187
527,274
528,254
529,187
530,42
531,221
532,221
533,95
534,166
535,187
536,306
537,221
538,166
539,254
540,221
541,221
542,221
543,327
544,274
545,253
546,368
547,274
548,49
549,253
550,274
551,274
552,179
553,253
554,21
555,274
556,253
557,274
558,274
559,253
560,179
561,226
562,274
563,179
564,253
565,274
566,21
567,274
568,274
569,274
570,274
571,274
572,226
573,179
574,81
575,274
576,65
577,215
578,298
579,215
580,37
581,143
582,256
583,298
584,256
585,256
586,215
587,298
588,298
589,215
590,316
591,316
592,215
593,215
594,179
595,256
596,102
597,279
598,102
599,100
600,102
601,298
602,256
603,102
604,102
605,298
606,102
607,298
608,311
609,311
610,257
611,257
612,311
613,311
614,257
615,257
616,257
617,257
618,311
619,23
620,257
621,257
622,197
623,5
624,299
625,299
626,299
627,299
628,299
629,299
630,299
631,299
632,299
633,299
634,338
635,299
636,15
637,299
638,299
639,299
640,302
641,299
642,299
643,338
644,197
645,293
646,111
647,283
648,299
649,197
650,293
651,111
652,197
653,197
654,293
655,299
656,293
657,293
658,293
659,232
660,172
661,293
662,293
663,232
664,293
665,293
666,151
667,232
668,293
669,293
670,293
671,232
672,289
673,322
674,289
675,281
676,289
677,180
678,281
679,293
680,151
681,275
682,300
683,322
684,289
685,281
686,180
687,289
688,289
689,281
690,289
691,289
692,322
693,322
694,289
695,322
696,289
697,293
698,293
699,300
700,126
701,289
702,322
703,289
704,263
705,126
706,62
707,156
708,314
709,322
710,126
711,321
712,321
713,156
714,281
715,281
716,292
717,322
718,281
719,281
720,321
721,281
722,172
723,156
724,281
725,292
726,236
727,281
728,281
729,281
730,281
731,321
732,190
733,322
734,281
735,172
736,172
737,190
738,281
739,281
740,263
741,281
742,190
743,172
744,263
745,190
746,281
747,172
748,281
749,281
750,281
751,292
752,147
753,306
754,236
755,322
756,290
757,306
758,236
759,236
760,236
761,96
762,103
763,306
764,96
765,236
766,247
767,222
768,138
769,236
770,300
771,257
772,281
773,300
774,147
775,236
776,103
777,7
778,290
779,131
780,322
781,314
782,236
783,103
784,247
785,131
786,314
787,236
788,138
789,322
790,236
791,236
792,103
793,300
794,314
795,236
796,257
797,236
798,236
799,314
800,306
801,348
