,species
0,249
1,226
2,84
3,249
4,249
5,38
6,257
7,257
8,249
9,249
10,249
11,257
12,38
13,249
14,129
15,249
16,249
17,249
18,86
19,159
20,0
21,86
22,86
23,249
24,226
25,86
26,226
27,86
28,249
29,302
30,159
31,302
32,177
33,177
34,129
35,129
36,129
37,129
38,177
39,177
40,129
41,148
42,148
43,177
44,393
45,148
46,52
47,177
48,247
49,354
50,231
51,354
52,80
53,293
54,231
55,231
56,231
57,231
58,247
59,354
60,231
61,231
62,231
63,231
64,6
65,137
66,196
67,137
68,354
69,247
70,119
71,196
72,196
73,247
74,137
75,196
76,119
77,137
78,386
79,137
80,196
81,137
82,119
83,137
84,196
85,63
86,150
87,137
88,7
89,150
90,18
91,119
92,150
93,119
94,137
95,137
96,10
97,190
98,190
99,190
100,277
101,4
102,190
103,190
104,193
105,263
106,277
107,193
108,190
109,190
110,75
111,193
112,33
113,263
114,124
115,263
116,124
117,75
118,263
119,124
120,124
121,33
122,134
123,33
124,263
125,124
126,124
127,75
128,163
129,20
130,395
131,39
132,163
133,263
134,163
135,263
136,277
137,163
138,163
139,163
140,163
141,163
142,163
143,289
144,118
145,234
146,266
147,118
148,395
149,118
150,118
151,118
152,118
153,118
154,118
155,234
156,234
157,118
158,118
159,15
160,268
161,268
162,56
163,268
164,249
165,266
166,395
167,395
168,395
169,266
170,395
171,268
172,395
173,268
174,395
175,268
176,131
177,131
178,87
179,131
180,84
181,87
182,131
183,131
184,84
185,131
186,131
187,353
188,353
189,131
190,353
191,87
192,207
193,249
194,226
195,249
196,226
197,226
198,226
199,249
200,249
201,249
202,226
203,129
204,148
205,155
206,226
207,155
208,293
209,86
210,316
211,316
212,316
213,293
214,172
215,86
216,354
217,316
218,293
219,172
220,316
221,316
222,354
223,172
224,171
225,78
226,171
227,171
228,171
229,46
230,78
231,46
232,78
233,171
234,171
235,78
236,78
237,78
238,65
239,78
240,293
241,150
242,354
243,179
244,293
245,179
246,150
247,186
248,196
249,73
250,179
251,293
252,293
253,179
254,179
255,354
256,196
257,196
258,193
259,196
260,196
261,196
262,196
263,193
264,193
265,196
266,193
267,196
268,196
269,196
270,196
271,196
272,209
273,95
274,209
275,124
276,124
277,44
278,209
279,288
280,124
281,130
282,209
283,209
284,209
285,209
286,209
287,130
288,357
289,277
290,277
291,209
292,51
293,277
294,74
295,277
296,277
297,277
298,263
299,51
300,209
301,279
302,263
303,74
304,256
305,263
306,39
307,263
308,105
309,263
310,105
311,233
312,263
313,263
314,263
315,105
316,263
317,263
318,263
319,263
320,263
321,143
322,289
323,289
324,321
325,289
326,289
327,289
328,289
329,289
330,143
331,143
332,289
333,215
334,263
335,395
336,192
337,143
338,143
339,192
340,192
341,143
342,192
343,143
344,353
345,192
346,192
347,143
348,64
349,143
350,143
351,143
352,310
353,310
354,310
355,353
356,353
357,367
358,310
359,310
360,25
361,192
362,353
363,367
364,310
365,353
366,164
367,310
368,184
369,110
370,110
371,62
372,189
373,206
374,189
375,184
376,189
377,184
378,184
379,189
380,206
381,353
382,110
383,189
384,347
385,347
386,217
387,206
388,293
389,347
390,293
391,153
392,347
393,206
394,293
395,347
396,188
397,347
398,347
399,347
400,188
401,153
402,153
403,188
404,188
405,347
406,188
407,188
408,153
409,219
410,188
411,347
412,347
413,206
414,347
415,188
416,293
417,293
418,294
419,49
420,49
421,49
422,218
423,198
424,293
425,294
426,293
427,293
428,40
429,198
430,40
431,293
432,40
433,293
434,40
435,294
436,55
437,40
438,218
439,293
440,40
441,293
442,293
443,293
444,217
445,293
446,198
447,40
448,375
449,198
450,165
451,73
452,375
453,375
454,375
455,65
456,375
457,165
458,165
459,104
460,375
461,218
462,375
463,73
464,375
465,375
466,375
467,165
468,165
469,165
470,375
471,375
472,165
473,183
474,165
475,104
476,198
477,165
478,375
479,375
480,285
481,229
482,229
483,285
484,93
485,285
486,285
487,204
488,70
489,204
490,229
491,285
492,285
493,204
494,229
495,93
496,285
497,229
498,82
499,285
500,229
501,247
502,229
503,68
504,285
505,34
506,285
507,285
508,229
509,285
510,247
511,204
512,357
513,261
514,261
515,261
516,357
517,261
518,357
519,204
520,357
521,357
522,47
523,261
524,357
525,357
526,357
527,357
528,357
529,357
530,357
531,357
532,357
533,261
534,357
535,357
536,261
537,45
538,247
539,357
540,261
541,357
542,357
543,45
544,340
545,340
546,320
547,357
548,279
549,340
550,279
551,340
552,279
553,340
554,229
555,233
556,229
557,5
558,279
559,271
560,340
561,233
562,233
563,125
564,340
565,340
566,320
567,340
568,357
569,340
570,340
571,125
572,271
573,279
574,340
575,279
576,191
577,279
578,259
579,59
580,259
581,191
582,215
