,species
0,233
1,233
2,233
3,233
4,233
5,233
6,1
7,233
8,233
9,233
10,233
11,358
12,233
13,233
14,233
15,233
16,204
17,35
18,204
19,165
20,229
21,165
22,204
23,300
24,300
25,233
26,35
27,165
28,229
29,229
30,229
31,204
32,332
33,114
34,114
35,114
36,114
37,37
38,97
39,114
40,37
41,114
42,321
43,114
44,332
45,321
46,332
47,114
48,273
49,97
50,321
51,321
52,273
53,97
54,273
55,335
56,335
57,97
58,129
59,321
60,321
61,129
62,335
63,97
64,321
65,365
66,305
67,365
68,302
69,321
70,305
71,109
72,109
73,305
74,109
75,8
76,302
77,305
78,321
79,109
80,365
81,365
82,365
83,365
84,365
85,365
86,305
87,365
88,365
89,365
90,109
91,365
92,365
93,365
94,365
95,365
96,354
97,46
98,127
99,127
100,46
101,17
102,127
103,354
104,173
105,46
106,46
107,13
108,173
109,354
110,354
111,55
112,173
113,118
114,88
115,102
116,118
117,354
118,118
119,354
120,102
121,102
122,118
123,173
124,102
125,118
126,118
127,354
128,128
129,5
130,128
131,172
132,172
133,189
134,189
135,128
136,189
137,213
138,172
139,172
140,189
141,153
142,261
143,128
144,22
145,150
146,150
147,150
148,150
149,150
150,27
151,27
152,27
153,150
154,22
155,150
156,27
157,150
158,126
159,150
160,358
161,140
162,170
163,105
164,33
165,170
166,358
167,170
168,33
169,170
170,223
171,105
172,33
173,150
174,150
175,105
176,233
177,203
178,307
179,307
180,307
181,307
182,307
183,307
184,233
185,203
186,233
187,233
188,307
189,6
190,111
191,233
192,307
193,51
194,226
195,171
196,226
197,51
198,171
199,226
200,49
201,51
202,300
203,226
204,171
205,49
206,226
207,226
208,114
209,114
210,107
211,226
212,4
213,49
214,114
215,226
216,226
217,114
218,226
219,107
220,226
221,114
222,107
223,107
224,166
225,204
226,268
227,204
228,191
229,59
230,204
231,305
232,166
233,97
234,204
235,268
236,166
237,268
238,191
239,305
240,94
241,94
242,94
243,94
244,61
245,94
246,94
247,302
248,302
249,61
250,302
251,94
252,94
253,94
254,94
255,94
256,291
257,291
258,285
259,291
260,94
261,291
262,291
263,291
264,291
265,291
266,291
267,291
268,291
269,291
270,291
271,285
272,184
273,208
274,127
275,208
276,208
277,184
278,184
279,184
280,302
281,184
282,208
283,208
284,184
285,208
286,208
287,184
288,53
289,261
290,261
291,242
292,82
293,242
294,127
295,179
296,127
297,53
298,128
299,242
300,242
301,261
302,127
303,242
304,213
305,242
306,134
307,134
308,134
309,134
310,213
311,213
312,134
313,82
314,134
315,128
316,213
317,128
318,134
319,276
320,157
321,223
322,223
323,192
324,223
325,242
326,242
327,157
328,22
329,223
330,192
331,192
332,192
333,223
334,192
335,192
336,276
337,300
338,300
339,201
340,300
341,201
342,300
343,300
344,276
345,300
346,300
347,276
348,300
349,300
350,31
351,300
352,300
353,34
354,78
355,300
356,300
357,300
358,300
359,78
360,300
361,300
362,125
363,300
364,300
365,34
366,300
367,300
368,101
369,101
370,307
371,280
372,2
373,307
374,307
375,307
376,307
377,307
378,280
379,80
380,280
381,32
382,307
383,101
384,152
385,32
386,191
387,216
388,152
389,344
390,191
391,216
392,216
393,191
394,216
395,204
396,344
397,191
398,191
399,191
400,216
401,191
402,103
403,191
404,344
405,191
406,216
407,191
408,216
409,216
410,344
411,152
412,307
413,191
414,191
415,344
416,254
417,268
418,204
419,163
420,204
421,166
