,species
0,307
1,307
2,266
3,307
4,307
5,307
6,346
7,307
8,307
9,307
10,266
11,307
12,346
13,346
14,20
15,307
16,114
17,19
18,303
19,114
20,114
21,114
22,1
23,303
24,164
25,164
26,19
27,114
28,114
29,114
30,336
31,114
32,169
33,232
34,169
35,196
36,346
37,232
38,146
39,257
40,169
41,146
42,346
43,46
44,146
45,196
46,346
47,346
48,169
49,146
50,87
51,161
52,272
53,161
54,332
55,236
56,146
57,146
58,272
59,196
60,272
61,161
62,169
63,161
64,169
65,196
66,169
67,355
68,51
69,354
70,196
71,169
72,226
73,226
74,196
75,196
76,213
77,146
78,272
79,196
80,170
81,71
82,170
83,71
84,285
85,226
86,285
87,354
88,285
89,226
90,226
91,354
92,226
93,354
94,71
95,71
96,365
97,141
98,170
99,170
100,170
101,141
102,141
103,170
104,354
105,141
106,170
107,143
108,170
109,170
110,170
111,170
112,69
113,69
114,204
115,204
116,320
117,354
118,320
119,354
120,285
121,204
122,204
123,204
124,42
125,78
126,354
127,320
128,154
129,162
130,115
131,94
132,115
133,94
134,154
135,115
136,94
137,94
138,362
139,94
140,362
141,115
142,115
143,115
144,162
145,365
146,284
147,162
148,162
149,162
150,162
151,162
152,284
153,162
154,162
155,162
156,162
157,162
158,162
159,284
160,29
161,17
162,29
163,145
164,45
165,45
166,336
167,29
168,154
169,29
170,336
171,336
172,29
173,81
174,45
175,29
176,206
177,206
178,230
179,322
180,89
181,206
182,184
183,184
184,206
185,218
186,32
187,32
188,206
189,184
190,322
191,173
192,257
193,257
194,257
195,257
196,207
197,207
198,85
199,257
200,85
201,257
202,102
203,257
204,257
205,207
206,257
207,207
208,99
209,236
210,99
211,89
212,99
213,59
214,59
215,59
216,236
217,14
218,59
219,99
220,196
221,196
222,236
223,196
224,237
225,76
226,237
227,108
228,237
229,237
230,237
231,237
232,237
233,237
234,196
235,237
236,196
237,196
238,76
239,237
240,226
241,196
242,196
243,226
244,332
245,332
246,61
247,226
248,332
249,285
250,226
251,226
252,196
253,332
254,75
255,226
256,354
257,141
258,354
259,320
260,150
261,354
262,61
263,141
264,320
265,196
266,150
267,354
268,320
269,61
270,320
271,320
272,141
273,21
274,141
275,78
276,141
277,141
278,141
279,60
280,60
281,141
282,141
283,21
284,141
285,60
286,60
287,141
288,115
289,320
290,116
291,105
292,143
293,105
294,320
295,143
296,320
297,117
298,143
299,105
300,115
301,105
302,320
303,105
304,105
305,162
306,163
307,204
308,122
309,24
310,122
311,162
312,162
313,162
314,162
315,162
316,162
317,24
318,162
319,275
320,284
321,137
322,162
323,137
324,284
325,137
326,154
327,137
328,129
329,137
330,16
331,342
332,137
333,77
334,284
335,137
336,57
337,230
338,84
339,57
340,120
341,84
342,84
343,57
344,57
345,84
346,57
347,38
348,120
349,38
350,230
351,57
352,134
353,206
354,65
355,206
356,206
357,86
358,206
359,206
360,65
361,230
362,206
363,134
364,206
365,206
366,206
367,134
368,260
369,206
370,260
371,89
372,218
373,218
374,89
375,260
376,260
377,260
378,260
379,89
380,218
381,260
382,34
383,206
384,243
385,131
386,281
387,128
388,167
389,138
390,243
391,243
392,167
393,138
394,167
395,156
396,138
397,257
398,167
399,243
400,269
401,167
402,167
403,131
404,138
405,167
406,138
407,243
408,128
409,167
410,138
411,138
412,131
413,164
414,269
415,243
416,226
417,226
418,75
419,75
420,209
421,79
422,75
423,226
424,226
425,226
426,209
427,226
428,209
429,209
430,75
431,75
432,209
433,79
434,79
435,209
436,209
437,209
438,209
439,281
440,226
441,226
442,79
443,226
444,226
445,75
446,75
447,226
448,76
449,332
450,53
451,315
452,281
453,226
454,344
455,237
456,53
457,281
458,344
459,226
460,332
461,281
462,226
463,108
464,332
465,0
466,351
467,332
468,332
469,351
470,332
471,315
472,281
473,53
474,320
475,226
476,332
477,344
478,351
479,53
480,90
481,305
482,332
483,305
484,332
485,305
486,332
487,90
488,305
489,305
490,332
491,305
492,305
493,332
494,305
495,305
496,90
497,305
498,192
499,305
500,82
501,350
502,90
503,82
504,332
505,40
506,332
507,305
508,332
509,350
510,305
511,192
512,192
513,293
514,293
515,293
516,189
517,133
518,194
519,293
520,192
521,182
522,254
523,293
524,133
525,189
526,189
527,293
528,354
529,189
530,182
531,313
532,293
533,182
534,150
535,192
536,293
537,141
538,254
539,182
540,182
541,254
542,293
543,182
544,162
545,275
546,275
547,275
548,283
549,275
550,283
551,293
552,342
553,275
554,313
555,275
556,23
557,275
558,101
559,313
560,101
561,70
562,342
563,18
564,342
565,342
566,70
567,283
568,293
569,194
570,342
571,275
572,101
573,101
574,275
575,342
576,342
577,284
578,122
579,129
580,342
581,284
582,342
583,308
584,284
585,342
586,284
587,308
588,342
589,284
590,308
591,284
592,342
593,263
594,263
595,308
596,263
597,342
598,355
599,308
600,308
601,308
602,342
603,355
604,342
605,308
606,129
607,342
608,88
609,342
610,129
611,333
612,250
613,333
614,333
615,333
616,250
617,129
618,129
619,333
620,129
621,250
622,97
