,species
0,80
1,80
2,95
3,353
4,353
5,353
6,174
7,174
8,353
9,353
10,80
11,95
12,353
13,353
14,174
15,18
16,319
17,353
18,353
19,353
20,353
21,353
22,174
23,353
24,319
25,353
26,353
27,315
28,353
29,353
30,319
31,353
32,26
33,110
34,353
35,356
36,353
37,117
38,117
39,110
40,26
41,353
42,353
43,117
44,225
45,353
46,209
47,117
48,311
49,83
50,83
51,311
52,353
53,311
54,353
55,87
56,311
57,311
58,87
59,311
60,311
61,311
62,311
63,225
64,183
65,149
66,353
67,247
68,183
69,120
70,247
71,120
72,247
73,247
74,183
75,247
76,183
77,247
78,247
79,120
80,270
81,68
82,313
83,272
84,272
85,68
86,270
87,244
88,244
89,68
90,270
91,120
92,272
93,5
94,270
95,272
96,244
97,13
98,244
99,272
100,244
101,169
102,165
103,233
104,244
105,165
106,244
107,165
108,165
109,244
110,244
111,244
112,125
113,125
114,125
115,125
116,134
117,134
118,58
119,125
120,125
121,125
122,353
123,58
124,125
125,125
126,125
127,125
128,57
129,343
130,147
131,219
132,219
133,147
134,343
135,343
136,219
137,219
138,57
139,219
140,57
141,242
142,147
143,219
144,88
145,42
146,88
147,88
148,140
149,140
150,42
151,88
152,339
153,339
154,88
155,137
156,88
157,88
158,140
159,339
160,93
161,347
162,93
163,51
164,67
165,51
166,51
167,93
168,67
169,39
170,154
171,39
172,67
173,154
174,51
175,51
176,80
177,80
178,241
179,77
180,241
181,77
182,241
183,25
184,80
185,80
186,25
187,80
188,80
189,80
190,37
191,241
192,241
193,241
194,353
195,317
196,353
197,241
198,73
199,353
200,317
201,353
202,238
203,110
204,73
205,353
206,78
207,353
208,116
209,116
210,116
211,66
212,318
213,116
214,217
215,116
216,116
217,318
218,116
219,116
220,217
221,318
222,86
223,116
224,86
225,149
226,225
227,86
228,114
229,192
230,149
231,86
232,114
233,86
234,123
235,86
236,192
237,149
238,149
239,86
240,74
241,202
242,202
243,202
244,202
245,202
246,202
247,202
248,202
249,202
250,202
251,202
252,113
253,113
254,202
255,202
256,96
257,278
258,278
259,278
260,278
261,96
262,96
263,96
264,278
265,278
266,278
267,278
268,96
269,278
270,278
271,278
272,351
273,351
274,351
275,157
276,351
277,351
278,157
279,351
280,351
281,351
282,351
283,351
284,351
285,44
286,351
287,351
288,125
289,233
290,219
291,219
292,233
293,233
294,38
295,219
296,233
297,219
298,264
299,156
300,125
301,219
302,219
303,219
304,41
305,118
306,118
307,118
308,41
309,195
310,41
311,118
312,153
313,262
314,118
315,153
316,153
317,195
318,41
319,153
320,158
321,93
322,144
323,144
324,158
325,93
326,144
327,158
328,158
329,158
330,144
331,195
332,158
333,158
334,93
335,144
336,140
337,332
338,140
339,130
340,93
341,306
342,140
343,140
344,43
345,140
346,306
347,130
348,140
349,43
350,140
351,306
352,306
353,306
354,317
355,317
356,306
357,306
358,306
359,139
360,306
361,317
362,306
363,317
364,317
365,64
366,306
367,317
368,238
369,238
370,98
371,66
372,98
373,66
374,98
375,98
376,98
377,238
378,98
379,238
380,190
381,98
382,317
383,238
384,224
385,318
386,190
387,224
388,318
389,90
390,190
391,224
392,238
393,27
394,318
395,318
396,190
397,250
398,190
399,14
400,318
401,224
402,318
403,318
404,318
405,90
406,14
407,224
408,190
409,224
410,318
411,318
412,318
413,250
414,318
415,224
416,261
417,187
418,10
419,76
420,261
421,76
422,167
423,167
424,224
425,76
426,187
427,132
428,261
429,187
430,248
431,224
432,314
433,133
434,224
435,224
436,81
437,149
438,132
439,261
440,76
441,225
442,261
443,187
444,187
445,133
446,187
447,133
448,128
449,168
450,261
451,261
452,278
453,50
454,310
455,248
456,261
457,187
458,128
459,178
460,310
461,276
462,310
463,310
464,310
465,50
466,178
467,168
468,261
469,187
470,261
471,178
472,261
473,261
474,310
475,261
476,178
477,261
478,261
479,261
480,327
481,327
482,336
483,336
484,327
485,202
486,327
487,247
488,65
489,298
490,295
491,327
492,336
493,327
494,16
495,295
496,295
497,327
498,202
499,327
500,247
501,199
502,327
503,65
504,327
505,247
506,292
507,351
508,295
509,247
510,298
511,2
512,261
513,278
514,247
515,247
516,261
517,150
518,150
519,112
520,278
521,247
522,327
523,136
524,247
525,247
