,species
0,133
1,133
2,239
3,134
4,133
5,159
6,159
7,159
8,239
9,159
10,12
11,134
12,263
13,133
14,133
15,159
16,129
17,83
18,239
19,159
20,239
21,83
22,83
23,134
24,239
25,83
26,159
27,83
28,129
29,159
30,346
31,83
32,275
33,262
34,262
35,262
36,275
37,275
38,344
39,262
40,217
41,217
42,275
43,262
44,275
45,262
46,262
47,217
48,229
49,85
50,85
51,85
52,85
53,229
54,85
55,158
56,85
57,85
58,49
59,275
60,158
61,22
62,85
63,85
64,182
65,182
66,182
67,140
68,182
69,182
70,182
71,182
72,140
73,182
74,182
75,182
76,182
77,182
78,182
79,124
80,140
81,140
82,63
83,88
84,33
85,88
86,140
87,63
88,213
89,205
90,140
91,205
92,140
93,140
94,140
95,205
96,351
97,351
98,351
99,351
100,201
101,45
102,201
103,351
104,201
105,201
106,350
107,201
108,351
109,201
110,201
111,201
112,351
113,351
114,99
115,351
116,351
117,351
118,351
119,351
120,351
121,351
122,351
123,279
124,351
125,351
126,351
127,351
128,351
129,68
130,94
131,219
132,279
133,65
134,219
135,219
136,68
137,219
138,219
139,94
140,219
141,94
142,65
143,94
144,302
145,137
146,302
147,302
148,31
149,279
150,279
151,279
152,285
153,279
154,285
155,302
156,279
157,27
158,279
159,302
160,208
161,52
162,154
163,52
164,302
165,154
166,154
167,154
168,154
169,52
170,154
171,154
172,154
173,154
174,12
175,154
176,323
177,234
178,239
179,7
180,323
181,323
182,156
183,304
184,156
185,323
186,156
187,156
188,323
189,156
190,304
191,156
192,118
193,80
194,274
195,274
196,274
197,274
198,274
199,217
200,118
201,80
202,274
203,217
204,274
205,274
206,217
207,80
208,84
209,217
210,217
211,217
212,54
213,217
214,217
215,10
216,84
217,217
218,217
219,217
220,346
221,54
222,84
223,217
224,49
225,271
226,229
227,236
228,131
229,229
230,110
231,229
232,229
233,110
234,110
235,110
236,236
237,110
238,236
239,236
240,273
241,197
242,198
243,293
244,197
245,197
246,198
247,198
248,197
249,197
250,198
251,197
252,88
253,123
254,197
255,88
256,198
257,242
258,53
259,242
260,79
261,79
262,140
263,53
264,198
265,242
266,198
267,198
268,140
269,198
270,198
271,242
272,278
273,285
274,230
275,24
276,285
277,278
278,213
279,213
280,201
281,201
282,213
283,26
284,24
285,285
286,213
287,11
288,230
289,105
290,230
291,213
292,230
293,213
294,9
295,230
296,105
297,105
298,230
299,230
300,29
301,0
302,105
303,230
304,96
305,302
306,96
307,96
308,43
309,43
310,302
311,161
312,96
313,161
314,302
315,194
316,96
317,302
318,161
319,96
320,208
321,267
322,267
323,267
324,219
325,267
326,267
327,176
328,267
329,267
330,208
331,208
332,267
333,208
334,154
335,267
336,302
337,302
338,302
339,302
340,302
341,302
342,302
343,302
344,302
345,302
346,302
347,82
348,323
349,302
350,302
351,323
352,254
353,218
354,323
355,304
356,218
357,239
358,218
359,218
360,218
361,302
362,218
363,218
364,218
365,218
366,239
367,218
368,120
369,177
370,120
371,120
372,211
373,177
374,177
375,177
376,211
377,211
378,177
379,21
380,211
381,211
382,211
383,211
384,229
385,179
386,166
387,179
388,229
389,229
390,120
391,179
392,120
393,166
394,229
395,304
396,166
397,217
398,120
399,229
400,166
401,229
402,166
403,229
404,304
405,81
406,229
407,217
408,166
409,229
410,278
411,229
412,166
413,229
414,166
415,229
416,271
417,271
418,122
419,273
420,122
421,271
422,271
423,271
424,273
425,122
426,271
427,271
428,273
429,61
430,271
431,61
432,122
433,273
434,166
435,273
436,122
437,122
438,271
439,273
440,271
441,273
442,271
443,271
444,271
445,3
446,273
447,273
448,278
449,273
450,273
451,4
452,278
453,278
454,273
455,131
456,278
457,293
458,286
459,273
460,131
461,273
462,131
463,315
464,131
465,273
466,2
467,293
468,286
469,315
470,131
471,273
472,131
473,293
474,273
475,273
476,286
477,293
478,131
479,273
480,236
481,347
482,236
483,236
484,236
485,271
486,236
487,347
488,230
489,236
490,95
491,236
492,278
493,230
494,271
495,236
496,236
497,236
498,230
499,95
500,278
501,236
502,95
503,278
504,236
505,293
506,236
507,278
508,236
509,339
510,35
511,278
512,200
513,111
514,278
515,184
516,111
517,285
518,200
519,285
520,236
521,314
522,111
523,111
524,200
525,278
526,111
527,111
528,111
529,111
530,111
531,278
532,278
533,278
534,278
535,278
536,278
537,278
538,278
539,278
540,184
541,230
542,111
543,200
544,126
545,186
546,230
547,230
548,36
549,152
550,230
551,36
552,230
553,105
554,230
555,230
556,285
557,285
558,126
559,285
560,285
561,92
562,285
563,230
564,285
565,278
566,230
567,285
568,285
569,230
570,161
571,230
572,340
573,230
574,340
575,186
576,213
577,176
578,191
579,213
580,213
581,176
582,340
583,191
584,213
585,191
586,213
587,191
588,213
589,191
590,191
591,191
592,14
593,176
594,191
595,213
596,191
597,213
598,340
599,213
600,201
601,213
602,191
603,201
604,213
605,176
606,213
607,213
608,5
609,234
610,234
611,254
612,254
613,226
614,234
615,234
616,234
617,226
618,226
619,234
620,234
621,254
622,234
623,226
624,206
625,239
626,234
627,13
628,13
629,256
630,350
631,350
632,350
633,234
634,239
635,234
636,40
637,234
638,239
639,206
640,312
641,218
642,322
643,256
644,304
645,288
646,312
647,322
648,218
649,312
650,288
651,312
652,288
653,256
654,256
655,222
656,304
657,272
658,304
659,304
660,222
661,304
662,304
663,222
664,304
665,288
666,222
667,304
668,222
669,222
670,304
671,304
672,116
673,270
674,216
675,216
676,216
677,288
678,270
679,222
680,216
681,288
682,143
683,288
684,270
685,216
686,216
687,116
688,116
689,272
690,270
691,222
692,288
693,116
694,270
695,216
696,216
697,216
698,270
699,270
700,288
701,216
702,270
703,270
704,301
705,339
706,286
707,127
708,320
709,339
710,320
711,286
712,293
713,320
714,25
715,112
716,216
717,147
718,286
719,286
720,293
721,273
722,301
723,320
724,339
725,216
726,286
727,293
728,278
729,347
730,339
731,339
732,347
733,273
734,112
735,278
736,25
737,320
738,320
739,127
740,273
741,127
742,286
743,339
744,293
745,320
746,320
747,293
748,112
749,320
750,320
751,147
752,349
753,150
754,286
755,286
756,339
757,286
758,339
759,349
760,339
761,15
762,286
763,58
764,339
765,339
766,301
767,339
768,349
769,286
770,339
771,286
772,315
773,339
774,271
775,339
776,104
777,32
778,339
779,349
780,349
781,349
782,144
783,349
784,271
785,271
786,301
787,286
788,339
789,58
790,104
791,339
792,349
793,339
794,339
795,286
796,273
797,339
798,349
799,195
800,236
801,285
802,144
803,286
804,236
805,236
806,236
807,144
808,136
809,285
810,236
811,236
812,144
813,286
814,236
815,314
816,144
817,236
818,236
819,285
820,236
821,285
822,236
823,236
824,236
825,236
826,286
827,136
828,236
829,347
830,236
831,339
832,339
833,136
834,289
835,286
836,271
837,236
838,236
839,236
840,285
841,144
842,144
843,314
844,236
845,144
846,236
847,236
848,285
849,265
850,265
851,265
852,339
853,236
854,314
855,173
856,265
857,285
858,285
859,265
860,314
861,314
862,295
863,314
864,265
865,285
866,173
867,314
868,265
869,185
870,265
871,339
872,285
873,285
874,292
875,173
876,285
877,265
878,285
879,236
880,285
881,292
882,314
883,92
884,184
885,285
886,265
887,285
888,285
889,339
890,92
891,285
892,92
893,184
894,265
895,265
896,91
897,308
898,210
899,253
900,151
901,285
902,308
903,93
904,308
905,117
906,117
907,340
908,151
909,289
910,97
911,340
912,285
913,340
914,117
915,308
916,297
917,340
918,117
919,230
920,340
921,152
922,340
923,314
924,278
925,151
926,285
927,93
928,265
929,314
930,210
931,210
932,267
933,152
934,308
935,210
936,289
937,265
938,210
939,285
940,340
941,91
942,308
943,297
944,297
945,212
946,297
947,314
948,41
949,267
950,297
951,340
952,297
953,212
954,314
955,212
956,314
957,297
958,212
959,297
960,212
961,297
962,297
963,212
964,212
965,39
966,212
967,297
968,212
969,212
970,212
971,267
972,314
973,297
974,314
975,212
976,234
977,234
978,212
979,297
980,132
981,132
982,256
983,256
984,132
985,132
986,212
987,234
988,254
989,234
990,256
991,234
992,350
993,350
994,254
995,254
996,254
997,75
998,254
999,254
1000,132
1001,254
1002,132
1003,350
1004,350
1005,132
1006,350
1007,132
1008,312
1009,312
1010,312
1011,312
1012,312
1013,312
1014,312
1015,132
1016,312
1017,312
1018,132
1019,312
1020,312
1021,312
1022,312
1023,312
1024,312
1025,153
1026,113
1027,278
1028,153
1029,113
1030,28
1031,153
1032,142
1033,153
1034,278
1035,153
1036,233
1037,142
1038,142
1039,278
1040,233
1041,350
1042,277
1043,272
1044,272
1045,272
1046,216
1047,286
1048,216
1049,277
1050,272
1051,286
1052,272
1053,277
1054,286
1055,216
1056,350
1057,233
1058,277
1059,216
1060,277
1061,272
1062,286
1063,272
1064,233
1065,286
1066,272
1067,270
1068,286
1069,286
1070,216
1071,272
1072,314
1073,315
1074,286
1075,314
1076,240
1077,227
1078,222
1079,222
1080,240
1081,240
1082,315
1083,315
1084,240
1085,240
1086,347
1087,216
1088,222
1089,227
1090,339
1091,338
1092,347
1093,286
1094,347
1095,227
1096,261
1097,222
1098,347
1099,347
1100,222
1101,347
1102,240
1103,347
1104,98
1105,315
1106,286
1107,286
1108,278
1109,240
1110,315
1111,339
1112,240
1113,278
1114,98
1115,222
1116,240
1117,347
1118,37
1119,339
1120,347
1121,286
1122,136
1123,240
1124,240
1125,347
1126,195
1127,289
1128,289
1129,301
1130,347
1131,286
1132,195
1133,240
1134,195
1135,195
1136,286
1137,136
1138,289
1139,301
1140,76
1141,286
1142,347
1143,286
1144,138
1145,350
1146,286
1147,138
1148,249
1149,195
1150,347
1151,289
1152,136
1153,301
1154,141
1155,185
1156,195
1157,240
1158,347
1159,286
1160,301
1161,301
