,species
0,226
1,313
2,83
3,83
4,120
5,313
6,226
7,226
8,83
9,120
10,226
11,226
12,120
13,226
14,313
15,13
16,83
17,74
18,74
19,313
20,83
21,313
22,123
23,313
24,81
25,74
26,81
27,54
28,21
29,211
30,81
31,81
32,202
33,5
34,202
35,208
36,208
37,208
38,202
39,208
40,297
41,202
42,202
43,211
44,208
45,208
46,17
47,208
48,177
49,177
50,285
51,177
52,285
53,208
54,184
55,177
56,122
57,177
58,177
59,177
60,177
61,285
62,208
63,177
64,357
65,184
66,357
67,351
68,351
69,357
70,184
71,184
72,184
73,351
74,357
75,357
76,184
77,184
78,184
79,357
80,247
81,247
82,353
83,119
84,148
85,247
86,247
87,353
88,353
89,362
90,353
91,119
92,58
93,148
94,148
95,247
96,148
97,148
98,251
99,148
100,173
101,148
102,148
103,148
104,148
105,148
106,148
107,85
108,148
109,148
110,85
111,148
112,278
113,186
114,65
115,186
116,278
117,186
118,186
119,353
120,186
121,186
122,186
123,186
124,11
125,186
126,186
127,278
128,278
129,278
130,190
131,92
132,92
133,53
134,278
135,53
136,190
137,278
138,92
139,92
140,278
141,190
142,53
143,4
144,251
145,222
146,251
147,222
148,251
149,251
150,251
151,222
152,222
153,251
154,251
155,222
156,222
157,251
158,222
159,251
160,308
161,308
162,91
163,161
164,211
165,222
166,301
167,23
168,190
169,301
170,91
171,190
172,161
173,222
174,70
175,161
176,91
177,270
178,270
179,211
180,270
181,211
182,270
183,270
184,120
185,91
186,270
187,91
188,49
189,270
190,270
191,222
192,211
193,258
194,211
195,317
196,258
197,211
198,211
199,258
200,1
201,258
202,258
203,258
204,258
205,50
206,211
207,211
208,258
209,144
210,158
211,77
212,18
213,258
214,77
215,79
216,153
217,77
218,144
219,77
220,258
221,258
222,144
223,77
224,250
225,318
226,61
227,318
228,318
229,250
230,285
231,250
232,250
233,208
234,250
235,250
236,14
237,250
238,250
239,250
240,167
241,160
242,160
243,160
244,167
245,353
246,132
247,132
248,38
249,132
250,160
251,160
252,160
253,160
254,132
255,132
256,220
257,220
258,227
259,227
260,227
261,227
262,331
263,227
264,353
265,227
266,353
267,227
268,331
269,227
270,227
271,331
272,186
273,331
274,148
275,148
276,119
277,148
278,148
279,148
280,148
281,119
282,186
283,136
284,148
285,148
286,148
287,148
288,148
289,299
290,148
291,148
292,35
293,2
294,148
295,299
296,148
297,73
298,148
299,148
300,148
301,148
302,87
303,148
304,170
305,222
306,170
307,226
308,222
309,222
310,170
311,222
312,325
313,222
314,222
315,222
316,251
317,170
318,222
319,226
320,273
321,273
322,317
323,273
324,273
325,273
326,70
327,273
328,226
329,273
330,226
331,273
332,273
333,226
334,273
335,273
336,206
337,273
338,273
339,273
340,251
341,273
342,301
343,222
344,222
345,222
346,206
347,161
348,273
349,273
350,206
351,222
352,258
353,258
354,222
355,258
356,263
357,211
358,222
359,198
360,222
361,211
362,260
363,260
364,222
365,198
366,222
367,222
368,258
369,117
370,263
371,258
372,69
373,258
374,258
375,263
376,258
377,117
378,258
379,117
380,69
381,270
382,258
383,258
384,125
385,250
386,98
387,250
388,57
389,258
390,125
391,187
392,294
393,98
394,258
395,294
396,292
397,258
398,131
399,250
400,258
401,113
402,331
403,258
404,125
405,238
406,258
407,263
408,242
409,294
410,187
411,57
412,187
413,131
414,125
415,125
416,250
417,149
418,175
419,250
420,149
421,113
422,271
423,294
424,149
425,294
426,149
427,250
428,294
429,250
430,271
431,307
432,271
433,149
434,149
435,149
436,250
437,250
438,294
439,250
440,149
441,294
442,149
443,149
444,47
445,250
446,149
447,294
448,86
449,86
450,163
451,129
452,271
453,163
454,129
455,20
456,271
457,331
458,318
459,331
460,279
461,331
462,285
463,348
464,175
465,129
466,285
467,294
468,294
469,129
470,331
471,129
472,285
473,331
474,285
475,285
476,279
477,163
478,331
479,86
480,292
481,271
482,318
483,255
484,255
485,26
486,292
487,255
488,318
489,255
490,78
491,255
492,44
493,255
494,292
495,7
496,152
497,255
498,318
499,78
500,279
501,314
502,44
503,236
504,292
505,78
506,292
507,179
508,314
509,292
510,78
511,236
512,284
513,284
514,227
515,176
516,55
517,176
518,141
519,284
520,227
521,176
522,227
523,219
524,227
525,176
526,255
527,176
528,227
529,176
530,176
531,176
532,231
533,255
534,231
535,231
536,176
537,141
538,227
539,176
540,255
541,255
542,284
543,231
544,107
545,220
546,204
547,96
548,96
549,96
550,15
551,107
552,299
553,204
554,107
555,222
556,135
557,204
558,107
559,179
560,176
561,214
562,220
563,107
564,176
565,116
566,220
567,201
568,220
569,96
570,107
571,176
572,220
573,96
574,179
575,179
576,299
577,24
578,147
579,219
580,251
581,325
582,212
583,212
584,212
585,147
586,201
587,201
588,201
589,251
590,325
591,299
592,212
593,251
594,6
595,299
596,212
597,273
598,212
599,201
600,204
601,201
602,251
603,219
604,251
605,147
606,212
607,204
608,222
609,206
610,206
611,273
612,46
613,222
614,206
615,222
616,273
617,206
618,206
619,273
620,273
621,206
622,331
623,273
624,291
625,291
626,291
627,200
628,291
629,291
630,211
631,273
632,273
633,291
634,211
635,291
636,273
637,273
638,291
639,291
640,216
641,216
642,216
643,216
644,263
645,51
646,216
647,216
648,216
649,216
650,216
651,216
652,216
653,200
654,216
655,216
656,263
657,139
658,139
659,139
660,263
661,139
662,260
663,263
664,263
665,260
666,263
667,263
668,263
669,125
670,263
671,139
672,221
673,294
674,318
675,294
676,242
677,221
678,323
679,294
680,0
681,294
682,157
683,294
684,294
685,294
686,117
687,294
688,294
689,157
690,242
691,260
692,294
693,221
694,157
695,242
696,238
697,294
698,238
699,139
700,221
701,294
702,242
703,242
704,294
705,294
706,294
707,294
708,294
709,294
710,294
711,318
712,294
713,294
714,292
715,250
716,294
717,318
718,236
719,294
720,294
721,236
722,318
723,331
724,294
725,294
726,56
727,323
728,323
729,323
730,315
731,294
732,314
733,323
734,294
735,318
736,250
737,250
738,314
739,292
740,294
741,294
742,294
743,236
744,294
745,294
746,294
747,294
748,294
749,318
750,314
751,292
752,292
753,3
754,314
755,318
756,292
757,314
758,331
759,348
760,292
761,318
762,318
763,318
764,314
765,271
766,318
767,331
768,292
769,318
770,331
771,331
772,348
773,331
774,292
775,62
776,292
777,331
778,292
779,318
780,348
781,292
782,331
783,292
784,292
785,331
786,292
787,318
788,314
789,255
790,271
791,318
792,318
793,181
794,292
795,271
796,271
797,62
798,101
799,314
800,347
801,348
802,84
803,179
804,292
805,294
806,84
807,99
808,231
809,36
810,179
811,152
812,348
813,179
814,137
815,348
816,231
817,331
818,347
819,84
820,274
821,231
822,292
823,274
824,331
825,331
826,84
827,331
828,84
829,179
830,348
831,84
832,348
833,331
834,348
835,152
836,331
837,231
838,84
839,84
840,331
841,348
842,84
843,152
844,331
845,348
846,306
847,331
848,325
849,67
850,325
851,325
852,331
853,331
854,165
855,12
856,60
857,325
858,165
859,325
860,331
861,331
862,325
863,179
864,165
865,165
866,325
867,231
868,165
869,325
870,331
871,165
872,165
873,165
874,165
875,231
876,331
877,109
878,284
879,165
880,284
881,325
882,165
883,231
884,60
885,325
886,165
887,165
888,325
889,165
890,165
891,325
892,318
893,165
894,325
895,325
896,251
897,251
898,325
899,299
900,325
901,141
902,141
903,219
904,219
905,251
906,325
907,68
908,219
909,325
910,251
911,325
912,299
913,219
914,251
915,325
916,299
917,299
918,224
919,219
920,299
921,325
922,164
923,325
924,299
925,141
926,325
927,176
928,299
929,299
930,275
931,251
932,275
933,111
934,219
935,219
936,176
937,299
938,219
939,219
940,141
941,219
942,219
