,lon,lat,diversity
0,-2155000.0,7426291.28571429,6.0
1,-2065000.0,7426291.28571429,0.0
2,-1975000.0,7426291.28571429,7.0
3,-1885000.0,7426291.28571429,7.0
4,-1795000.0,7426291.28571429,0.0
5,-1705000.0,7426291.28571429,0.0
6,-1615000.0,7426291.28571429,3.0
7,-1525000.0,7426291.28571429,4.0
8,-1435000.0,7426291.28571429,6.0
9,-1345000.0,7426291.28571429,5.0
10,-1255000.0,7426291.28571429,5.0
11,-1165000.0,7426291.28571429,4.0
12,-1075000.0,7426291.28571429,8.0
13,-985000.0,7426291.28571429,4.0
14,-895000.0,7426291.28571429,5.0
15,-805000.0,7426291.28571429,6.0
16,-715000.0,7426291.28571429,6.0
17,-625000.0,7426291.28571429,8.0
18,-535000.0,7426291.28571429,6.0
19,-445000.0,7426291.28571429,4.0
20,-355000.0,7426291.28571429,5.0
21,-265000.0,7426291.28571429,8.0
22,-175000.0,7426291.28571429,4.0
23,-85000.0,7426291.28571429,9.0
24,5000.0,7426291.28571429,7.0
25,95000.0,7426291.28571429,8.0
26,185000.0,7426291.28571429,6.0
27,275000.0,7426291.28571429,6.0
28,365000.0,7426291.28571429,11.0
29,455000.0,7426291.28571429,10.0
30,545000.0,7426291.28571429,7.0
31,635000.0,7426291.28571429,7.0
32,725000.0,7426291.28571429,6.0
33,815000.0,7426291.28571429,6.0
34,905000.0,7426291.28571429,8.0
35,995000.0,7426291.28571429,6.0
36,1085000.0,7426291.28571429,5.0
37,1175000.0,7426291.28571429,7.0
38,1265000.0,7426291.28571429,7.0
39,1355000.0,7426291.28571429,6.0
40,1445000.0,7426291.28571429,7.0
41,1535000.0,7426291.28571429,0.0
42,1625000.0,7426291.28571429,7.0
43,1715000.0,7426291.28571429,5.0
44,1805000.0,7426291.28571429,10.0
45,-2155000.0,7278873.85714286,5.0
46,-2065000.0,7278873.85714286,0.0
47,-1975000.0,7278873.85714286,8.0
48,-1885000.0,7278873.85714286,7.0
49,-1795000.0,7278873.85714286,5.0
50,-1705000.0,7278873.85714286,5.0
51,-1615000.0,7278873.85714286,5.0
52,-1525000.0,7278873.85714286,6.0
53,-1435000.0,7278873.85714286,7.0
54,-1345000.0,7278873.85714286,5.0
55,-1255000.0,7278873.85714286,6.0
56,-1165000.0,7278873.85714286,5.0
57,-1075000.0,7278873.85714286,8.0
58,-985000.0,7278873.85714286,8.0
59,-895000.0,7278873.85714286,2.0
60,-805000.0,7278873.85714286,7.0
61,-715000.0,7278873.85714286,7.0
62,-625000.0,7278873.85714286,4.0
63,-535000.0,7278873.85714286,6.0
64,-445000.0,7278873.85714286,11.0
65,-355000.0,7278873.85714286,9.0
66,-265000.0,7278873.85714286,7.0
67,-175000.0,7278873.85714286,5.0
68,-85000.0,7278873.85714286,6.0
69,5000.0,7278873.85714286,6.0
70,95000.0,7278873.85714286,5.0
71,185000.0,7278873.85714286,9.0
72,275000.0,7278873.85714286,7.0
73,365000.0,7278873.85714286,11.0
74,455000.0,7278873.85714286,11.0
75,545000.0,7278873.85714286,10.0
76,635000.0,7278873.85714286,7.0
77,725000.0,7278873.85714286,6.0
78,815000.0,7278873.85714286,4.0
79,905000.0,7278873.85714286,6.0
80,995000.0,7278873.85714286,5.0
81,1085000.0,7278873.85714286,5.0
82,1175000.0,7278873.85714286,9.0
83,1265000.0,7278873.85714286,6.0
84,1355000.0,7278873.85714286,5.0
85,1445000.0,7278873.85714286,12.0
86,1535000.0,7278873.85714286,10.0
87,1625000.0,7278873.85714286,5.0
88,1715000.0,7278873.85714286,7.0
89,1805000.0,7278873.85714286,9.0
90,-2155000.0,7131456.42857143,6.0
91,-2065000.0,7131456.42857143,8.0
92,-1975000.0,7131456.42857143,5.0
93,-1885000.0,7131456.42857143,4.0
94,-1795000.0,7131456.42857143,6.0
95,-1705000.0,7131456.42857143,4.0
96,-1615000.0,7131456.42857143,6.0
97,-1525000.0,7131456.42857143,6.0
98,-1435000.0,7131456.42857143,5.0
99,-1345000.0,7131456.42857143,6.0
100,-1255000.0,7131456.42857143,5.0
101,-1165000.0,7131456.42857143,5.0
102,-1075000.0,7131456.42857143,6.0
103,-985000.0,7131456.42857143,4.0
104,-895000.0,7131456.42857143,8.0
105,-805000.0,7131456.42857143,4.0
106,-715000.0,7131456.42857143,10.0
107,-625000.0,7131456.42857143,8.0
108,-535000.0,7131456.42857143,9.0
109,-445000.0,7131456.42857143,6.0
110,-355000.0,7131456.42857143,8.0
111,-265000.0,7131456.42857143,7.0
112,-175000.0,7131456.42857143,8.0
113,-85000.0,7131456.42857143,7.0
114,5000.0,7131456.42857143,9.0
115,95000.0,7131456.42857143,9.0
116,185000.0,7131456.42857143,5.0
117,275000.0,7131456.42857143,5.0
118,365000.0,7131456.42857143,8.0
119,455000.0,7131456.42857143,6.0
120,545000.0,7131456.42857143,7.0
121,635000.0,7131456.42857143,7.0
122,725000.0,7131456.42857143,7.0
123,815000.0,7131456.42857143,8.0
124,905000.0,7131456.42857143,9.0
125,995000.0,7131456.42857143,8.0
126,1085000.0,7131456.42857143,7.0
127,1175000.0,7131456.42857143,7.0
128,1265000.0,7131456.42857143,8.0
129,1355000.0,7131456.42857143,6.0
130,1445000.0,7131456.42857143,5.0
131,1535000.0,7131456.42857143,8.0
132,1625000.0,7131456.42857143,7.0
133,1715000.0,7131456.42857143,8.0
134,1805000.0,7131456.42857143,0.0
135,-2155000.0,6984039.0,5.0
136,-2065000.0,6984039.0,5.0
137,-1975000.0,6984039.0,5.0
138,-1885000.0,6984039.0,5.0
139,-1795000.0,6984039.0,6.0
140,-1705000.0,6984039.0,5.0
141,-1615000.0,6984039.0,8.0
142,-1525000.0,6984039.0,3.0
143,-1435000.0,6984039.0,4.0
144,-1345000.0,6984039.0,7.0
145,-1255000.0,6984039.0,8.0
