,species
0,289
1,3
2,332
3,289
4,289
5,332
6,332
7,332
8,344
9,289
10,289
11,34
12,289
13,289
14,184
15,289
16,237
17,237
18,332
19,84
20,237
21,332
22,237
23,84
24,237
25,332
26,237
27,237
28,237
29,237
30,237
31,237
32,265
33,75
34,38
35,75
36,75
37,184
38,75
39,75
40,184
41,73
42,265
43,8
44,38
45,201
46,201
47,265
48,171
49,332
50,79
51,55
52,350
53,154
54,350
55,210
56,55
57,62
58,154
59,171
60,154
61,350
62,154
63,62
64,179
65,179
66,87
67,236
68,113
69,113
70,113
71,179
72,179
73,179
74,179
75,179
76,210
77,269
78,332
79,87
80,159
81,156
82,156
83,43
84,159
85,159
86,88
87,159
88,159
89,43
90,59
91,156
92,88
93,187
94,187
95,156
96,104
97,236
98,292
99,104
100,149
101,5
102,236
103,292
104,149
105,162
106,236
107,4
108,149
109,149
110,236
111,292
112,208
113,208
114,208
115,208
116,28
117,292
118,41
119,206
120,292
121,54
122,136
123,98
124,208
125,208
126,54
127,208
128,203
129,218
130,203
131,14
132,203
133,203
134,170
135,14
136,170
137,203
138,203
139,14
140,203
141,203
142,203
143,170
144,190
145,190
146,190
147,289
148,289
149,145
150,289
151,289
152,289
153,190
154,208
155,49
156,289
157,30
158,190
159,335
160,289
161,289
162,65
163,289
164,65
165,289
166,289
167,289
168,332
169,289
170,332
171,289
172,289
173,289
174,289
175,332
176,332
177,289
178,289
179,289
180,84
181,289
182,289
183,289
184,289
185,289
186,289
187,289
188,289
189,332
190,289
191,289
192,184
193,184
194,109
195,109
196,109
197,109
198,304
199,109
200,304
201,109
202,109
203,36
204,109
205,109
206,229
207,109
208,79
209,147
210,171
211,325
212,147
213,325
214,79
215,75
216,325
217,147
218,147
219,79
220,79
221,325
222,147
223,325
224,156
225,171
226,171
227,171
228,171
229,171
230,171
231,156
232,171
233,108
234,171
235,156
236,156
237,108
238,171
239,171
240,187
241,46
242,210
243,210
244,210
245,210
246,37
247,210
248,187
249,229
250,210
251,348
252,210
253,139
254,187
255,187
256,23
257,23
258,351
259,90
260,187
261,351
262,90
263,159
264,23
265,90
266,90
267,351
268,187
269,351
270,351
271,351
272,292
273,292
274,308
275,292
276,292
277,292
278,292
279,292
280,292
281,292
282,292
283,136
284,292
285,292
286,162
287,136
288,72
289,292
290,131
291,292
292,72
293,256
294,170
295,149
296,256
297,292
298,149
299,256
300,336
301,67
302,149
303,67
304,206
305,130
306,130
307,206
308,206
309,130
310,206
311,334
312,206
313,206
314,130
315,206
316,206
317,181
318,181
319,206
320,116
321,334
322,45
323,334
324,289
325,334
326,334
327,334
328,334
329,45
330,334
331,116
332,334
333,334
334,334
335,334
336,334
337,145
338,289
339,289
340,145
341,123
342,169
343,334
344,289
345,145
346,289
347,289
348,289
349,145
350,145
351,145
352,167
353,167
354,304
355,277
356,184
357,123
358,167
359,289
360,167
361,184
362,167
363,184
364,184
365,205
366,304
367,184
368,184
369,121
370,248
371,86
372,248
373,300
374,248
375,121
376,248
377,248
378,86
379,86
380,109
381,86
382,121
383,184
384,229
385,322
386,322
387,289
388,289
389,109
390,148
