,species
0,51
1,141
2,51
3,141
4,33
5,152
6,33
7,141
8,141
9,172
10,28
11,51
12,355
13,355
14,355
15,141
16,291
17,291
18,291
19,130
20,130
21,291
22,291
23,130
24,291
25,291
26,291
27,130
28,291
29,291
30,291
31,130
32,50
33,196
34,196
35,371
36,32
37,50
38,232
39,232
40,196
41,50
42,371
43,232
44,196
45,232
46,50
47,366
48,232
49,232
50,232
51,232
52,117
53,232
54,232
55,117
56,232
57,232
58,7
59,232
60,117
61,232
62,232
63,232
64,363
65,366
66,145
67,338
68,366
69,69
70,145
71,366
72,145
73,145
74,145
75,145
76,366
77,69
78,83
79,137
80,116
81,116
82,347
83,347
84,347
85,116
86,116
87,116
88,116
89,116
90,116
91,116
92,116
93,116
94,116
95,347
96,168
97,168
98,168
99,39
100,168
101,168
102,168
103,298
104,168
105,168
106,168
107,168
108,168
109,135
110,298
111,168
112,186
113,49
114,34
115,158
116,158
117,347
118,158
119,186
120,158
121,186
122,186
123,158
124,186
125,158
126,158
127,158
128,360
129,347
130,360
131,261
132,261
133,347
134,360
135,347
136,347
137,360
138,261
139,261
140,360
141,261
142,144
143,261
144,119
145,119
146,119
147,119
148,360
149,236
150,360
151,119
152,360
153,119
154,163
155,119
156,163
157,119
158,360
159,119
160,84
161,84
162,84
163,0
164,84
165,80
166,355
167,22
168,84
169,84
170,92
171,84
172,84
173,291
174,291
175,84
176,291
177,291
178,291
179,291
180,291
181,291
182,45
183,45
184,81
185,291
186,97
187,97
188,81
189,291
190,97
191,291
192,280
193,280
194,280
195,280
196,28
197,280
198,195
199,66
200,280
201,291
202,280
203,280
204,280
205,280
206,45
207,236
208,9
209,110
210,195
211,195
212,195
213,189
214,291
215,15
216,232
217,195
218,197
219,195
220,366
221,195
222,110
223,110
224,131
225,87
226,366
227,366
228,366
229,366
230,366
231,366
232,131
233,83
234,366
235,366
236,87
237,366
238,366
239,366
240,366
241,343
242,341
243,341
244,157
245,27
246,366
247,343
248,27
249,210
250,210
251,190
252,341
253,72
254,341
255,366
256,19
257,67
258,338
259,177
260,67
261,177
262,338
263,338
264,67
265,67
266,67
267,338
268,67
269,67
270,338
271,67
272,178
273,346
274,205
275,242
276,352
277,205
278,90
279,90
280,205
281,90
282,205
283,242
284,205
285,116
286,205
287,205
288,352
289,178
290,352
291,352
292,352
293,352
294,352
295,178
296,178
297,178
298,178
299,178
300,352
301,352
302,352
303,352
304,346
305,346
306,346
307,346
308,346
309,174
310,346
311,346
312,346
313,346
314,174
315,346
316,346
317,346
318,346
319,346
320,3
321,191
322,74
323,261
324,352
325,74
326,102
327,102
