"","x","y","area","peri","land_perc","temp","prec","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right","grad","fore","precGrad","foreGrad"
"1",-2302033.12519051,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"2",-2199627.52742533,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"3",-2097221.92966015,3062202.34687399,21129.7512958831,617.479091758734,0.533839892345641,282.641482513283,39.5859420028449,1,0,1,1,0,0,0,0,1,168.518568561805,263.468615653582,382.206050856545,5.64737665099494
"4",-1994816.33189497,3062202.34687399,21129.7512958831,617.479091758734,0.538534642643403,283.12576248552,16.5598501928232,1,0,1,1,1,0,0,1,1,125.507714123999,149.666059640003,119.079125405004,5.2737937446728
"5",-1892410.73412979,3062202.34687399,21129.7512958831,617.479091758734,0.909022083777247,280.19874682769,31.7680637306676,1,0,1,1,1,0,0,1,1,326.484023964951,222.424476313325,594.239467109592,5.86104451126144
"6",-1790005.13636461,3062202.34687399,21129.7512958831,617.479091758734,0.77455606229972,279.001475768011,10.7108267373909,1,0,1,1,1,0,0,1,1,251.049142218853,108.406155980817,154.060232386592,5.4348126866863
"7",-1687599.53859943,3062202.34687399,21129.7512958831,617.479091758734,0.648095525379288,280.606703636787,6.14480722220743,1,0,1,1,1,0,0,1,1,171.238209334312,62.2506714806355,60.2861782072808,5.0277447181048
"8",-1585193.94083425,3062202.34687399,21129.7512958831,617.479091758734,0.529511222069432,279.684251648399,10.976412679248,1,0,1,1,1,0,0,1,1,231.128358672046,107.140027813187,145.352489600652,5.39380498999851
"9",-1482788.34306906,3062202.34687399,21129.7512958831,617.479091758734,0.418719245511257,278.502435738377,13.0491327641812,1,0,1,1,1,0,0,1,1,266.126979258909,99.2777466160087,198.966228112961,5.42194081550882
"10",-1380382.74530388,3062202.34687399,21129.7512958831,617.479091758734,0.31565525590233,277.191395517912,12.6621924174835,1,0,1,1,1,0,0,1,1,247.873503649688,86.7472631694431,179.824071734793,5.33248588741058
"11",-1277977.1475387,3062202.34687399,21129.7512958831,617.479091758734,0.220253377137214,276.813151801589,12.6149672479114,1,0,1,0,1,0,0,1,1,79.2760833846267,18.1129302354188,57.2976916415671,4.1571309001696
"12",-1175571.54977352,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,16.576464899199,1,NA,2.21949191834539
"13",-1073165.95200834,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,21.2827465862771,1,NA,2.32802767391871
"14",-970760.354243158,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,17.661055251109,1,NA,2.2470166491873
"15",-868354.756477977,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"16",-765949.158712796,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"17",-663543.560947615,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"18",-561137.963182434,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"19",-458732.365417253,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"20",-356326.767652072,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"21",-253921.16988689,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"22",-151515.57212171,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"23",-49109.9743565284,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"24",53295.6234086528,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"25",155701.221173834,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"26",258106.818939015,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"27",360512.416704196,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"28",462918.014469377,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"29",565323.612234558,3062202.34687399,21129.751295883,617.479091758733,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"30",667729.20999974,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"31",770134.80776492,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"32",872540.405530102,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"33",974946.003295283,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"34",1077351.60106046,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"35",1179757.19882564,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"36",1282162.79659083,3062202.34687399,21129.751295883,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"37",1384568.39435601,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"38",1486973.99212119,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"39",1589379.58988637,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"40",1691785.18765155,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"41",1794190.78541673,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"42",1896596.38318191,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"43",1999001.98094709,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,56.1353759943294,105.506879771063,NA,4.77251741542403
"44",2101407.57871227,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,61.740407986457,80.2604866215779,NA,4.69507128355999
"45",2203813.17647746,3062202.34687399,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"46",-2302033.12519051,2855868.3987598,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"47",-2199627.52742533,2855868.3987598,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,132.047870588121,218.703185316985,NA,5.46058651053492
"48",-2097221.92966015,2855868.3987598,21129.7512958831,617.479091758734,0.880208604446304,283.635488115148,27.2302328562077,1,1,1,1,0,0,1,1,1,96.6491922549108,143.330783318098,150.785089007912,5.14153770310921
"49",-1994816.33189497,2855868.3987598,21129.7512958831,617.479091758734,1,281.941295154825,26.1087189943512,1,1,1,1,1,1,1,1,1,167.394136698904,186.158655494753,250.400169590062,5.49362347558334
"50",-1892410.73412979,2855868.3987598,21129.7512958831,617.479091758734,1,281.076749156761,10.769695555378,1,1,1,1,1,1,1,1,1,140.814564020062,94.6701281682995,86.8880027017371,5.12486053996372
"51",-1790005.13636461,2855868.3987598,21129.7512958831,617.479091758734,1,283.583440984533,3.4009118121096,1,1,1,1,1,1,1,1,1,54.5026133098145,4.10561825627717,10.6199264691809,3.34979589233305
"52",-1687599.53859943,2855868.3987598,21129.7512958831,617.479091758734,1,282.757653498462,5.49268193676579,1,1,1,1,1,1,1,1,1,55.5165612863711,11.7365394522279,17.4709218827607,3.81396262092113
"53",-1585193.94083425,2855868.3987598,21129.7512958831,617.479091758734,1,281.576302119321,9.23203870458809,1,1,1,1,1,1,1,1,1,93.4073798669989,43.411264106504,49.4069016030178,4.60798362241284
"54",-1482788.34306906,2855868.3987598,21129.7512958831,617.479091758734,1,278.995707227276,15.71897213703,1,1,1,1,1,1,1,1,1,237.751693852822,112.190095642207,214.119675542177,5.42607813799368
"55",-1380382.74530388,2855868.3987598,21129.7512958831,617.479091758734,1,278.71254498914,9.60872973896486,1,1,1,1,1,1,1,1,1,179.164268320577,66.6385009655181,98.633896786707,5.07697661935711
"56",-1277977.1475387,2855868.3987598,21129.7512958831,617.479091758734,1,277.021357977596,10.8488973019993,1,1,1,1,1,1,0,1,1,193.842212448739,48.3190569956454,120.487715180737,4.97156680796451
"57",-1175571.54977352,2855868.3987598,21129.7512958831,617.479091758734,1,279.558289090691,4.85734327537819,1,0,1,1,1,1,0,1,1,48.2791635785938,5.43122470265811,13.4359180722858,3.41865750843237
"58",-1073165.95200834,2855868.3987598,21129.7512958831,617.479091758734,1,279.61061153263,5.01731244336968,1,0,1,1,1,0,0,1,1,40.1922997119249,2.29031074748419,11.5537460006227,2.96403726730178
"59",-970760.354243158,2855868.3987598,21129.7512958831,617.479091758734,0.977901849642559,279.533690253137,5.14607994971175,1,0,1,1,1,0,0,1,1,37.2347194999713,1.32243122247592,10.9782578863226,2.69232118086042
"60",-868354.756477977,2855868.3987598,21129.7512958831,617.479091758734,0.91399516039074,279.431434661287,4.76497104609768,1,0,1,1,1,0,0,1,1,28.014913963716,1,7.64818477811894,2.44738929304879
"61",-765949.158712796,2855868.3987598,21129.7512958831,617.479091758734,0.856001692738316,278.685579508139,4.81325974073482,1,0,1,1,1,0,0,1,1,22.0403522750881,1,6.07808323020505,2.34321853164546
"62",-663543.560947615,2855868.3987598,21129.7512958831,617.479091758734,0.805356789353389,278.562020697859,5.14278046652473,1,0,1,1,1,0,0,1,1,23.0299601061175,1,6.78578326092615,2.36229318565385
"63",-561137.963182434,2855868.3987598,21129.751295883,617.479091758733,0.762033926774366,277.985480346503,5.59279629232551,1,0,1,1,1,0,0,1,1,17.9728574249766,1,5.75910429000417,2.25461712915388
"64",-458732.365417253,2855868.3987598,21129.751295883,617.479091758733,0.725996009658864,277.349619834292,6.21906482532245,1,0,1,1,1,0,0,1,1,12.4692917871561,1,4.44299356538397,2.09584178774763
"65",-356326.767652072,2855868.3987598,21129.751295883,617.479091758733,0.697219608735356,277.262563594436,6.55457339559664,1,0,1,1,1,0,0,1,1,7.34327587949878,1.1907363563458,2.7576750392044,1.94170545851587
"66",-253921.16988689,2855868.3987598,21129.751295883,617.479091758733,0.675694975412531,276.74813200588,6.93247612608672,1,0,1,1,1,0,0,1,1,8.31157279033973,1.77289379652705,3.30126515598119,2.16836593305009
"67",-151515.57212171,2855868.3987598,21129.751295883,617.479091758733,0.661424087265175,276.835491955,7.39555135015637,1,0,1,1,1,0,0,1,1,6.54195213561401,1.14224297172836,2.7719585504514,1.87346585677495
"68",-49109.9743565284,2855868.3987598,21129.751295883,617.479091758733,0.654353629795912,277.018604020546,8.056388802639,1,0,1,1,1,0,0,1,1,2.84909241901953,3.45388054166355,1.31509088323394,1.99301384981415
"69",53295.6234086528,2855868.3987598,21129.751295883,617.479091758733,0.685308433016587,276.663338943884,8.64468536818948,1,0,1,1,1,0,0,1,1,3.97950505433136,18.7505006610103,1.97100199884191,2.8728419290373
"70",155701.221173834,2855868.3987598,21129.751295883,617.479091758733,0.467346280217508,276.668085612988,9.24048288108029,1,0,1,1,1,0,0,1,1,10.6502906227982,44.7592331185059,5.63851757460481,3.67824409581274
"71",258106.818939015,2855868.3987598,21129.751295883,617.479091758733,0.382479511070519,276.288620656573,9.66153983598084,1,0,1,1,1,0,0,1,1,18.3111595873605,57.1932602309709,10.1361028651247,4.02006070132897
"72",360512.416704196,2855868.3987598,21129.751295883,617.479091758733,0.235923976983302,276.021695034209,10.0100594393571,1,0,1,1,1,0,0,1,1,20.3939168835126,59.138702063337,11.6962357682644,4.08137243367016
"73",462918.014469377,2855868.3987598,21129.751295883,617.479091758733,0.220517000832391,276.041981919922,10.6999506576882,1,0,1,1,1,0,0,1,1,28.2486022532387,27.4975080959931,17.3175939103466,3.89029030229188
"74",565323.612234558,2855868.3987598,21129.751295883,617.479091758733,0.337167857958262,276.664119661345,9.40301517784067,1,0,1,0,1,0,0,1,1,32.8456322250213,5.39777424916651,17.6951225856134,3.24869234287159
"75",667729.20999974,2855868.3987598,21129.7512958831,617.479091758734,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
