GRIDCODE,XCOO,YCOO,AREA,PERIMETER,X_COORD,Y_COORD,OceanTag,LenCoast,PctLand,NPPMN,NPPMX,PctLand,temp,wetdays,Plants,Mammals,Precip_ratio_end21st_start_21st_c,temp_2091_2099,wetdays_2091_2099,wetdays_2091_2099_capped,Amphib,Reptile,Bird,PlantsNorm,AmphibsNorm,ReptilesNorm,MammalsNorm,LandEctoNorm,LandAllNorm
67,22,2,791315.204,3558.236,-8,51.74316,Atlantic,18795.93088,0.177483,8216.835844,16478,0.177483,8.88125,18.59930556,1624.09,55,1.13491732,12.9519332,21.10867402,21.10867402,14,6,248,0.260748873,0.023608769,0.017045455,0.129107981,0.100467699,0.107627769
68,23,2,791315.204,3558.236,0,51.74316,Atlantic,9796.74554,0.538625,7693.232152,17188,0.538625,9.748196373,15.12454668,2014.58,75,0.99351821,15.10126807,15.02651254,15.02651254,26,11,302,0.323442337,0.043844857,0.03125,0.176056338,0.132845731,0.143648383
69,24,2,791315.204,3558.236,8,51.74316,Atlantic,11128.13898,0.737881,6824.921867,14798,0.737881,8.267821473,14.83794476,2904.27,99,0.97530415,14.56569113,14.4715091,14.4715091,29,15,334,0.466282736,0.048903879,0.042613636,0.232394366,0.185933417,0.197548654
70,25,2,791315.204,3558.236,16,51.74316,Atlantic,8177.95166,0.820715,6219.214811,15234,0.820715,7.95137191,13.77252785,2672.45,102,1.00252647,14.85436916,13.80732373,13.80732373,28,26,337,0.429063861,0.047217538,0.073863636,0.23943662,0.183381678,0.197395414
71,26,2,791315.204,3558.236,24,51.74316,Atlantic,1355.820653,0.943969,6023.926503,12776,0.943969,7.184051835,13.59285989,2604.77,103,1.01271047,14.7364417,13.76563153,13.76563153,22,11,308,0.418197786,0.037099494,0.03125,0.241784038,0.162182427,0.182082829
72,27,2,791315.204,3558.236,32,51.74316,Land,2443.045734,0.951317,4937.039742,11965,0.951317,6.415432788,13.29515749,2138.83,109,1.08844498,14.61444619,14.47104743,14.47104743,16,11,309,0.343390768,0.02698145,0.03125,0.255868545,0.133874073,0.164372691
73,28,2,791315.204,3558.236,40,51.74316,Land,1344.425478,0.964779,4163.791236,12996,0.964779,6.144462881,13.19876475,2118.88,114,1.15508669,14.47970794,15.24571749,15.24571749,14,6,305,0.34018778,0.023608769,0.017045455,0.267605634,0.126947335,0.162111909
74,29,2,791315.204,3558.236,48,51.74316,Land,1863.246606,0.946885,3051.652359,7907,0.946885,5.564578544,11.5760728,1450.42,117,1.25914497,14.11610599,14.57595384,14.57595384,13,7,303,0.232866024,0.021922428,0.019886364,0.274647887,0.091558272,0.137330676
75,30,2,791315.204,3558.236,56,51.74316,Land,1391.3657,0.977394,2739.10219,8080,0.977394,4.278908555,10.86344027,1141.19,111,1.24608303,12.64165501,13.53674857,13.53674857,11,7,306,0.183218914,0.018549747,0.019886364,0.26056338,0.073885008,0.120554601
76,31,2,791315.204,3558.236,64,51.74316,Land,674.4612803,0.989779,2200.208884,7472,0.989779,3.635457516,9.299388768,1164.56,109,1.14007577,12.10271261,10.60200781,10.60200781,11,7,321,0.186970985,0.018549747,0.019886364,0.255868545,0.075135699,0.12031891
77,32,2,791315.204,3558.236,72,51.74316,Land,0,1,2254.419284,7029,1,2.632310579,10.43864682,1548.6,109,1.22596569,10.99459042,12.79742285,12.79742285,10,7,309,0.248628897,0.016863406,0.019886364,0.255868545,0.095126222,0.135311803
78,33,2,791315.204,3558.236,80,51.74316,Land,0,1,2822.766936,8765,1,2.003516098,11.19872912,1993.77,133,1.22480982,10.4267914,13.7163134,13.7163134,8,7,373,0.320101275,0.013490725,0.019886364,0.312206573,0.117826121,0.166421234
79,34,2,791315.204,3558.236,88,51.74316,Land,0,1,3509.97304,9054,1,-1.127965384,11.0474885,1737.36,143,1.12627049,7.45278214,12.44246029,12.44246029,6,6,362,0.278934457,0.010118044,0.017045455,0.335680751,0.102032652,0.160444677
80,35,2,791315.204,3558.236,96,51.74316,Land,0,1,3165.595983,8422,1,-3.912091503,10.05425442,1227.92,130,1.05654786,4.45643567,10.62280099,10.62280099,6,6,319,0.197143481,0.010118044,0.017045455,0.305164319,0.074768993,0.132367825
81,36,2,791315.204,3558.236,104,51.74316,Land,0,1,3050.533184,8128,1,-3.149092229,10.18793876,1083.21,119,1.11883472,5.30194392,11.39861961,11.39861961,6,4,305,0.173910181,0.010118044,0.011363636,0.279342723,0.065130621,0.118683646
82,37,2,791315.204,3558.236,112,51.74316,Land,0,1,2548.087427,7169,1,-3.977644638,9.587369886,1178.49,111,1.22180123,3.9865903,11.71386032,11.71386032,7,3,294,0.189207457,0.011804384,0.008522727,0.26056338,0.069844856,0.117524487
83,38,2,791315.204,3558.236,120,51.74316,Land,0,1,2861.000199,7764,1,-4.259834181,9.500163399,1244.96,105,1.24227857,3.32439928,11.8018494,11.8018494,8,2,325,0.199879266,0.013490725,0.005681818,0.246478873,0.07301727,0.116382671
84,39,2,791315.204,3558.236,128,51.74316,Land,0,1,3558.076413,8561,1,-3.496792544,10.54210845,1460.06,91,1.32300427,4.11019633,13.94725449,13.94725449,13,3,315,0.234413733,0.021922428,0.008522727,0.213615023,0.088286296,0.119618478
85,40,2,791315.204,3558.236,136,51.74316,Pacific,3146.181171,0.865535,4550.852659,12223,0.865535,-4.035776202,11.32334515,1263.73,84,1.28615993,3.76435152,14.56363281,14.56363281,11,3,326,0.202892803,0.018549747,0.008522727,0.197183099,0.076655093,0.106787094
86,41,2,791315.204,3558.236,144,51.74316,Pacific,5138.112991,0.136841,5322.932142,12766,0.136841,-1.287671958,13.45542328,1301.44,64,1.14415982,6.25352405,15.39515468,15.39515468,9,2,291,0.208947172,0.015177066,0.005681818,0.150234742,0.076602019,0.0950102
87,42,2,791315.204,3558.236,152,51.74316,Pacific,1662.203835,0.0140764,3666.37579,9364,0.0140764,1.110846561,17.68055556,1301.44,32,1.16909184,6.8784293,20.67019323,20.67019323,2,0,194,0.208947172,0.003372681,0,0.075117371,0.070773285,0.071859306
88,43,2,791315.204,3558.236,160,51.74316,Pacific,2731.758853,0.279915,3024.549652,7212,0.279915,-2.278738644,15.14414745,836.482,33,1.17826011,4.2097748,17.84374484,17.84374484,2,0,162,0.134297815,0.003372681,0,0.077464789,0.045890166,0.053783821
89,44,2,791315.204,3558.236,168,51.74316,Pacific,493.8566026,0.00190739,3165.042488,6145,0.00190739,1.376851852,15.73564815,0,3,1.11890056,6.99883423,17.60662553,17.60662553,0,0,86,0,0,0,0.007042254,0,0.001760563
90,45,2,791315.204,3558.236,176,51.74316,Pacific,1151.827902,0.00270703,3255.920913,8435,0.00270703,2.377777778,15.49548611,0,0,1.16577931,7.50650177,18.06431711,18.06431711,0,0,64,0,0,0,0,0,0
91,1,3,791315.204,3558.236,-176,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
92,2,3,791315.204,3558.236,-168,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
93,3,3,791315.204,3558.236,-160,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
94,4,3,791315.204,3558.236,-152,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
95,5,3,791315.204,3558.236,-144,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
96,6,3,791315.204,3558.236,-136,40.03754,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
97,7,3,791315.204,3558.236,-128,40.03754,Pacific,576.9138227,0.0136862,11132.56622,21015,0.0136862,10.92420635,10.92777778,1678.39,77,1.36704562,17.16649998,14.93877075,14.93877075,22,16,273,0.269466779,0.037099494,0.045454545,0.180751174,0.117340273,0.133192998
98,8,3,791315.204,3558.236,-120,40.03754,Pacific,1221.460514,0.895403,4029.859664,23737,0.895403,10.1326534,6.732288557,2151.02,171,1.43262245,17.25440646,9.644827727,9.644827727,71,57,394,0.345347881,0.119730185,0.161931818,0.401408451,0.209003295,0.257104584
