GRIDCODE,XCOO,YCOO,AREA,PERIMETER,X_COORD,Y_COORD,OceanTag,LenCoast,PctLand,NPPMN,NPPMX,PctLand,temp,wetdays,Plants,Mammals,Precip_ratio_end21st_start_21st_c,temp_2091_2099,wetdays_2091_2099,wetdays_2091_2099_capped,Amphib,Reptile,Bird,PlantsNorm,AmphibsNorm,ReptilesNorm,MammalsNorm,LandEctoNorm,LandAllNorm
152,17,4,791315.204,3558.236,-48,30.1738,Atlantic,0,0,0,0,0,17.39722222,13.83333333,0,0,0.96155627,22.55050049,13.3015284,13.3015284,0,0,5,0,0,0,0,0,0
153,18,4,791315.204,3558.236,-40,30.1738,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
154,19,4,791315.204,3558.236,-32,30.1738,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
155,20,4,791315.204,3558.236,-24,30.1738,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
156,21,4,791315.204,3558.236,-16,30.1738,Atlantic,1880.057175,0.0719304,8731.552613,22396,0.0719304,20.04662698,3.690013228,1057.94,48,0.89109627,24.8134988,3.288157024,3.288157024,6,35,214,0.169853064,0.010118044,0.099431818,0.112676056,0.093134309,0.098019746
157,22,4,791315.204,3558.236,-8,30.1738,Atlantic,1067.166458,0.756738,2683.449892,14709,0.756738,20.18314968,3.109630395,1934.04,92,0.44561659,26.81337538,1.385702893,1.385702893,11,57,322,0.310511579,0.018549747,0.161931818,0.215962441,0.163664381,0.176738896
158,23,4,791315.204,3558.236,0,30.1738,Land,0,1,1243.875769,10166,1,20.87141383,2.764422085,1898.68,82,0.71494371,28.54585804,1.976406181,1.976406181,10,49,274,0.304834504,0.016863406,0.139204545,0.192488263,0.153634152,0.16334768
159,24,4,791315.204,3558.236,8,30.1738,Atlantic,843.1671122,0.96938,561.3286804,6975,0.96938,21.37292977,1.865295248,1702.05,69,0.54453036,29.04399996,1.015709893,1.015709893,5,33,266,0.27326541,0.008431703,0.09375,0.161971831,0.125149038,0.134354736
160,25,4,791315.204,3558.236,16,30.1738,Atlantic,1074.545575,0.670532,815.5509242,8387,0.670532,21.110999,1.892563528,1576.5,58,0.62917492,27.52657471,1.190753506,1.190753506,2,21,201,0.253108263,0.003372681,0.059659091,0.136150235,0.105380012,0.113072567
161,26,4,791315.204,3558.236,24,30.1738,Atlantic,1181.722537,0.715343,3399.18893,11702,0.715343,21.0522952,2.027377589,2358.64,54,0.32809491,27.35360094,0.665172268,0.665172268,2,18,190,0.378681429,0.003372681,0.051136364,0.126760563,0.144396825,0.139987759
162,27,4,791315.204,3558.236,32,30.1738,Atlantic,5043.662856,0.588472,5095.317347,23317,0.588472,20.7271447,1.622764858,2823.85,130,0.18782902,27.23459104,0.304802333,0.304802333,15,75,384,0.453371245,0.02529511,0.213068182,0.305164319,0.230578179,0.249224714
163,28,4,791315.204,3558.236,40,30.1738,Indian,612.2447093,0.991068,637.9767101,16037,0.991068,20.92847222,2.302682292,2823.85,97,0.95771496,28.26509123,2.205313279,2.205313279,8,62,337,0.453371245,0.013490725,0.176136364,0.227699531,0.214332778,0.217674466
164,29,4,791315.204,3558.236,48,30.1738,Indian,4112.955354,0.855538,578.2860268,3016,0.855538,21.33989642,3.499001883,1434.69,112,2.17028366,29.34663107,7.593826613,7.593826613,6,67,366,0.23034056,0.010118044,0.190340909,0.262910798,0.143599838,0.173427578
165,30,4,791315.204,3558.236,56,30.1738,Indian,2649.053961,0.898981,344.9593242,3870,0.898981,19.026,3.382296296,1032.45,101,2.31961471,26.8078599,7.845624242,7.845624242,12,61,342,0.165760625,0.020236088,0.173295455,0.237089202,0.119764056,0.149095342
166,31,4,791315.204,3558.236,64,30.1738,Land,119.7834905,0.999707,630.7036889,3079,0.999707,18.26904025,2.994332645,1200.62,121,2.05869397,26.28080834,6.16441456,6.16441456,11,38,449,0.192760445,0.018549747,0.107954545,0.284037559,0.106421579,0.150825574
167,32,4,791315.204,3558.236,72,30.1738,Land,0,1,1564.821112,14524,1,21.3125645,3.467096663,1757.97,184,1.56812325,29.43401272,5.436834887,5.436834887,19,39,652,0.282243408,0.032040472,0.110795455,0.431924883,0.141693112,0.214251054
168,33,4,791315.204,3558.236,80,30.1738,Land,0,1,3652.152394,16304,1,10.78427933,5.229188166,2655.66,198,1.32670665,19.37428519,6.937598714,6.937598714,41,37,819,0.426368214,0.069139966,0.105113636,0.464788732,0.200207272,0.266352637
169,34,4,791315.204,3558.236,88,30.1738,Land,0,1,2655.644064,18160,1,2.849759202,8.331037152,3504.06,262,1.32540494,10.97757028,11.0419978,11.0419978,77,57,893,0.562579473,0.129848229,0.161931818,0.615023474,0.284786507,0.367345749
170,35,4,791315.204,3558.236,96,30.1738,Land,0,1,4570.49095,18863,1,4.222093223,11.37764018,3613.3,328,1.09873602,12.1478543,12.50102309,12.50102309,155,79,907,0.580118037,0.261382799,0.224431818,0.769953052,0.355310885,0.458971427
171,36,4,791315.204,3558.236,104,30.1738,Land,0,1,5840.358702,17455,1,10.34106467,13.85263158,3525.41,275,1.17363089,17.2939188,16.25787633,16.25787633,154,78,671,0.566007231,0.259696459,0.221590909,0.645539906,0.3490982,0.423208626
172,37,4,791315.204,3558.236,112,30.1738,Land,0,1,5105.375455,11874,1,15.46584107,12.96102511,3030.12,196,1.00455993,22.07661966,13.02012648,13.02012648,102,66,525,0.486488049,0.172006745,0.1875,0.460093897,0.281998265,0.326522173
173,38,4,791315.204,3558.236,120,30.1738,Pacific,7269.223012,0.609887,5956.346336,16334,0.609887,16.26341766,12.46743552,2561.34,133,0.95750837,22.4843753,11.93767386,11.93767386,69,57,495,0.411225066,0.116357504,0.161931818,0.312206573,0.22983813,0.25043024
174,39,4,791315.204,3558.236,128,30.1738,Pacific,10757.94312,0.0720538,10755.52776,18928,0.0720538,15.27956685,15.51883239,2463.11,87,1.12033852,21.00803347,17.38634571,17.38634571,45,8,314,0.395454166,0.075885329,0.022727273,0.204225352,0.164688923,0.17457303
175,40,4,791315.204,3558.236,136,30.1738,Pacific,5943.851352,0.0618298,10555.29627,17596,0.0618298,14.88651515,16.59646465,2108.76,52,1.09030583,21.12665294,18.09522217,18.09522217,24,2,254,0.338563007,0.040472175,0.005681818,0.122065728,0.128239,0.126695682
176,41,4,791315.204,3558.236,144,30.1738,Pacific,139.040636,8.74E-05,6686.923077,13756,0.0000874,19.11555556,18.76944444,1623.53,2,1.05745823,23.781604,19.8479035,19.8479035,1,2,52,0.260658965,0.001686341,0.005681818,0.004694836,0.089342374,0.06818049
177,42,4,791315.204,3558.236,152,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
178,43,4,791315.204,3558.236,160,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
179,44,4,791315.204,3558.236,168,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
180,45,4,791315.204,3558.236,176,30.1738,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
181,1,5,791315.204,3558.236,-176,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
182,2,5,791315.204,3558.236,-168,21.24611,Pacific,8.326614743,2.03E-06,0,0,0.00000203,25.23981481,16.1287037,0,0,1.29831886,30.52666626,20.9402002,20.9402002,0,0,40,0,0,0,0,0,0
183,3,5,791315.204,3558.236,-160,21.24611,Pacific,1059.044129,0.00800745,10290.06274,17078,0.00800745,21.98430556,16.26916667,0,1,1.16381487,27.29764862,18.93429809,18.93429809,8,1,150,0,0.013490725,0.002840909,0.002347418,0.005443878,0.004669763
184,4,5,791315.204,3558.236,-152,21.24611,Pacific,461.5254421,0.0131529,9369.731547,17258,0.0131529,21.28824786,17.26132479,0,1,1.20607195,26.68430833,20.81839965,20.81839965,6,1,116,0,0.010118044,0.002840909,0.002347418,0.004319651,0.003826593
185,5,5,791315.204,3558.236,-144,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
186,6,5,791315.204,3558.236,-136,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
187,7,5,791315.204,3558.236,-128,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
188,8,5,791315.204,3558.236,-120,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
189,9,5,791315.204,3558.236,-112,21.24611,Pacific,2792.619733,0.0419969,3893.291367,22397,0.0419969,22.70025253,2.058501684,3406.13,104,0.49714373,28.73857477,1.023371205,1.023371205,16,92,370,0.546856737,0.02698145,0.261363636,0.244131455,0.278400608,0.26983332
190,10,5,791315.204,3558.236,-104,21.24611,Pacific,1848.153326,0.654578,6025.561652,19778,0.654578,20.42083979,5.251757106,4085.97,254,0.62011488,27.08737807,3.256692728,3.256692728,109,260,644,0.656005561,0.18381113,0.738636364,0.596244131,0.526151018,0.543674297
191,11,5,791315.204,3558.236,-96,21.24611,Atlantic,2495.538906,0.464864,8979.330463,21746,0.464864,21.71727528,7.041588639,4624.52,313,0.66703491,27.9694554,4.696985444,4.696985444,245,352,853,0.74247017,0.413153457,1,0.734741784,0.718541209,0.722591353
192,12,5,791315.204,3558.236,-88,21.24611,Atlantic,3482.026136,0.23661,9107.031279,18628,0.23661,25.65806738,10.06477541,3418.17,182,0.58922359,31.00214863,5.9304031,5.9304031,62,86,681,0.548789768,0.10455312,0.244318182,0.427230047,0.299220357,0.331222779
193,13,5,791315.204,3558.236,-80,21.24611,Atlantic,13170.6928,0.144362,9987.989558,17845,0.144362,24.94768519,9.748755787,3246.01,79,0.8659596,29.60582377,8.442028662,8.442028662,91,60,430,0.521149351,0.153456998,0.170454545,0.185446009,0.281686965,0.257626726
194,14,5,791315.204,3558.236,-72,21.24611,Atlantic,6524.830682,0.120696,10344.27537,17651,0.120696,24.69626323,10.58482143,3213.11,36,0.75799109,29.90567823,8.023200333,8.023200333,99,47,343,0.515867231,0.166947723,0.133522727,0.084507042,0.272112561,0.225211181
195,15,5,791315.204,3558.236,-64,21.24611,Atlantic,1862.696672,0.0133179,10657.69349,16320,0.0133179,25.09516908,13.73961353,3036.05,17,0.76137335,30.3133935,10.46097558,10.46097558,29,25,282,0.487440115,0.048903879,0.071022727,0.039906103,0.202455573,0.161818206
196,16,5,791315.204,3558.236,-56,21.24611,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
197,17,5,791315.204,3558.236,-48,21.24611,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
198,18,5,791315.204,3558.236,-40,21.24611,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
199,19,5,791315.204,3558.236,-32,21.24611,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
200,20,5,791315.204,3558.236,-24,21.24611,Atlantic,98.09353681,0.000892845,3496.444245,10714,0.000892845,23.15277778,3.16468254,0,1,0.60380139,27.49871652,1.910839717,1.910839717,1,2,42,0,0.001686341,0.005681818,0.002347418,0.002456053,0.002428894
201,21,5,791315.204,3558.236,-16,21.24611,Atlantic,1749.344746,0.514575,348.3057164,4461,0.514575,26.34819277,2.833417001,554.319,63,0.81951956,32.72841687,2.322040654,2.322040654,5,25,348,0.088996333,0.008431703,0.071022727,0.147887324,0.056150254,0.079084522
202,22,5,791315.204,3558.236,-8,21.24611,Land,0,1,121.4678604,614,1,27.55368937,1.228250774,448.834,46,0.89588316,35.43214935,1.100369185,1.100369185,4,13,228,0.072060637,0.006745363,0.036931818,0.107981221,0.038579273,0.05592976
203,23,5,791315.204,3558.236,0,21.24611,Land,0,1,8.100006766,263,1,27.35996732,1.231432749,520.307,57,1.19463285,35.3541742,1.471110015,1.471110015,5,16,287,0.083535681,0.008431703,0.045454545,0.133802817,0.04580731,0.067806187
204,24,5,791315.204,3558.236,8,21.24611,Land,0,1,171.5693723,781,1,25.19437564,1.580460956,654.18,60,3.12014787,32.64321062,4.931271885,4.931271885,6,19,182,0.105029092,0.010118044,0.053977273,0.14084507,0.056374803,0.07749237
205,25,5,791315.204,3558.236,16,21.24611,Land,0,1,368.7439931,671,1,24.44176987,2.276694186,606.377,41,6.69075844,31.47321713,15.23281084,15.23281084,3,13,134,0.097354284,0.005059022,0.036931818,0.096244131,0.046448375,0.058897314
206,26,5,791315.204,3558.236,24,21.24611,Land,0,1,328.8595072,967,1,23.96750086,1.531114551,692.985,32,1.78042414,31.0789526,2.726033308,2.726033308,3,7,173,0.111259264,0.005059022,0.019886364,0.075117371,0.04540155,0.052830505
207,27,5,791315.204,3558.236,32,21.24611,Indian,683.9490544,0.972468,231.9774797,1876,0.972468,25.97607442,0.386128581,1057.59,67,12.0554995,33.18449905,4.654972915,4.654972915,6,13,335,0.169796871,0.010118044,0.036931818,0.157276995,0.072282244,0.093530932
208,28,5,791315.204,3558.236,40,21.24611,Indian,4598.824597,0.671301,356.3554579,2964,0.671301,25.20584371,1.747222222,1224.48,109,9.45515567,32.36604224,16.5202581,16.5202581,11,42,426,0.196591186,0.018549747,0.119318182,0.255868545,0.111486372,0.147581915
209,29,5,791315.204,3558.236,48,21.24611,Indian,874.152041,0.987424,248.5757225,1102,0.987424,25.24047128,2.20497076,1069.28,52,23.2899144,33.58450416,51.35358025,30,5,28,224,0.171673709,0.008431703,0.079545455,0.122065728,0.086550289,0.095429149
210,30,5,791315.204,3558.236,56,21.24611,Indian,3851.650082,0.650622,1175.653749,6991,0.650622,25.90577107,1.696360153,915.809,64,8.47160366,33.27151773,14.37089088,14.37089088,6,48,278,0.147033825,0.010118044,0.136363636,0.150234742,0.097838502,0.110937562
211,31,5,791315.204,3558.236,64,21.24611,Indian,2621.591447,0.0460133,1361.118751,6632,0.0460133,25.47797158,0.927390181,652.82,70,5.14193456,32.13162757,4.768579622,4.768579622,7,22,353,0.104810743,0.011804384,0.0625,0.164319249,0.059705042,0.085858594
212,32,5,791315.204,3558.236,72,21.24611,Indian,4227.042499,0.647444,1455.520791,8166,0.647444,26.08364899,2.666616162,1536.63,115,1.55472818,33.2882997,4.145863292,4.145863292,37,65,523,0.246707104,0.062394604,0.184659091,0.269953052,0.164586933,0.190928463
213,33,5,791315.204,3558.236,80,21.24611,Indian,286.2716764,0.982486,2343.935802,10096,0.982486,25.92238871,4.398527865,1711.86,106,1.23057856,32.913104,5.412734086,5.412734086,24,62,485,0.274840413,0.040472175,0.176136364,0.248826291,0.163816317,0.185068811
214,34,5,791315.204,3558.236,88,21.24611,Indian,9241.805447,0.513815,4504.622581,16138,0.513815,25.31303645,5.964138742,3058.25,184,1.08155977,31.33911507,6.450572526,6.450572526,70,68,750,0.491004341,0.118043845,0.193181818,0.431924883,0.267410001,0.308538722
215,35,5,791315.204,3558.236,96,21.24611,Indian,4727.438103,0.892263,8606.922542,17525,0.892263,22.82699381,11.21731514,3762.09,303,0.95870229,28.96121584,10.75406571,10.75406571,143,131,941,0.604006383,0.241146712,0.372159091,0.711267606,0.405770729,0.482144948
216,36,5,791315.204,3558.236,104,21.24611,Pacific,2911.270537,0.894891,9359.552076,17215,0.894891,21.11817932,13.52384488,3931.33,327,0.96162462,27.21045832,13.00486219,13.00486219,200,157,874,0.631177993,0.337268128,0.446022727,0.767605634,0.471489616,0.545518621
217,37,5,791315.204,3558.236,112,21.24611,Pacific,7918.405895,0.465459,6677.215276,13840,0.465459,20.88145518,14.11938131,3935.62,178,0.8620992,26.22228411,12.17230733,12.17230733,107,96,579,0.631866756,0.180438449,0.272727273,0.417840376,0.361677492,0.375718213
218,38,5,791315.204,3558.236,120,21.24611,Pacific,5587.481096,0.161245,8771.956075,14612,0.161245,21.24563079,14.0947338,3083.66,190,0.99211365,26.10194677,13.9835778,13.9835778,91,130,712,0.495083936,0.153456998,0.369318182,0.44600939,0.339286372,0.365967126
219,39,5,791315.204,3558.236,128,21.24611,Pacific,291.1533592,0.00058497,6868.416206,11673,0.00058497,22.85833333,19.1125,2386.61,8,1.10903668,27.45574341,21.19646355,21.19646355,12,4,112,0.383172033,0.020236088,0.011363636,0.018779343,0.138257252,0.108387775
220,40,5,791315.204,3558.236,136,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
221,41,5,791315.204,3558.236,144,21.24611,Pacific,136.4084394,0.000171724,8089.695402,15002,0.000171724,23.45277778,20.33333333,0,2,1.26496375,27.90300903,25.72092958,25.72092958,0,5,28,0,0,0.014204545,0.004694836,0.004734848,0.004724845
222,42,5,791315.204,3558.236,152,21.24611,Pacific,4.860752463,1.74E-06,0,0,0.00000174,25.51805556,19.43888889,0,0,1.17944193,29.66549073,22.92704063,22.92704063,0,0,20,0,0,0,0,0,0
223,43,5,791315.204,3558.236,160,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
224,44,5,791315.204,3558.236,168,21.24611,Pacific,31.61091731,0.000012763,3012.4,3174,0.000012763,26.60833333,19.23333333,0,0,1.00937366,31.52300415,19.41362006,19.41362006,0,0,22,0,0,0,0,0,0
225,45,5,791315.204,3558.236,176,21.24611,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
226,1,6,791315.204,3558.236,-176,12.84422,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
227,2,6,791315.204,3558.236,-168,12.84422,Pacific,7.022409155,2.03E-06,0,0,0.00000203,26.12222222,16.06944444,0,0,1.38008094,31.46450195,22.17713399,22.17713399,0,0,14,0,0,0,0,0,0
228,3,6,791315.204,3558.236,-160,12.84422,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
229,4,6,791315.204,3558.236,-152,12.84422,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
230,5,6,791315.204,3558.236,-144,12.84422,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
231,6,6,791315.204,3558.236,-136,12.84422,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
232,7,6,791315.204,3558.236,-128,12.84422,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
233,8,6,791315.204,3558.236,-120,12.84422,Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
234,9,6,791315.204,3558.236,-112,12.84422,Pacific,19.3900789,5.08E-06,0,0,0.00000508,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
235,10,6,791315.204,3558.236,-104,12.84422,Pacific,18.54097761,4.82E-05,7664.529412,12215,0.0000482,28.05,5.625,3695.28,89,0.63833416,33.48299561,3.59062965,3.59062965,18,31,303,0.593279988,0.030354132,0.088068182,0.208920188,0.2372341,0.230155622
236,11,6,791315.204,3558.236,-96,12.84422,Pacific,1534.636133,0.122459,7375.505074,17644,0.122459,23.85362319,7.212620773,4624.52,235,0.62337251,29.99691295,4.496149515,4.496149515,134,202,744,0.74247017,0.225969646,0.573863636,0.551643192,0.514101151,0.523486661
237,12,6,791315.204,3558.236,-88,12.84422,Pacific,3782.265845,0.475533,10200.29859,19273,0.475533,23.96586783,14.84963689,6228.56,264,0.64146998,29.54854876,9.525596279,9.525596279,316,248,944,1,0.532883642,0.704545455,0.61971831,0.745809699,0.714286852
238,13,6,791315.204,3558.236,-80,12.84422,Atlantic,2967.50618,0.0983517,9108.266595,16574,0.0983517,25.18743386,15.86847443,6228.56,252,0.76794017,30.21252364,12.18603895,12.18603895,245,122,952,1,0.413153457,0.346590909,0.591549296,0.586581455,0.587823415
239,14,6,791315.204,3558.236,-72,12.84422,Atlantic,3442.649637,0.295675,7092.867349,15858,0.295675,25.92323718,8.405208333,3378.27,277,0.55225004,32.21846278,4.641776638,4.641776638,156,34,1006,0.542383793,0.26306914,0.096590909,0.650234742,0.300681281,0.388069646
240,15,6,791315.204,3558.236,-64,12.84422,Atlantic,5302.890262,0.188591,8683.488812,16540,0.188591,25.26098485,12.42323232,3288.4,241,0.59862409,31.13250122,7.436846142,7.436846142,114,37,883,0.527955097,0.192242833,0.105113636,0.5657277,0.275103856,0.347759817
241,16,6,791315.204,3558.236,-56,12.84422,Atlantic,90.13316564,0.000557325,8610.439425,15255,0.000557325,25.84722222,15.81944444,0,8,0.7241296,30.99333089,11.45532797,11.45532797,2,2,163,0,0.003372681,0.005681818,0.018779343,0.003018166,0.006958461
242,17,6,791315.204,3558.236,-48,12.84422,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
243,18,6,791315.204,3558.236,-40,12.84422,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
244,19,6,791315.204,3558.236,-32,12.84422,Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
245,20,6,791315.204,3558.236,-24,12.84422,Atlantic,892.6970088,0.00425338,3975.719537,11751,0.00425338,23.41369048,3.70297619,0,2,0.58233737,27.84571228,2.156381416,2.156381416,1,17,54,0,0.001686341,0.048295455,0.004694836,0.016660598,0.013669158
246,21,6,791315.204,3558.236,-16,12.84422,Atlantic,4550.844716,0.47685,1709.315895,14063,0.47685,27.49808429,7.847777778,1967.59,229,0.64309969,33.90776599,5.046903456,5.046903456,52,74,699,0.315898057,0.087689713,0.210227273,0.537558685,0.204605014,0.287843432
247,22,6,791315.204,3558.236,-8,12.84422,Land,0,1,1798.941955,7453,1,27.51370627,6.906641676,1792.36,240,0.82548589,35.29800322,5.701335251,5.701335251,70,70,722,0.287764748,0.118043845,0.198863636,0.563380282,0.20155741,0.292013128
248,23,6,791315.204,3558.236,0,12.84422,Land,0,1,1432.424152,5854,1,28.38572664,5.914907728,1699.45,217,1.021729,35.96691654,6.043432758,6.043432758,40,56,632,0.272847978,0.067453626,0.159090909,0.509389671,0.166464171,0.252195546
249,24,6,791315.204,3558.236,8,12.84422,Land,0,1,1597.962854,6889,1,27.74078239,4.421289889,1944.47,183,1.08453586,34.63867538,4.795047432,4.795047432,39,50,607,0.312186123,0.065767285,0.142045455,0.429577465,0.173332954,0.237394082
250,25,6,791315.204,3558.236,16,12.84422,Land,0,1,909.9938284,4806,1,27.96938677,4.362687428,1688.43,161,1.1398276,34.80290694,4.972711541,4.972711541,33,31,585,0.271078708,0.055649241,0.088068182,0.377934272,0.138265377,0.198182601
251,26,6,791315.204,3558.236,24,12.84422,Land,0,1,1676.772328,5928,1,26.17135717,4.400547866,1271.32,146,1.54705674,32.92129403,6.807897236,6.807897236,27,13,544,0.204111384,0.045531197,0.036931818,0.342723005,0.0955248,0.157324351
252,27,6,791315.204,3558.236,32,12.84422,Land,0,1,1727.405423,13685,1,27.49423299,3.910063437,1355.89,173,2.15579188,34.02580269,8.429283008,8.429283008,29,17,617,0.217689161,0.048903879,0.048295455,0.406103286,0.104962831,0.180247945
253,28,6,791315.204,3558.236,40,12.84422,Indian,5003.643958,0.83965,3435.897585,18179,0.83965,23.82564503,4.377767374,1430.19,230,4.09993274,30.96957301,17.94855178,17.94855178,52,56,813,0.229618082,0.087689713,0.159090909,0.539906103,0.158799568,0.254076202
254,29,6,791315.204,3558.236,48,12.84422,Indian,2641.684853,0.600467,872.7987627,7078,0.600467,23.93721122,3.057026953,1387.97,122,5.23147447,31.14345552,15.99275846,15.99275846,17,55,481,0.222839629,0.028667791,0.15625,0.286384977,0.13591914,0.173535599
255,30,6,791315.204,3558.236,56,12.84422,Indian,783.4863742,0.0174439,1654.736759,9084,0.0174439,25.36097222,3.614444444,1334.36,31,3.5101875,32.02504883,12.68737771,12.68737771,1,47,176,0.214232503,0.001686341,0.133522727,0.072769953,0.116480524,0.105552881
256,31,6,791315.204,3558.236,64,12.84422,Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
257,32,6,791315.204,3558.236,72,12.84422,Indian,1196.267436,0.138779,4954.696379,12877,0.138779,25.70060386,6.325241546,2402.96,114,1.16503474,31.93095783,7.36912614,7.36912614,90,79,466,0.385797038,0.151770658,0.224431818,0.267605634,0.253999838,0.257401287
258,33,6,791315.204,3558.236,80,12.84422,Indian,2647.952787,0.511228,4342.001156,13368,0.511228,26.84599483,4.405975452,2402.96,140,1.34832688,32.69648878,5.940695135,5.940695135,109,155,496,0.385797038,0.18381113,0.440340909,0.328638498,0.336649692,0.334646894
259,34,6,791315.204,3558.236,88,12.84422,Indian,0,0,0,0,0,0,0,2502.56,1,0,0,0,0,0,1,9,0.401787893,0,0.002840909,0.002347418,0.134876267,0.101744055
260,35,6,791315.204,3558.236,96,12.84422,Indian,12161.1452,0.238007,6532.257793,12201,0.238007,26.37714646,12.5946654,3131.57,235,0.88628268,31.70668148,11.1624338,11.1624338,92,129,784,0.502775923,0.155143339,0.366477273,0.551643192,0.341465511,0.394009932
261,36,6,791315.204,3558.236,104,12.84422,Pacific,3639.834515,0.711082,6377.436521,13193,0.711082,26.3334596,11.2964899,3863.44,247,1.00373575,32.12345886,11.33869076,11.33869076,119,135,716,0.620278202,0.200674536,0.383522727,0.579812207,0.401491822,0.446071918
262,37,6,791315.204,3558.236,112,12.84422,Pacific,1712.384917,0.0817532,8067.706651,13629,0.0817532,24.20859788,13.02513228,3776,171,1.03842018,29.4885716,13.52556021,13.52556021,94,91,579,0.606239644,0.15851602,0.258522727,0.401408451,0.341092797,0.356171711
263,38,6,791315.204,3558.236,120,12.84422,Pacific,13362.66827,0.168846,9733.822758,15523,0.168846,25.98602608,14.63735828,4116.88,148,1.14574225,31.20751125,16.77063981,16.77063981,79,141,489,0.660968185,0.133220911,0.400568182,0.34741784,0.398252426,0.38554378
264,39,6,791315.204,3558.236,128,12.84422,Pacific,5694.651854,0.048444,10378.08825,15133,0.048444,26.22920228,16.5747151,2701.97,94,1.22698706,31.80317665,20.33696095,20.33696095,42,97,418,0.433803319,0.070826307,0.275568182,0.220657277,0.260065936,0.250213771
265,40,6,791315.204,3558.236,136,12.84422,Pacific,103.8226196,0.000127027,6964.964539,12696,0.000127027,27.39930556,19.67708333,0,2,1.17043743,32.27424011,23.03079484,23.03079484,0,3,61,0,0,0.008522727,0.004694836,0.002840909,0.003304391
266,41,6,791315.204,3558.236,144,12.84422,Pacific,374.4932034,0.00117852,10783.86278,15944,0.00117852,27.265,20.10166667,0,2,1.27022188,32.22819824,25.53357683,25.53357683,8,6,89,0,0.013490725,0.017045455,0.004694836,0.010178727,0.008807754
267,42,6,791315.204,3558.236,152,12.84422,Pacific,9.161333795,1.29E-06,4128,4128,0.00000129,0,0,0,0,0,0,0,0,0,4,54,0,0,0.011363636,0,0.003787879,0.002840909
268,43,6,791315.204,3558.236,160,12.84422,Pacific,49.21801344,0.000015299,3809,4471,0.000015299,27.77037037,19.30555556,0,0,1.25236479,32.79899496,24.17759803,24.17759803,0,3,36,0,0,0.008522727,0,0.002840909,0.002130682
269,44,6,791315.204,3558.236,168,12.84422,Pacific,357.5971715,7.70E-05,3874.591549,11688,0.000077,27.44814815,18.63981481,0,0,1.21402626,32.37067057,22.62922466,22.62922466,0,4,38,0,0,0.011363636,0,0.003787879,0.002840909
